time,symbol,open,high,low,close,volume
2018-04-19,TPB,8.1,8.1,7.36,7.52,7295110.0
2018-04-20,TPB,7.6,7.6,7.39,7.53,1970610.0
2018-04-21,TPB,7.6,7.6,7.39,7.53,1970610.0
2018-04-22,TPB,7.6,7.6,7.39,7.53,1970610.0
2018-04-23,TPB,7.53,7.55,7.02,7.13,918490.0
2018-04-24,TPB,7.02,7.18,6.65,7.13,1084620.0
2018-04-25,TPB,7.02,7.18,6.65,7.13,1084620.0
2018-04-26,TPB,7.11,7.16,6.83,6.88,618040.0
2018-04-27,TPB,6.94,6.99,6.8,6.99,783680.0
2018-04-28,TPB,6.94,6.99,6.8,6.99,783680.0
2018-04-29,TPB,6.94,6.99,6.8,6.99,783680.0
2018-04-30,TPB,6.94,6.99,6.8,6.99,783680.0
2018-05-01,TPB,6.94,6.99,6.8,6.99,783680.0
2018-05-02,TPB,7.16,7.16,6.88,6.9,468940.0
2018-05-03,TPB,6.9,6.9,6.72,6.9,407660.0
2018-05-04,TPB,7.05,7.05,6.83,6.9,267600.0
2018-05-05,TPB,7.05,7.05,6.83,6.9,267600.0
2018-05-06,TPB,7.05,7.05,6.83,6.9,267600.0
2018-05-07,TPB,6.92,6.95,6.76,6.95,269800.0
2018-05-08,TPB,7.18,7.18,6.9,6.97,556210.0
2018-05-09,TPB,6.97,6.97,6.86,6.95,368930.0
2018-05-10,TPB,6.95,6.95,6.72,6.83,184990.0
2018-05-11,TPB,6.83,6.9,6.62,6.9,725410.0
2018-05-12,TPB,6.83,6.9,6.62,6.9,725410.0
2018-05-13,TPB,6.83,6.9,6.62,6.9,725410.0
2018-05-14,TPB,6.9,6.9,6.67,6.83,252920.0
2018-05-15,TPB,6.83,6.91,6.67,6.9,468650.0
2018-05-16,TPB,6.9,6.91,6.76,6.83,525340.0
2018-05-17,TPB,6.86,6.9,6.78,6.83,385710.0
2018-05-18,TPB,6.81,6.9,6.75,6.88,465950.0
2018-05-19,TPB,6.81,6.9,6.75,6.88,465950.0
2018-05-20,TPB,6.81,6.9,6.75,6.88,465950.0
