ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),MINORITY INTERESTS,data_source,period_type
TPB,2025,2,428589979000000,1551561000000,10000595000000,59990100000000,8833000000,9497000000,-664000000,171549000000,281188723000000,284849379000000,-3660656000000,60147095000000,60206683000000,44700000000,-104288000000,0,0,0,1189484000000,856436000000,333048000000,13672162000000,428589979000000,390360071000000,6212060000000,86542116000000,246844312000000,0,118537000000,43958600000000,6684446000000,38229908000000,26419562000000,4936046000000,0,6874202000000,26419562000000,98000000,VCI,yearly
TPB,2025,1,388891150000000,1698877000000,16631310000000,35189690000000,10931000000,11427000000,-496000000,55880000000,259070461000000,262477215000000,-3406754000000,59909064000000,59971386000000,44700000000,-107022000000,0,0,0,1172615000000,819860000000,352755000000,14473140000000,388891150000000,349399554000000,5336899000000,65987383000000,233114646000000,0,103644000000,38602200000000,6254782000000,39491596000000,26419562000000,3721866000000,210436000000,9139634000000,26419562000000,98000000,VCI,yearly
TPB,2024,4,418028391000000,1292735000000,22708369000000,70520700000000,1000000,1000000,0,0,247238856000000,250331368000000,-3092512000000,59472044000000,59549367000000,44700000000,-122023000000,0,0,0,1221874000000,856699000000,365175000000,14807073000000,418028391000000,380433922000000,238268000000,94513809000000,242805789000000,131331000000,93606000000,36632200000000,6018919000000,37594469000000,26419562000000,3721866000000,0,7452942000000,26419562000000,99000000,VCI,yearly
TPB,2024,3,385352239000000,1692781000000,13214550000000,54515768000000,1000000,1000000,0,0,231562431000000,234722105000000,-3159674000000,63892590000000,63959218000000,44700000000,-111328000000,0,0,0,1091450000000,720716000000,370734000000,18602021000000,385352239000000,349041157000000,1166989000000,80925983000000,224821010000000,154452000000,86548000000,36284473000000,5601702000000,36311082000000,22016350000000,3721866000000,419867000000,10152901000000,22016350000000,98000000,VCI,yearly
TPB,2024,2,361554998000000,1455124000000,8928740000000,55159384000000,4630000000,5106000000,-476000000,0,210529898000000,213432272000000,-2902374000000,60864989000000,60911469000000,44700000000,-91180000000,0,0,0,1059960000000,763408000000,296552000000,22758869000000,361554998000000,325945991000000,1726595000000,78591585000000,202997118000000,403983000000,81659000000,36013262000000,6131789000000,35609007000000,22016350000000,3721866000000,0,9870693000000,22016350000000,98000000,VCI,yearly
TPB,2024,1,355870488000000,1789390000000,11378128000000,56447319000000,3898000000,3898000000,0,0,198127997000000,200829487000000,-2701490000000,62151600000000,62199375000000,44700000000,-92475000000,0,0,0,998703000000,685595000000,313108000000,24168443000000,355870488000000,321680275000000,340781000000,92480852000000,190827358000000,268349000000,75569000000,31811364000000,5876002000000,34190213000000,22016350000000,3052367000000,6866000000,9114476000000,22016350000000,154000000,VCI,yearly
TPB,2023,4,356636840000000,2338561000000,9211968000000,52351827000000,0,0,0,0,202586102000000,205262092000000,-2675990000000,65335805000000,65391552000000,44700000000,-100447000000,0,0,0,1058906000000,729429000000,329477000000,23661609000000,356636840000000,323894128000000,338420000000,83965697000000,208261560000000,66150000000,74311000000,24216267000000,6971723000000,32742712000000,22016350000000,3052367000000,0,7673995000000,22016350000000,0,VCI,yearly
TPB,2023,3,344402552000000,2102795000000,10397108000000,58926396000000,0,0,0,0,177431789000000,179946188000000,-2514399000000,67866961000000,68047000000000,44700000000,-224739000000,0,0,0,1102629000000,768619000000,334010000000,26429114000000,344402552000000,312018615000000,365637000000,97361110000000,193753424000000,128486000000,82468000000,12168977000000,8158513000000,32383937000000,22016350000000,3052367000000,138452000000,7176768000000,22016350000000,0,VCI,yearly
TPB,2023,2,343406813000000,2182092000000,9213239000000,56630247000000,0,0,0,294883000000,174730627000000,177113201000000,-2382574000000,73758379000000,73880655000000,44700000000,-166976000000,0,0,0,1067825000000,804587000000,263238000000,25370258000000,343406813000000,312420874000000,2976577000000,88139893000000,199126911000000,0,101049000000,15266125000000,6810319000000,30985939000000,22016350000000,3052367000000,0,5917222000000,22016350000000,0,VCI,yearly
TPB,2023,1,343522216000000,3421333000000,8982501000000,56285508000000,0,0,0,282297000000,170658669000000,172753147000000,-2094478000000,78679929000000,78815324000000,44700000000,-180095000000,0,0,0,1134970000000,856026000000,278944000000,23962072000000,343522216000000,309859923000000,413067000000,82742383000000,200998074000000,0,153474000000,19085909000000,6467016000000,33662293000000,18378520000000,2113255000000,10070000000,13160448000000,15817555000000,0,VCI,yearly
TPB,2022,4,328634007000000,2426932000000,11988501000000,53364944000000,0,0,0,203247000000,159160375000000,160992963000000,-1832588000000,74376644000000,74520673000000,44700000000,-188729000000,0,0,0,1205386000000,903413000000,301973000000,25727368000000,328634007000000,296394955000000,433439000000,73496158000000,194959921000000,0,164923000000,20429954000000,6910560000000,32239052000000,18378520000000,2113255000000,0,11747277000000,15817555000000,0,VCI,yearly
TPB,2022,3,317327732000000,2392363000000,9188049000000,46897369000000,0,0,0,95137000000,154164205000000,156191002000000,-2026797000000,76108912000000,76235600000000,44700000000,-171388000000,0,0,0,1086505000000,801682000000,284823000000,27077360000000,317327732000000,286690434000000,460808000000,87201286000000,162694692000000,0,419769000000,29842920000000,6070959000000,30637298000000,18378520000000,2113255000000,-82426000000,10227949000000,15817555000000,0,VCI,yearly
TPB,2022,2,310769290000000,1834965000000,14590366000000,40738575000000,0,0,0,0,149008131000000,151083664000000,-2075533000000,76531823000000,76665466000000,44700000000,-178343000000,0,0,0,810544000000,509973000000,300571000000,26905773000000,310769290000000,281761188000000,493305000000,88034259000000,156336660000000,7283000000,412906000000,31267793000000,5208982000000,29008102000000,18378520000000,2113255000000,0,8516327000000,15817555000000,0,VCI,yearly
