ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Dividends paid,data_source,period_type
TPB,2025,2,-7123000000.0,2053489000000.0,21755856000000.0,-62441000000.0,60000000.0,-62379000000.0,0.0,1014444000000.0,22707921000000.0,44780913000000.0,-210436000000.0,67278398000000.0,21755856000000.0,2000000.0,0.0,-2641956000000.0,VCI,quarterly
TPB,2025,1,-15072000000.0,1870090000000.0,-41476406000000.0,-71757000000.0,0.0,-71756000000.0,0.0,-30000000000.0,-41578162000000.0,86148639000000.0,210436000000.0,44780913000000.0,-41476406000000.0,1000000.0,0.0,0.0,VCI,quarterly
TPB,2024,4,-88800000000.0,3815387000000.0,29531040000000.0,-144776000000.0,0.0,-144638000000.0,0.0,247683000000.0,29634085000000.0,56934421000000.0,-419867000000.0,86148639000000.0,29531040000000.0,137000000.0,1000000.0,0.0,VCI,quarterly
TPB,2024,3,-23099000000.0,2451583000000.0,5335231000000.0,-31721000000.0,0.0,-31721000000.0,0.0,320199000000.0,5623709000000.0,50890845000000.0,419867000000.0,56934421000000.0,5335231000000.0,0.0,0.0,-1100818000000.0,VCI,quarterly
TPB,2024,2,-99464000000.0,2060813000000.0,-3761388000000.0,-129601000000.0,0.0,-129485000000.0,0.0,200800000000.0,-3690073000000.0,54587784000000.0,-6866000000.0,50890845000000.0,-3761388000000.0,114000000.0,-1000000.0,0.0,VCI,quarterly
TPB,2024,1,-104459000000.0,1736557000000.0,9238390000000.0,-71651000000.0,0.0,-94074000000.0,0.0,-5000000000.0,9139316000000.0,45441602000000.0,6866000000.0,54587784000000.0,9238390000000.0,0.0,-22420000000.0,0.0,VCI,quarterly
TPB,2023,4,-207465000000.0,905393000000.0,-14022735000000.0,-180318000000.0,0.0,-180166000000.0,0.0,6047000000000.0,-8155901000000.0,53732822000000.0,-138452000000.0,45438469000000.0,-14022735000000.0,152000000.0,0.0,0.0,VCI,quarterly
TPB,2023,3,-202007000000.0,7469283000000.0,6140227000000.0,-305471000000.0,0.0,-305139000000.0,0.0,-4542289000000.0,1292799000000.0,52301571000000.0,138452000000.0,53732822000000.0,6140227000000.0,332000000.0,0.0,-3954389000000.0,VCI,quarterly
TPB,2023,2,-69878000000.0,2120750000000.0,3704467000000.0,-41000000000.0,0.0,-41000000000.0,0.0,-4076489000000.0,-413022000000.0,51181779000000.0,-10070000000.0,50758687000000.0,3704467000000.0,0.0,0.0,-3954389000000.0,VCI,quarterly
TPB,2023,1,-4417000000.0,1623190000000.0,-594067000000.0,-109495000000.0,0.0,-109495000000.0,0.0,-426300000000.0,-1129862000000.0,52301571000000.0,10070000000.0,51181779000000.0,-594067000000.0,0.0,0.0,0.0,VCI,quarterly
TPB,2022,4,-10586000000.0,2464243000000.0,11087498000000.0,-82208000000.0,0.0,-81599000000.0,0.0,-1792000000000.0,9213899000000.0,43005246000000.0,82426000000.0,52301571000000.0,11087498000000.0,609000000.0,0.0,0.0,VCI,quarterly
TPB,2022,3,22186000000.0,2822193000000.0,257288000000.0,-77943000000.0,0.0,-77969000000.0,0.0,-40200000000.0,139119000000.0,42948553000000.0,-82426000000.0,43005246000000.0,257288000000.0,15000000.0,0.0,0.0,VCI,quarterly
TPB,2022,2,24173000000.0,2312017000000.0,-2198982000000.0,-189487000000.0,0.0,-189482000000.0,0.0,-111700000000.0,-2500164000000.0,45546555000000.0,-97838000000.0,42948553000000.0,-2198982000000.0,5000000.0,0.0,0.0,VCI,quarterly
TPB,2022,1,43743000000.0,1900779000000.0,-10851698000000.0,-76393000000.0,0.0,-76393000000.0,0.0,-84400000000.0,-11012491000000.0,56461208000000.0,97838000000.0,45546555000000.0,-10851698000000.0,0.0,0.0,0.0,VCI,quarterly
