rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
45.9,42.0,18850,0,0.0,-0.105,11726294,"TPB: Nghị quyết HĐQT về việc thông qua hợp đồng, giao dịch tái cấp hạn mức tín dụng cho DOJI",TCBS,2025-09-30 17:31:42
51.5,78.0,19500,-150,-0.008,0.016,11709926,TPB: Thông báo đường dẫn đăng tải Điều lệ sửa đổi,TCBS,2025-09-12 17:31:06
48.5,57.0,19650,450,0.023,0.005,11708571,TPB: Biên bản kiểm phiếu và Nghị quyết ĐHĐCĐ về việc lấy ý kiến cổ đông bằng văn bản,TCBS,2025-09-11 16:56:38
49.5,59.0,19450,100,0.005,-0.005,11706243,TPB: Nghị quyết HĐQT về việc điều chỉnh lại để làm rõ thông tin tại Phương án tăng vốn điều lệ năm 2025,TCBS,2025-09-09 16:32:42
63.1,90.0,21500,450,0.021,0.284,11701749,TPB: Nghị quyết HĐQT về việc tái cấp hạn mức tín dụng cho Công ty TNHH FPT IS,TCBS,2025-09-04 17:02:05
60.7,79.0,20950,850,0.042,0.274,11685576,TPB: Thông báo đường dẫn tài liệu lấy ý kiến cổ đông bằng văn bản,TCBS,2025-08-26 17:31:07
74.2,91.0,20100,-1500,-0.069,0.288,11683637,Thêm ngân hàng chuẩn bị trả cổ tức,TCBS,2025-08-25 12:00:00
79.1,93.0,21600,-450,-0.02,0.412,11682825,TPB: Nghị quyết HĐQT thông qua việc triển khai Phương án tăng vốn điều lệ năm 2025,TCBS,2025-08-22 17:33:00
79.1,93.0,21600,-450,-0.02,0.412,11682713,TPB: Quyết định về việc thay đổi mẫu con dấu,TCBS,2025-08-22 17:31:14
81.8,89.0,20650,-600,-0.028,0.368,11679410,TPB: Nghị quyết HĐQT về việc thông qua phương án mua lại trước hạn một phần mã trái phiếu TPB12520,TCBS,2025-08-20 14:37:34
75.0,82.0,20150,650,0.033,0.334,11676143,TPB: Nghị quyết HĐQT thông qua việc tái cấp hạn mức tín dụng cho Công ty TNHH Phần mềm FPT (người có liên quan của CĐL),TCBS,2025-08-18 11:10:39
77.4,66.0,19150,-50,-0.003,0.285,11672071,TPB: Thông báo ngày ĐKCC lấy ý kiến cổ đông bằng văn bản,TCBS,2025-08-13 18:14:18
77.4,66.0,19150,-50,-0.003,0.285,11671888,TPB: Thông báo công văn của NHNN về chấp thuận cho TPB thay đổi địa điểm Phòng GD Cộng Hòa,TCBS,2025-08-13 15:59:00
79.3,88.0,19450,1250,0.069,0.375,11666148,TPB: Thông báo về việc hoàn thành nghĩa vụ thuế,TCBS,2025-08-07 16:57:12
79.3,88.0,19450,1250,0.069,0.375,11666149,TPB: Nghị quyết HĐQT về ngày đăng ký cuối cùng để thực hiện quyền lấy ý kiến cổ đông bằng văn bản,TCBS,2025-08-07 16:55:48
