officer_name,officer_position,officer_own_percent
Nguyen Ha Long,,0.0382
Do Anh Tu,,0.0371
Le Quang Tien,Vice Chairman of Management Board,0.0361
Do Minh Quan,,0.0334
Tran Cam Nhung,,0.0323
Do Quynh Anh,,0.0307
Nguyen Thi Khanh Ly,,0.0185
Do Minh Duc,,0.0111
Do Vu Phuong Anh,,0.0111
Truong Gia Binh,Member of Management Board,0.0019
Bui Thi Thanh Huong,,0.0015
Dao Trong Khanh,General Director,0.0009
Trung Thi Lam Ngoc,,0.0009
Truong Thi Cuc Huong,Deputy General Director,0.0008
Nguyen Hung,General Director,0.0006
Nguyen Hung,General Director,0.0005
Tran Van Phong,,0.0004
Nguyen Viet Anh,Deputy General Director,0.0002
Khuc Van Hoa,Deputy General Director,0.0002
Dinh Van Chien,Deputy General Director,0.0002
