time,open,high,low,close,volume,data_source
2018-04-19,8.1,8.1,7.36,7.52,7295110,TCBS
2018-04-20,7.6,7.6,7.39,7.53,1970610,TCBS
2018-04-23,7.53,7.55,7.02,7.13,918490,TCBS
2018-04-24,7.02,7.18,6.65,7.13,1084620,TCBS
2018-04-26,7.11,7.16,6.83,6.88,618040,TCBS
2018-04-27,6.94,6.99,6.8,6.99,783680,TCBS
2018-05-02,7.16,7.16,6.88,6.9,468940,TCBS
2018-05-03,6.9,6.9,6.72,6.9,407660,TCBS
2018-05-04,7.05,7.05,6.83,6.9,267600,TCBS
2018-05-07,6.92,6.95,6.76,6.95,269800,TCBS
2018-05-08,7.18,7.18,6.9,6.97,556210,TCBS
2018-05-09,6.97,6.97,6.86,6.95,368930,TCBS
2018-05-10,6.95,6.95,6.72,6.83,184990,TCBS
2018-05-11,6.83,6.9,6.62,6.9,725410,TCBS
2018-05-14,6.9,6.9,6.67,6.83,252920,TCBS
2018-05-15,6.83,6.91,6.67,6.9,468650,TCBS
2018-05-16,6.9,6.91,6.76,6.83,525340,TCBS
2018-05-17,6.86,6.9,6.78,6.83,385710,TCBS
2018-05-18,6.81,6.9,6.75,6.88,465950,TCBS
2018-05-21,6.89,6.89,6.82,6.84,339500,TCBS
2018-05-22,6.84,6.89,6.62,6.78,414600,TCBS
2018-05-23,6.78,6.82,6.69,6.81,506080,TCBS
2018-05-24,6.8,6.82,6.74,6.78,366890,TCBS
2018-05-25,6.78,6.81,6.7,6.72,307990,TCBS
2018-05-28,6.67,6.69,6.28,6.28,197040,TCBS
2018-05-29,6.37,6.68,6.37,6.67,590410,TCBS
2018-05-30,6.66,6.7,6.58,6.65,171480,TCBS
2018-05-31,6.62,6.64,6.48,6.48,287350,TCBS
2018-06-01,6.62,6.62,6.48,6.48,100550,TCBS
2018-06-04,6.51,6.9,6.47,6.83,387700,TCBS
2018-06-05,6.86,6.86,6.69,6.81,459200,TCBS
2018-06-06,6.76,6.78,6.67,6.69,847910,TCBS
2018-06-07,6.72,6.72,6.65,6.69,675570,TCBS
2018-06-08,6.69,6.72,6.6,6.64,1162520,TCBS
2018-06-11,6.69,6.69,6.53,6.6,38710,TCBS
2018-06-12,6.6,6.6,6.44,6.53,42180,TCBS
2018-06-13,6.53,6.55,6.48,6.53,111190,TCBS
2018-06-14,6.53,6.53,6.43,6.48,22990,TCBS
2018-06-15,6.52,6.52,6.43,6.44,26260,TCBS
2018-06-18,6.44,6.44,6.25,6.25,44490,TCBS
2018-06-19,6.16,6.34,5.82,6.28,648860,TCBS
2018-06-20,6.28,6.37,6.28,6.34,648730,TCBS
2018-06-21,6.39,6.46,6.25,6.34,43660,TCBS
2018-06-22,6.32,6.37,6.32,6.37,115320,TCBS
2018-06-25,6.38,6.48,6.37,6.44,204990,TCBS
2018-06-26,6.07,6.46,6.07,6.44,101440,TCBS
2018-06-27,6.42,6.44,6.25,6.4,42360,TCBS
2018-06-28,6.4,6.4,6.25,6.25,44370,TCBS
2018-06-29,6.37,6.37,6.23,6.37,234590,TCBS
2018-07-02,6.37,6.39,6.24,6.25,73960,TCBS
2018-07-03,6.25,6.26,6.01,6.04,182230,TCBS
2018-07-04,6.04,6.07,5.74,5.89,283830,TCBS
2018-07-05,6.0,6.1,5.86,5.86,779170,TCBS
2018-07-06,5.86,6.18,5.86,6.18,344120,TCBS
2018-07-09,6.25,6.25,5.76,6.25,226510,TCBS
2018-07-10,6.25,6.3,6.23,6.3,278740,TCBS
2018-07-11,6.3,6.3,6.16,6.21,82430,TCBS
2018-07-12,6.18,6.21,6.15,6.2,138910,TCBS
2018-07-13,6.29,6.31,6.23,6.28,303750,TCBS
2018-07-16,6.25,6.25,6.14,6.25,216440,TCBS
2018-07-17,6.25,6.26,6.21,6.21,157780,TCBS
2018-07-18,6.22,6.28,6.17,6.25,247780,TCBS
2018-07-19,6.24,6.25,6.18,6.23,55150,TCBS
2018-07-20,6.25,6.25,6.21,6.23,25590,TCBS
2018-07-23,6.24,6.24,6.18,6.22,65750,TCBS
2018-07-24,6.25,6.26,5.79,6.18,78680,TCBS
2018-07-25,6.16,6.22,5.79,6.11,98910,TCBS
2018-07-26,6.11,6.21,6.1,6.14,73720,TCBS
2018-07-27,6.14,6.21,6.1,6.16,104230,TCBS
2018-07-30,6.0,6.16,5.81,5.93,217670,TCBS
2018-07-31,5.8,5.93,5.8,5.9,131670,TCBS
2018-08-01,5.87,5.92,5.79,5.79,134560,TCBS
2018-08-02,5.78,5.79,5.56,5.72,188020,TCBS
2018-08-03,5.56,5.79,5.56,5.71,200320,TCBS
2018-08-06,5.71,5.79,5.51,5.54,301330,TCBS
2018-08-07,5.55,5.58,5.55,5.57,95960,TCBS
2018-08-08,5.57,5.68,5.57,5.65,225180,TCBS
2018-08-09,5.67,5.95,5.67,5.88,461210,TCBS
2018-08-10,5.89,5.95,5.81,5.92,332110,TCBS
2018-08-13,5.93,6.03,5.87,6.02,336850,TCBS
2018-08-14,6.09,6.11,6.02,6.02,312680,TCBS
2018-08-15,6.02,6.08,5.95,5.96,289650,TCBS
2018-08-16,5.93,6.04,5.93,6.03,235000,TCBS
2018-08-17,6.09,6.25,6.03,6.08,262420,TCBS
