ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
TPB,2025,2,7383293000000,0.18456500690286967,1629604000000,0.07030527532576714,7383293000000,-4231968000000,3151325000000,1340032000000,-351269000000,988763000000,368783000000,121000000,196000000,213007000000,-106525000000,106482000000,60000000,4615730000000,-1753628000000,2862102000000,-824744000000,2037358000000,-407754000000,-407754000000,0,1629604000000,1629604000000,1255.0,VCI,quarterly
TPB,2025,1,6801668000000,0.041052723736242344,1686692000000,0.15305951543515608,6801668000000,-3418050000000,3383618000000,1175572000000,-265634000000,909938000000,-17300000000,-496000000,102058000000,227219000000,-122569000000,104650000000,0,4482468000000,-1883976000000,2598492000000,-489617000000,2108875000000,-422184000000,-422184000000,1000000,1686691000000,1686692000000,0.0,VCI,quarterly
TPB,2024,4,6858748000000,-0.11537009043960976,1703252000000,2.448353214612538,6858748000000,-3790083000000,3068665000000,1184358000000,-275519000000,908839000000,282017000000,0,724857000000,394414000000,-257154000000,137260000000,0,5121638000000,-1793687000000,3327951000000,-1190954000000,2136997000000,-433744000000,-433744000000,-1000000,1703253000000,1703252000000,2298.0,VCI,quarterly
TPB,2024,3,6323523000000,-0.08291207532174463,1383026000000,0.09517033419092348,6323523000000,-3149690000000,3173833000000,1061541000000,-267076000000,794465000000,-46989000000,-462000000,-60515000000,293891000000,-158919000000,134972000000,0,3995304000000,-1426370000000,2568934000000,-838348000000,1730586000000,-347561000000,-347561000000,1000000,1383025000000,1383026000000,0.0,VCI,quarterly
TPB,2024,2,6232915000000,-0.1337833144629029,1522560000000,0.17744498706601552,6232915000000,-2996143000000,3236772000000,1193561000000,-248381000000,945180000000,661000000,-55000000,-44582000000,318325000000,-220183000000,98142000000,40000000,4236158000000,-1383027000000,2853131000000,-949110000000,1904021000000,-381462000000,-381462000000,1000000,1522559000000,1522560000000,1356.0,VCI,quarterly
TPB,2024,1,6533452000000,-0.027074293292757113,1462797000000,0.03506476597780139,6533452000000,-3106066000000,3427386000000,946834000000,-231708000000,715126000000,83243000000,697000000,475154000000,222614000000,-239053000000,-16439000000,0,4685167000000,-1675773000000,3009394000000,-1180800000000,1828594000000,-365797000000,-365797000000,0,1462797000000,1462797000000,0.0,VCI,quarterly
TPB,2023,4,7753240000000,0.2872894355710246,493932000000,-0.674901008867078,7753240000000,-3757147000000,3996093000000,395867000000,-281787000000,114080000000,342487000000,0,32328000000,330653000000,-372410000000,-41757000000,0,4443231000000,-1843428000000,2599803000000,-1970195000000,629608000000,-135676000000,-135676000000,0,493932000000,493932000000,0.0,VCI,quarterly
TPB,2023,3,6895220000000,0.27541759576193825,1262841000000,-0.2621963260579731,6895220000000,-3932519000000,2962701000000,890002000000,-224130000000,665872000000,123088000000,0,551598000000,186589000000,-275659000000,-89070000000,0,4214189000000,-1345558000000,2868631000000,-1292974000000,1575657000000,-312816000000,-312816000000,0,1262841000000,1262841000000,0.0,VCI,quarterly
TPB,2023,2,7195561000000,0.34462989775255953,1293105000000,-0.2527413151956266,7195561000000,-4466534000000,2729027000000,1003749000000,-200140000000,803609000000,162589000000,0,237697000000,169226000000,-184969000000,-15743000000,0,3917179000000,-1930622000000,1986557000000,-368120000000,1618437000000,-325332000000,-325332000000,0,1293105000000,1293105000000,0.0,VCI,quarterly
TPB,2023,1,6715263000000,0.33490460924608373,1413242000000,0.08761120517161768,6715263000000,-3978389000000,2736874000000,888847000000,-193108000000,695739000000,150989000000,0,34218000000,185811000000,-144565000000,41246000000,0,3659066000000,-1579089000000,2079977000000,-314976000000,1765001000000,-351759000000,-351759000000,0,1413242000000,1413242000000,0.0,VCI,quarterly
TPB,2022,4,6022919000000,0.2727438130674912,1519328000000,0.15526566514565446,6022919000000,-3243241000000,2779678000000,1030643000000,-214469000000,816174000000,80482000000,0,-121875000000,324561000000,-215648000000,108913000000,0,3663372000000,-1646065000000,2017307000000,-114564000000,1902743000000,-383415000000,-383415000000,0,1519328000000,1519328000000,0.0,VCI,quarterly
TPB,2022,3,5406245000000,0.2762389060064078,1711622000000,0.5421699122156559,5406245000000,-2665573000000,2740672000000,904592000000,-220795000000,683797000000,118468000000,0,7014000000,362283000000,-147247000000,215036000000,0,3764987000000,-1298798000000,2466189000000,-328474000000,2137715000000,-426093000000,-426093000000,0,1711622000000,1711622000000,0.0,VCI,quarterly
TPB,2022,2,5351332000000,0.22595004088155712,1730465000000,0.3657443398005918,5351332000000,-2316464000000,3034868000000,917430000000,-236805000000,680625000000,179143000000,0,460137000000,362916000000,-144854000000,218062000000,0,4572835000000,-1762811000000,2810024000000,-645341000000,2164683000000,-434218000000,-434218000000,0,1730465000000,1730465000000,0.0,VCI,quarterly
TPB,2022,1,5030519000000,0.22891612474532547,1299400000000,0.14179867121136633,5030519000000,-2199140000000,2831379000000,743636000000,-232252000000,511384000000,32123000000,0,80979000000,275189000000,-115059000000,160130000000,0,3615995000000,-1237583000000,2378412000000,-755265000000,1623147000000,-323747000000,-323747000000,0,1299400000000,1299400000000,0.0,VCI,quarterly
TPB,2021,4,4732232000000,0.19658539792352545,1315133000000,0.20590457537195872,4732232000000,-1921908000000,2810324000000,661488000000,-171612000000,489876000000,260820000000,0,-52968000000,188342000000,-85243000000,103099000000,0,3611151000000,-1406990000000,2204161000000,-559570000000,1644591000000,-329458000000,-329458000000,0,1315133000000,1315133000000,0.0,VCI,quarterly
TPB,2021,3,4236076000000,0.2062774280097947,1109879000000,0.4022316865632608,4236076000000,-1890442000000,2345634000000,562799000000,-205029000000,357770000000,-44673000000,0,913227000000,106005000000,-4411000000,101594000000,0,3673552000000,-940970000000,2732582000000,-1345615000000,1386967000000,-277088000000,-277088000000,0,1109879000000,1109879000000,0.0,VCI,quarterly
TPB,2021,2,4365049000000,0.23031143300219115,1267049000000,0.5492437488537018,4365049000000,-1838447000000,2526602000000,590478000000,-177914000000,412564000000,159337000000,0,279498000000,59155000000,-2447000000,56708000000,0,3434709000000,-1237841000000,2196868000000,-612239000000,1584629000000,-317580000000,-317580000000,0,1267049000000,1267049000000,0.0,VCI,quarterly
TPB,2021,1,4093460000000,0.17509435868817597,1138029000000,0.4062084125695518,4093460000000,-1829971000000,2263489000000,444924000000,-162668000000,282256000000,-2110000000,0,269985000000,142259000000,-157883000000,-15624000000,0,2797996000000,-984895000000,1813101000000,-391066000000,1422035000000,-284006000000,-284006000000,0,1138029000000,1138029000000,0.0,VCI,quarterly
TPB,2020,4,3954780000000,0.2441379909152426,1090578000000,-0.0688736610413184,3954780000000,-1866314000000,2088466000000,636304000000,-178510000000,457794000000,265814000000,0,131094000000,462379000000,-130687000000,331692000000,0,3274860000000,-1308442000000,1966418000000,-601637000000,1364781000000,-274203000000,-274203000000,0,1090578000000,1090578000000,0.0,VCI,quarterly
TPB,2020,3,3511693000000,0.1479343384302979,791509000000,0.26168660794271703,3511693000000,-1803459000000,1708234000000,628592000000,-135105000000,493487000000,-50927000000,0,82180000000,110289000000,-128180000000,-17891000000,0,2215083000000,-809689000000,1405394000000,-415991000000,989403000000,-197894000000,-197894000000,0,791509000000,791509000000,0.0,VCI,quarterly
TPB,2020,2,3547922000000,0.22026090357009828,817850000000,0.3337062307571883,3547922000000,-1783413000000,1764509000000,313621000000,-154545000000,159076000000,276726000000,0,174457000000,110032000000,-35064000000,74968000000,0,2449736000000,-983182000000,1466554000000,-441670000000,1024884000000,-207034000000,-207034000000,0,817850000000,817850000000,0.0,VCI,quarterly
TPB,2020,1,3483516000000,0.2859465349926465,809289000000,0.1862476657295383,3483516000000,-1755992000000,1727524000000,291657000000,-134657000000,157000000000,-83475000000,0,322949000000,413936000000,-108424000000,305512000000,0,2429510000000,-1095980000000,1333530000000,-324075000000,1009455000000,-200166000000,-200166000000,0,809289000000,809289000000,0.0,VCI,quarterly
TPB,2019,4,3178731000000,0.23975419666372985,1171246000000,1.2758682333372844,3178731000000,-1675670000000,1503061000000,412786000000,-97892000000,314894000000,18919000000,0,86817000000,929849000000,-49675000000,880174000000,0,2803865000000,-1000467000000,1803398000000,-339224000000,1464174000000,-292928000000,-292928000000,0,1171246000000,1171246000000,0.0,VCI,quarterly
TPB,2019,3,3059141000000,0.29838191465792463,627342000000,0.3330655905958551,3059141000000,-1616987000000,1442154000000,347445000000,-75345000000,272100000000,10073000000,0,230115000000,35896000000,-29006000000,6890000000,0,1961332000000,-728320000000,1233012000000,-448536000000,784476000000,-157134000000,-157134000000,0,627342000000,627342000000,0.0,VCI,quarterly
TPB,2019,2,2907511000000,0.266848476345425,613216000000,1.002991997386902,2907511000000,-1499550000000,1407961000000,330019000000,-61398000000,268621000000,28759000000,0,196310000000,36104000000,-16897000000,19207000000,0,1920858000000,-795325000000,1125533000000,-358709000000,766824000000,-153608000000,-153608000000,0,613216000000,613216000000,842.0,VCI,quarterly
TPB,2019,1,2708912000000,0.25332287090123734,682226000000,0.33041207660791,2708912000000,-1425234000000,1283678000000,275219000000,-58466000000,216753000000,-13889000000,0,397475000000,25156000000,-3209000000,21947000000,0,1905964000000,-898212000000,1007752000000,-154886000000,852866000000,-170640000000,-170640000000,0,682226000000,682226000000,682.226,VCI,quarterly
TPB,2018,4,2564001000000,0.28319515468901546,514637000000,1.042753430475563,2564001000000,-1300788000000,1263213000000,297283000000,-60846000000,236437000000,72055000000,0,4709000000,19798000000,-3950000000,15848000000,0,1592262000000,-867837000000,724425000000,-80202000000,644223000000,-129586000000,-129586000000,0,514637000000,514637000000,0.0,VCI,quarterly
TPB,2018,3,2356118000000,0.20675935780671714,470601000000,1.0113130777811494,2356118000000,-1236613000000,1119505000000,255936000000,-60757000000,195179000000,-48307000000,0,115269000000,7873000000,-1541000000,6332000000,0,1387978000000,-728559000000,659419000000,-70227000000,589192000000,-118591000000,-118591000000,0,470601000000,470601000000,0.0,VCI,quarterly
TPB,2018,2,2295074000000,0.3021799889474299,306150000000,0.7929721815519766,2295074000000,-1230288000000,1064786000000,208464000000,-38606000000,169858000000,73351000000,0,57609000000,98669000000,-3118000000,95551000000,0,1461155000000,-642101000000,819054000000,-307533000000,511521000000,-205371000000,-205371000000,0,306150000000,306150000000,0.0,VCI,quarterly
