time,symbol,open,high,low,close,volume
2015-10-05,VCB,13.0,13.12,12.91,13.06,336080.0
2015-10-06,VCB,13.21,13.63,13.21,13.6,1309620.0
2015-10-07,VCB,13.69,13.94,13.57,13.57,1526700.0
2015-10-08,VCB,13.63,14.14,13.63,14.08,1338160.0
2015-10-09,VCB,14.26,14.26,13.96,13.96,711050.0
2015-10-10,VCB,14.26,14.26,13.96,13.96,711050.0
2015-10-11,VCB,14.26,14.26,13.96,13.96,711050.0
2015-10-12,VCB,14.06,14.54,14.0,14.44,1523040.0
2015-10-13,VCB,14.36,14.42,14.26,14.38,738570.0
2015-10-14,VCB,14.38,14.38,14.18,14.18,921110.0
2015-10-15,VCB,14.24,14.3,14.14,14.24,504420.0
2015-10-16,VCB,14.24,14.36,14.02,14.02,682110.0
2015-10-17,VCB,14.24,14.36,14.02,14.02,682110.0
2015-10-18,VCB,14.24,14.36,14.02,14.02,682110.0
2015-10-19,VCB,14.02,14.02,13.81,13.81,872090.0
2015-10-20,VCB,13.84,13.84,13.6,13.63,939520.0
2015-10-21,VCB,13.63,14.0,13.63,13.69,664260.0
2015-10-22,VCB,13.81,13.87,13.69,13.87,360190.0
2015-10-23,VCB,14.0,14.14,13.96,14.08,760300.0
2015-10-24,VCB,14.0,14.14,13.96,14.08,760300.0
2015-10-25,VCB,14.0,14.14,13.96,14.08,760300.0
2015-10-26,VCB,14.14,14.18,14.02,14.02,758050.0
2015-10-27,VCB,14.0,14.08,13.94,14.0,395950.0
2015-10-28,VCB,14.0,14.02,13.81,13.84,662770.0
2015-10-29,VCB,13.87,14.02,13.81,14.02,758130.0
2015-10-30,VCB,14.02,14.32,14.02,14.32,1711470.0
2015-10-31,VCB,14.02,14.32,14.02,14.32,1711470.0
2015-11-01,VCB,14.02,14.32,14.02,14.32,1711470.0
2015-11-02,VCB,14.32,14.56,14.3,14.32,1229570.0
2015-11-03,VCB,14.32,14.48,14.14,14.48,715650.0
2015-11-04,VCB,14.5,14.66,14.48,14.48,935950.0
2015-11-05,VCB,14.36,14.44,14.32,14.38,374890.0
2015-11-06,VCB,14.38,14.56,14.2,14.42,832310.0
2015-11-07,VCB,14.38,14.56,14.2,14.42,832310.0
2015-11-08,VCB,14.38,14.56,14.2,14.42,832310.0
2015-11-09,VCB,14.42,14.8,14.36,14.74,1119460.0
2015-11-10,VCB,14.72,14.74,14.5,14.5,613510.0
2015-11-11,VCB,14.5,14.6,14.32,14.32,491500.0
2015-11-12,VCB,14.26,14.32,14.02,14.3,879940.0
2015-11-13,VCB,14.32,14.36,14.14,14.26,571470.0
2015-11-14,VCB,14.32,14.36,14.14,14.26,571470.0
2015-11-15,VCB,14.32,14.36,14.14,14.26,571470.0
2015-11-16,VCB,14.14,14.3,14.08,14.14,426970.0
2015-11-17,VCB,14.14,14.42,14.12,14.18,448710.0
2015-11-18,VCB,14.12,14.26,14.12,14.18,302580.0
2015-11-19,VCB,14.24,14.24,14.08,14.12,359250.0
2015-11-20,VCB,14.12,14.2,14.12,14.12,268060.0
2015-11-21,VCB,14.12,14.2,14.12,14.12,268060.0
2015-11-22,VCB,14.12,14.2,14.12,14.12,268060.0
2015-11-23,VCB,14.14,14.18,14.02,14.02,463650.0
2015-11-24,VCB,14.02,14.02,13.81,13.87,402700.0
2015-11-25,VCB,13.94,13.94,13.66,13.81,391200.0
2015-11-26,VCB,13.75,13.81,13.63,13.63,281040.0
2015-11-27,VCB,13.54,13.63,13.24,13.3,673400.0
2015-11-28,VCB,13.54,13.63,13.24,13.3,673400.0
2015-11-29,VCB,13.54,13.63,13.24,13.3,673400.0
2015-11-30,VCB,13.27,13.3,12.88,12.88,977620.0
2015-12-01,VCB,12.88,13.03,12.61,12.64,880030.0
2015-12-02,VCB,12.64,12.82,12.61,12.67,1737010.0
2015-12-03,VCB,12.61,12.94,12.61,12.79,986090.0
2015-12-04,VCB,12.88,12.88,12.64,12.7,483880.0
2015-12-05,VCB,12.88,12.88,12.64,12.7,483880.0
2015-12-06,VCB,12.88,12.88,12.64,12.7,483880.0
2015-12-07,VCB,12.64,12.64,12.22,12.25,1415520.0
2015-12-08,VCB,12.25,12.97,12.01,12.94,909680.0
2015-12-09,VCB,12.94,12.94,12.37,12.43,892100.0
2015-12-10,VCB,12.43,12.55,12.31,12.37,406020.0
2015-12-11,VCB,12.37,12.58,12.25,12.4,579040.0
2015-12-12,VCB,12.37,12.58,12.25,12.4,579040.0
2015-12-13,VCB,12.37,12.58,12.25,12.4,579040.0
2015-12-14,VCB,12.46,12.58,12.37,12.49,634120.0
