time,open,high,low,close,volume,data_source
2015-10-05,13.0,13.12,12.91,13.06,336080,TCBS
2015-10-06,13.21,13.63,13.21,13.6,1309620,TCBS
2015-10-07,13.69,13.94,13.57,13.57,1526700,TCBS
2015-10-08,13.63,14.14,13.63,14.08,1338160,TCBS
2015-10-09,14.26,14.26,13.96,13.96,711050,TCBS
2015-10-12,14.06,14.54,14.0,14.44,1523040,TCBS
2015-10-13,14.36,14.42,14.26,14.38,738570,TCBS
2015-10-14,14.38,14.38,14.18,14.18,921110,TCBS
2015-10-15,14.24,14.3,14.14,14.24,504420,TCBS
2015-10-16,14.24,14.36,14.02,14.02,682110,TCBS
2015-10-19,14.02,14.02,13.81,13.81,872090,TCBS
2015-10-20,13.84,13.84,13.6,13.63,939520,TCBS
2015-10-21,13.63,14.0,13.63,13.69,664260,TCBS
2015-10-22,13.81,13.87,13.69,13.87,360190,TCBS
2015-10-23,14.0,14.14,13.96,14.08,760300,TCBS
2015-10-26,14.14,14.18,14.02,14.02,758050,TCBS
2015-10-27,14.0,14.08,13.94,14.0,395950,TCBS
2015-10-28,14.0,14.02,13.81,13.84,662770,TCBS
2015-10-29,13.87,14.02,13.81,14.02,758130,TCBS
2015-10-30,14.02,14.32,14.02,14.32,1711470,TCBS
2015-11-02,14.32,14.56,14.3,14.32,1229570,TCBS
2015-11-03,14.32,14.48,14.14,14.48,715650,TCBS
2015-11-04,14.5,14.66,14.48,14.48,935950,TCBS
2015-11-05,14.36,14.44,14.32,14.38,374890,TCBS
2015-11-06,14.38,14.56,14.2,14.42,832310,TCBS
2015-11-09,14.42,14.8,14.36,14.74,1119460,TCBS
2015-11-10,14.72,14.74,14.5,14.5,613510,TCBS
2015-11-11,14.5,14.6,14.32,14.32,491500,TCBS
2015-11-12,14.26,14.32,14.02,14.3,879940,TCBS
2015-11-13,14.32,14.36,14.14,14.26,571470,TCBS
2015-11-16,14.14,14.3,14.08,14.14,426970,TCBS
2015-11-17,14.14,14.42,14.12,14.18,448710,TCBS
2015-11-18,14.12,14.26,14.12,14.18,302580,TCBS
2015-11-19,14.24,14.24,14.08,14.12,359250,TCBS
2015-11-20,14.12,14.2,14.12,14.12,268060,TCBS
2015-11-23,14.14,14.18,14.02,14.02,463650,TCBS
2015-11-24,14.02,14.02,13.81,13.87,402700,TCBS
2015-11-25,13.94,13.94,13.66,13.81,391200,TCBS
2015-11-26,13.75,13.81,13.63,13.63,281040,TCBS
2015-11-27,13.54,13.63,13.24,13.3,673400,TCBS
2015-11-30,13.27,13.3,12.88,12.88,977620,TCBS
2015-12-01,12.88,13.03,12.61,12.64,880030,TCBS
2015-12-02,12.64,12.82,12.61,12.67,1737010,TCBS
2015-12-03,12.61,12.94,12.61,12.79,986090,TCBS
2015-12-04,12.88,12.88,12.64,12.7,483880,TCBS
2015-12-07,12.64,12.64,12.22,12.25,1415520,TCBS
2015-12-08,12.25,12.97,12.01,12.94,909680,TCBS
2015-12-09,12.94,12.94,12.37,12.43,892100,TCBS
2015-12-10,12.43,12.55,12.31,12.37,406020,TCBS
2015-12-11,12.37,12.58,12.25,12.4,579040,TCBS
2015-12-14,12.46,12.58,12.37,12.49,634120,TCBS
2015-12-15,12.49,13.09,12.49,12.97,1248200,TCBS
2015-12-16,13.06,13.27,13.0,13.06,663090,TCBS
2015-12-17,13.12,13.27,13.09,13.21,675360,TCBS
2015-12-18,13.06,13.24,12.37,12.37,3155650,TCBS
2015-12-21,12.61,12.76,12.61,12.76,1032900,TCBS
2015-12-22,12.82,12.88,12.7,12.76,502820,TCBS
2015-12-23,12.64,12.79,12.61,12.73,846590,TCBS
2015-12-24,12.79,12.85,12.67,12.67,228290,TCBS
2015-12-25,12.7,12.88,12.67,12.76,587920,TCBS
2015-12-28,12.85,12.91,12.76,12.76,431580,TCBS
2015-12-29,12.76,13.24,12.73,13.21,1440210,TCBS
2015-12-30,13.24,13.48,13.18,13.3,1125780,TCBS
2015-12-31,13.36,13.36,13.15,13.18,749830,TCBS
2016-01-04,13.15,13.21,12.79,12.97,761750,TCBS
2016-01-05,12.88,13.03,12.73,12.76,1133260,TCBS
2016-01-06,12.76,12.97,12.76,12.91,699490,TCBS
2016-01-07,12.85,12.88,12.61,12.76,935460,TCBS
2016-01-08,12.7,12.79,12.52,12.67,676340,TCBS
2016-01-11,12.67,12.73,12.55,12.58,742390,TCBS
2016-01-12,12.61,12.82,12.61,12.82,481040,TCBS
2016-01-13,12.85,12.88,12.7,12.7,448800,TCBS
2016-01-14,12.55,12.67,12.46,12.55,641380,TCBS
2016-01-15,12.55,12.61,12.19,12.19,880150,TCBS
2016-01-18,11.86,12.01,11.41,11.59,1614080,TCBS
2016-01-19,11.59,12.13,11.59,12.1,771340,TCBS
2016-01-20,12.01,12.31,11.86,12.01,733790,TCBS
2016-01-21,11.86,12.01,11.74,11.83,654450,TCBS
2016-01-22,12.01,12.04,11.59,11.89,777540,TCBS
2016-01-25,12.01,12.58,12.01,12.52,1367810,TCBS
2016-01-26,12.16,12.4,12.1,12.19,656340,TCBS
2016-01-27,12.4,12.4,12.16,12.16,582060,TCBS
2016-01-28,12.1,12.25,12.1,12.16,562170,TCBS
2016-01-29,12.16,12.43,12.1,12.43,1019250,TCBS
2016-02-01,12.43,12.46,12.22,12.22,223320,TCBS
2016-02-02,12.13,12.25,12.1,12.13,603810,TCBS
2016-02-03,12.01,12.01,11.8,11.89,802180,TCBS
2016-02-04,12.01,12.19,12.01,12.01,286750,TCBS
2016-02-05,11.89,12.13,11.89,12.04,268300,TCBS
2016-02-15,11.95,12.19,11.83,12.1,800790,TCBS
2016-02-16,12.04,12.25,12.04,12.1,390050,TCBS
2016-02-17,12.1,12.19,11.95,11.95,827530,TCBS
2016-02-18,12.01,12.28,11.98,12.1,735780,TCBS
2016-02-19,12.19,12.19,12.04,12.04,473670,TCBS
2016-02-22,12.04,12.16,12.01,12.13,653090,TCBS
2016-02-23,12.22,12.49,12.22,12.31,1130660,TCBS
2016-02-24,12.31,12.91,12.22,12.7,1653800,TCBS
2016-02-25,12.76,12.91,12.49,12.55,1236220,TCBS
2016-02-26,12.61,12.61,12.4,12.61,493160,TCBS
2016-02-29,12.55,12.61,12.31,12.31,887030,TCBS
2016-03-01,12.31,12.46,12.22,12.22,849900,TCBS
2016-03-02,12.34,12.58,12.31,12.52,647420,TCBS
2016-03-03,12.58,12.64,12.46,12.49,464550,TCBS
2016-03-04,12.49,12.76,12.46,12.55,681190,TCBS
2016-03-07,12.61,12.67,12.52,12.55,567700,TCBS
2016-03-08,12.55,12.61,12.43,12.49,775770,TCBS
2016-03-09,12.52,12.58,12.4,12.43,469530,TCBS
2016-03-10,12.46,12.52,12.31,12.49,643780,TCBS
2016-03-11,12.55,12.58,12.46,12.49,510750,TCBS
2016-03-14,12.52,12.52,12.4,12.52,807110,TCBS
2016-03-15,12.46,12.64,12.46,12.61,1294120,TCBS
2016-03-16,12.64,13.06,12.64,12.97,1864950,TCBS
2016-03-17,13.06,13.12,12.82,12.82,1074970,TCBS
2016-03-18,12.79,12.85,12.67,12.76,3546350,TCBS
2016-03-21,13.0,13.18,12.85,12.88,1862820,TCBS
2016-03-22,12.91,13.0,12.85,13.0,592130,TCBS
2016-03-23,13.0,13.0,12.85,12.88,645700,TCBS
2016-03-24,12.88,12.91,12.61,12.64,825250,TCBS
2016-03-25,12.61,12.85,12.49,12.85,1381530,TCBS
2016-03-28,12.88,12.91,12.79,12.85,533900,TCBS
2016-03-29,12.88,12.88,12.61,12.61,325890,TCBS
2016-03-30,12.49,12.7,12.49,12.64,444490,TCBS
2016-03-31,12.61,12.67,12.31,12.31,937910,TCBS
2016-04-01,12.31,12.43,12.25,12.28,554870,TCBS
2016-04-04,12.37,12.4,12.16,12.28,439520,TCBS
2016-04-05,12.28,12.43,12.22,12.31,610190,TCBS
2016-04-06,12.31,12.61,12.28,12.61,920280,TCBS
2016-04-07,12.67,12.67,12.34,12.52,594270,TCBS
2016-04-08,12.46,12.52,12.4,12.43,653640,TCBS
2016-04-11,12.43,12.61,12.28,12.49,985640,TCBS
2016-04-12,12.49,12.79,12.31,12.64,970780,TCBS
2016-04-13,12.7,12.73,12.55,12.58,633990,TCBS
2016-04-14,12.58,12.76,12.55,12.7,774160,TCBS
2016-04-15,12.76,13.06,12.7,12.76,1187790,TCBS
2016-04-19,12.79,13.0,12.67,12.73,983900,TCBS
2016-04-20,12.76,12.85,12.64,12.85,769750,TCBS
2016-04-21,12.85,12.97,12.79,12.88,818280,TCBS
2016-04-22,12.88,13.75,12.88,13.72,2478140,TCBS
2016-04-25,13.78,14.06,13.78,13.78,1300050,TCBS
2016-04-26,13.66,14.18,13.66,14.18,835300,TCBS
2016-04-27,14.18,14.26,13.78,13.81,1194570,TCBS
2016-04-28,13.81,14.06,13.72,13.87,693290,TCBS
2016-04-29,13.69,14.06,13.69,13.81,726380,TCBS
2016-05-04,13.75,14.02,13.57,13.84,747740,TCBS
