ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
VHM,2025,2,9033008000000,629678000000,-271835000000,148853000000,-9258169000000,2453497000000,2735032000000,-14248845000000,-16011773000000,77550793000000,-1118944000000,-2434109000000,-6013904000000,40458250000000,-2035225000000,1949467000000,-16004526000000,86408000000,-27933138000000,11365530000000,17019366000000,-15552118000000,0,0,15432773000000,-13153219000000,-6500000000,2273054000000,27179186000000,21492706000000,0,48671892000000,VCI,quarterly
VHM,2025,1,3839479000000,488518000000,157428000000,48276000000,-4079207000000,3641519000000,4096013000000,13105903000000,-976784000000,-13009643000000,-146682000000,-3638831000000,-922662000000,635564000000,-2324859000000,121443000000,-7367722000000,8198743000000,-15925119000000,2167780000000,597512000000,-14532222000000,0,0,21136121000000,-14526880000000,0,6609241000000,-7287417000000,28780123000000,0,21492706000000,VCI,quarterly
VHM,2024,4,16252191000000,479223000000,74163000000,181683000000,-9006917000000,2972408000000,10952751000000,-33242782000000,-14850314000000,38144453000000,931252000000,-2375409000000,-1821740000000,-3761789000000,3803752000000,447757000000,4652694000000,-9158241000000,-5257637000000,17857864000000,2872100000000,15218289000000,0,-10485188000000,31449604000000,-24262276000000,0,-3297860000000,8158640000000,20621483000000,0,28780123000000,VCI,quarterly
VHM,2024,3,10836623000000,530438000000,31625000000,-161821000000,-5516078000000,1508326000000,7229113000000,-30756602000000,20865736000000,3729570000000,-312295000000,-1435432000000,-7012241000000,-7692151000000,-3836747000000,1983842000000,6388697000000,-9313214000000,-17876125000000,23966461000000,7713668000000,9026582000000,20000000000,0,18320877000000,-16228565000000,-5236000000,2107076000000,3441507000000,17179976000000,0,20621483000000,VCI,quarterly
VHM,2024,2,12342794000000,370152000000,138163000000,225936000000,-8184899000000,2042438000000,6934584000000,-30089335000000,4895964000000,15893497000000,-759336000000,-2514638000000,-734198000000,-6371928000000,-606604000000,-847350000000,-18742918000000,24562533000000,-10242204000000,9284977000000,3656935000000,7065369000000,0,0,14691675000000,-7729759000000,0,6961916000000,7655357000000,9524619000000,0,17179976000000,VCI,quarterly
VHM,2024,1,1416341000000,420665000000,-37971000000,0,-1866446000000,1066079000000,998668000000,-1302647000000,-3342586000000,1583166000000,-533755000000,-651368000000,-1323626000000,-4573682000000,-10005472000000,885519000000,-10089090000000,2198240000000,-5046644000000,14761301000000,1370421000000,-5925725000000,2000000000,0,16035251000000,-9516406000000,-600000000000,5920845000000,-4578562000000,14103181000000,0,9524619000000,VCI,quarterly
VHM,2023,4,1323126000000,1104615000000,-45291000000,-63664000000,-4118033000000,1013827000000,-785420000000,-7088459000000,-4311940000000,15217316000000,808896000000,-618430000000,344913000000,4214189000000,-1433240000000,-202878000000,-10418855000000,19867104000000,-27884766000000,11838365000000,1398370000000,-6835900000000,0,0,20944474000000,-7128546000000,0,13815928000000,11194217000000,2909914000000,0,14104131000000,VCI,quarterly
VHM,2023,3,14206185000000,408352000000,288299000000,100319000000,-1831774000000,716341000000,13887722000000,-4626048000000,-26984000000,11085148000000,442642000000,-747046000000,-5245455000000,14574234000000,-4215369000000,-44140000000,-4473394000000,4951979000000,-12832108000000,-204723000000,180938000000,-16636817000000,0,0,7810668000000,-7943455000000,0,-132787000000,-2195370000000,5105284000000,0,2909914000000,VCI,quarterly
VHM,2023,2,12640174000000,324476000000,-169510000000,73141000000,-1882729000000,679165000000,11664717000000,-15553916000000,6031563000000,-1596456000000,1006839000000,-1235321000000,-606719000000,1911833000000,-3760913000000,49642000000,-6136292000000,2277206000000,-3328059000000,6060795000000,2031522000000,-2806099000000,15700000000,0,17554065000000,-13459859000000,0,4109906000000,3215640000000,1889644000000,0,5105284000000,VCI,quarterly
VHM,2023,1,15074055000000,312876000000,181886000000,0,-10571507000000,682987000000,5680297000000,-6161802000000,563275000000,-5957063000000,1551061000000,-568651000000,-304947000000,-5397896000000,-4293339000000,0,-11162378000000,1949115000000,-1081000000000,6104561000000,1491839000000,-6991202000000,1000000000,0,7603764000000,-4142805000000,0,3461959000000,-8927139000000,10816783000000,0,1889644000000,VCI,quarterly
