rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
47.4,67.0,101900.0,2900.0,0.029,-0.025,11724680,"Vinhomes rót 21.000 tỷ đồng xây nhà xưởng cho thuê dành cho VinFast tại Hà Tĩnh, cần tới 15.000 lao động",TCBS,2025-09-29 15:24:00
57.3,65.0,100000.0,0.0,0.0,0.055,11705046,Vinhomes là tổng thầu xây dựng tại siêu dự án 44.000 tỷ đồng tại Đà Nẵng,TCBS,2025-09-08 18:47:00
68.4,83.0,99800.0,800.0,0.008,0.085,11679743,Vinhomes thoái toàn bộ phần vốn góp tại công ty con vốn hơn 5.000 tỷ tại Hải Phòng,TCBS,2025-08-21 06:25:00
58.6,68.0,99000.0,5100.0,0.054,0.076,11679614,VHM: Thông báo về việc chuyển nhượng phần vốn góp tại Công ty con - Công ty TNHH Đầu tư và Phát triển BĐS Hoàng Long,TCBS,2025-08-20 17:13:18
58.6,72.0,93900.0,0.0,0.0,0.021,11676876,"Soi danh mục dự án đồ sộ chưa từng có của Vinhomes, hơn 138.000 tỷ đồng doanh số bán hàng chưa ghi nhận",TCBS,2025-08-19 07:16:00
58.9,80.0,93900.0,-100.0,-0.001,-0.022,11676703,Vinhomes huy động 15.000 tỷ đồng trái phiếu,TCBS,2025-08-18 17:02:00
56.9,62.0,93900.0,900.0,0.01,0.057,11672876,VHM: Nghị quyết HĐQT về việc chào bán và phát hành trái phiếu doanh nghiệp theo hình thức riêng lẻ,TCBS,2025-08-14 10:44:00
58.1,62.0,93000.0,-500.0,-0.005,0.047,11669334,Vinhomes giảm lượng nhân sự lớn chưa từng có: 3.500 người đã đi đâu?,TCBS,2025-08-12 00:01:00
61.2,71.0,93500.0,-1300.0,-0.014,0.064,11669076,VHM: Thông báo thay đổi nhân sự - Miễn nhiệm Phó Tổng Giám đốc,TCBS,2025-08-11 15:03:19
60.1,77.0,90000.0,-1500.0,-0.016,0.173,11658245,VHM: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,TCBS,2025-07-31 17:18:32
60.1,77.0,90000.0,-1500.0,-0.016,0.173,11656580,Vinhomes kỳ vọng doanh thu sẽ bùng nổ vào cuối năm 2025,TCBS,2025-07-31 09:17:00
61.5,87.0,91500.0,-600.0,-0.007,0.193,11655441,"Vinhomes (VHM) báo lãi 11.000 tỷ đồng sau 6 tháng đầu năm 2025, cầm gần 49.000 tỷ đồng tiền mặt",TCBS,2025-07-30 15:18:00
82.4,97.0,,,,,11639743,Vinhomes dự kiến thi công hạ tầng khu công nghiệp 4.000 tỷ tại Hải Phòng từ quý 1/2026,TCBS,2025-07-20 11:47:00
82.4,97.0,,,,,11639673,"Vinhomes triển khai thêm KCN hơn 220ha tại nơi tỷ phú Phạm Nhật Vượng rót vốn đầu tư 7,5 tỷ USD",TCBS,2025-07-19 13:07:00
74.1,92.0,88000.0,600.0,0.007,0.306,11635547,"Vinhomes lần đầu bán chỗ đỗ ô tô điện: Giá nửa tỷ/1 slot, sở hữu 43 năm",TCBS,2025-07-16 15:22:00
