officer_name,officer_position,officer_own_percent
Doan Thi Thu Mai,Member of Supervisors Board,0.0
Tran Kien Cuong,Member of Management Board,0.0
Nguyen Vu Hung,Deputy General Director,0.0
Le Tien Cong,Chief Financial Officer,0.0
Tong Thi Mui,,0.0
Pham Thi Tuyet Mai,,0.0
Ho Thi Thu Hang,,0.0
Nguyen Huu Thanh,,0.0
Nguyen Huu Thanh,,0.0
DANG THI THU PHUONG,,0.0
Cao Thi Ha An,,0.0
Varun Kapur,,0.0
Mueen Uddeen,,0.0
Nguyen Duc Quang,,0.0
Douglas Farrell,,0.0
Nguyen Ngoc Thuy Linh,,0.0
Pham Khoi Nguyen,,0.0
Le Thi Duyen,,0.0
Nguyen Van Trai,,0.0
Nguyen Anh Dung,,0.0
