Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
VHM,2025,2,0.5780857427,1.8364007623,0.07546010154824781,5.611947347271764,0.1743066064,6.2910207448,70.54355319260989,331.5984298478,105.8073289459,507.94931198630985,1.1007289756,0.1591442533136168,0.2205917050369695,0.39568134026731333,0.1472123261,0.0712213346,0.0524650244,24983289000000,3019756000000,1.3527603902,0.1749622107,1.0718439305,-1.2307966954921894,2.8364007623079366,404990823594400.0,4107412004.0,14.1176846867,1.9004346467,4.0333915379,14.395208397,1827.9242483316266,51882.86804257,18.5772865052,VCI,quarterly
VHM,2025,1,0.6377713221,1.5134896568,0.06479299726433341,5.438850760100179,0.2048837807,7.480515763,65.10679100662983,282.2643292177,97.9731532865,445.34427351082985,1.2931141565,0.19449777954616526,0.32857410317559965,0.17129368183052568,0.1679524663,0.085992124,0.0627013105,28641610000000,3053210000000,1.094034171,0.0968013492,0.8596465679,-0.8384440668852751,2.51348965683626,364738185955200.0,4107412004.0,11.4345694881,1.776397932,3.3215418584,-22.3535654178,654.6589427555269,49988.7994678997,15.685801041,VCI,quarterly
VHM,2024,4,0.5812519912,1.5559445507,0.0662404670387946,5.374283728660009,0.2028531431,7.7831260509,69.2395676082721,289.7798472918,106.3390516796,465.3584665796721,1.259576894,0.30137795452317845,0.39345896810397923,0.3751360352278137,0.1665260075,0.0813901518,0.0630451943,26383247000000,9768708000000,1.0249401349,0.1163540946,0.8285677609,-3.286462692873926,2.555944550694985,236176190230000.0,4107412004.0,7.8242179415,1.1655214703,2.3081395279,-11.108257684,2960.3711505343304,49334.1405251442,11.5057959405,VCI,quarterly
VHM,2024,3,0.5562927821,1.4294796322,0.08034786203629878,5.257951571200599,0.1629183214,6.0091450178,93.6812110801768,361.6526955965,126.1113520834,581.4452587600769,1.0092555771,0.21047709126588363,0.29262624754892563,0.23605442127876178,0.1086271459,0.0444143063,0.0424200874,15223260000000,7013758000000,1.2277989607,0.083635563,0.9926423802,-4.650027911737913,2.429479632171648,164296480160000.0,4107412004.0,8.0457073931,0.8209442144,2.0900923412,-11.4171005106,1915.0927621430792,48724.3826051788,15.2188523457,VCI,quarterly
VHM,2024,2,0.556224186,1.3845985021,0.05928876377913464,5.0380205783709835,0.1712269806,6.6355614775,93.24543715137081,397.1963420152,134.4493056077,624.8910847742709,0.9189409906,0.2444938856114762,0.3061899399775101,0.38381960492207257,0.1274554861,0.070006366,0.0511347586,21725877000000,6937603000000,1.1394011641,0.0753667338,0.8820662992,-3.396726363297197,2.3845985020934046,197470565580800.0,4354367488.0,8.4765253087,1.0270675371,2.5314064,25.1785381246,2501.171761458825,44154.8373052706,12.2184914598,VCI,quarterly
VHM,2024,1,0.5269343887,1.3672081966,0.055921920347052206,4.777125859517257,0.191247473,7.3350633775,86.75922125780038,393.4020046078,134.5560857606,614.7173116262004,0.9278041182,0.1050636806966484,0.21609335832845888,0.10774270414279227,0.1252137389,0.0911569907,0.051372271,25969246000000,862699000000,1.1875603535,0.0443057185,0.9142436958,-0.8092261455295527,2.3672081965936753,167643148288000.0,4354367488.0,7.5881198795,0.9198735059,2.038295952,10.3954596153,203.1746292516871,41853.5806870327,9.0871284553,VCI,quarterly
VHM,2023,4,0.5205837168,1.4345141705,0.06432639104629169,4.44000961730646,0.2568233109,9.8572792877,60.90080313663945,322.1943784833,95.442587628,478.5377692479395,1.1328565126,-0.23186575202102286,0.10143021457932647,0.09493323197175857,0.2056693774,0.1167929433,0.0827619377,29387165000000,-2016670000000,1.1481351181,0.0668165306,0.8860568255,1.9891658044222535,2.453046180619863,193769353216000.0,4354367488.0,5.806448603,1.0806883187,1.8711422057,127.7411190059,189.62317771191294,41177.4599856649,8.0743367799,VCI,quarterly
VHM,2023,3,0.4014857863,1.3058115382,0.06663348713354544,4.403369075804064,0.3253107368,12.4104350775,57.26181005249578,285.4095791878,84.753212567,427.42460180729574,1.2788638736,0.4167711309541817,0.45706085380127465,0.32681605747347936,0.2551615228,0.1933786433,0.1065866215,44758430000000,13638461000000,1.0957860449,0.0178720266,0.8150154401,-19.03906240184493,2.3058115381508513,179835377254400.0,4354367488.0,4.3620161316,1.0127677984,1.4291952539,6.3350420051,2456.10000292194,40779.3376395888,4.9900743001,VCI,quarterly
VHM,2023,2,0.4075450276,1.299473719,0.05932256209450443,4.143306121574065,0.3014371886,11.8725494764,64.40547523693391,324.2936835687,87.9547007897,476.65385959533387,1.1255230012,0.34422959800774133,0.40190343135645157,0.29704250990154885,0.2979696748,0.1764590828,0.12237526,39003941000000,11226648000000,1.0270093128,0.0294496207,0.7264222875,-16.530074429630503,2.299473718981217,207050174054400.0,4354367488.0,4.59839019,1.2404516921,1.8668207336,111.5162287484,2224.8227846404498,38332.8107836543,6.3732336446,VCI,quarterly
VHM,2023,1,0.38037452559999996,1.3539836503,0.057119738987116385,3.9055769142169554,0.2365567528,9.3234339207,81.196296603419,438.2701383374,104.8999882801,624.366423220919,0.8328196883,0.17355356442981135,0.2267366955990358,0.4067545715647361,0.2578165967,0.1383923113,0.1029071013,29121891000000,5084869000000,1.0764334095,0.0232906974,0.7569178699,-7.445045074064367,2.3539836502899125,239925648588800.0,4354367488.0,6.6635938697,1.5263198998,2.8988017435,7.50358397,2736.8663836578785,36099.9027834005,9.6477524962,VCI,quarterly
VHM,2022,4,0.3843387602,1.4360904746,0.06230150038201816,3.6130765030505083,0.2106687012,7.4110908721,88.60676056339666,535.8184549819,158.5579715264,782.9831870716966,0.6812008743,0.42845806639184075,0.4835869191356701,0.2862087688579231,0.2059868241,0.1386935734,0.0973474649,26837168000000,13365030000000,1.0467231288,0.0701404072,0.7039366453,-30.237692845458927,2.433922595773705,217718374400000.0,4354367488.0,7.5515717199,1.4993007657,3.4894901628,7.0223778196,2050.309723422223,33348.8791196854,9.2238673395,VCI,quarterly
VHM,2022,3,0.41904427769999997,1.4377149455,0.06324451954425654,3.4116794434922237,0.1941601737,6.8291341641,110.87400318736168,613.5716973724,175.189476696,899.6351772557617,0.5948775042,0.4496833365843171,0.5220974130275727,0.8140383750128546,0.2354462377,0.1267605436,0.1124637797,23987279000000,8006552000000,1.0022520251,0.082398286,0.6969434573,-11.050683891626296,2.4377149455179428,226427109376000.0,4354367488.0,7.1579671898,1.6683805017,4.1461234162,8.3383407716,3328.5764327294187,31167.9499661008,10.6827961761,VCI,quarterly
VHM,2022,2,0.3435654506,1.4639680611,0.06360898716991333,3.1530489727808666,0.2292291287,7.9135445472,92.71014400340329,564.8403026371,182.5866884493,840.1371350898032,0.6462003478,0.2769770107434711,0.45198186485613484,0.14908478725565022,0.2190760229,0.1724857442,0.1128706689,28997880000000,1238208000000,1.048944942,0.1734734801,0.7186007071,-2.15008847221764,2.4639680610830257,229910603366400.0,4354367488.0,8.1108736443,1.8986770083,3.9993960889,5.0167558226,153.05873972206177,27808.8372958199,8.2894623802,VCI,quarterly
VHM,2022,1,0.3293793722,0.7194041471,0.054614708575717145,3.312837788551197,0.3622029967,12.0621153207,62.480054844077365,329.5558924978,127.5164331098,519.5523804516774,1.1075511266,0.275880737245181,0.4332350907548504,0.5087769471361542,0.313588191,0.249101848,0.1705752189,41245432000000,2461819000000,1.342642582,0.0796386638,0.9217943421,-5.1699987819578554,1.7194041470591095,261697486028800.0,4354367488.0,6.824194726,2.0251913788,3.2295965842,12.8435725168,1042.6464951595744,29676.2077055082,6.9919671111,VCI,quarterly
VHM,2021,4,0.30125237,0.7542121045,0.05661014803275778,3.206378149349149,0.3812357039,12.6802182471,55.667366424013316,358.0804969233,119.455356058,533.2032194053133,1.0193238759,0.4760753975253887,0.6021711897294534,0.509653153786128,0.3520906207,0.2802023507,0.1741625426,43489654000000,11146339000000,1.2524692424,0.0922049248,0.8734431734,-17.876703255109767,1.7495759824924018,280856702976000.0,4354367488.0,7.1736340983,2.251509764,3.3047561369,16.3125833529,2740.3507014243073,28647.4440533027,6.9748183551,VCI,quarterly
VHM,2021,3,0.3097577581,0.8373312903,0.04962454074297488,2.91040355541601,0.390055356,13.8239284764,48.913382834227356,335.3026544939,98.907425748,483.12346307612734,1.0885687754,0.6280444135946854,0.6599680629556882,0.5399951952263297,0.3827286684,0.2651445648,0.1809159703,38494386000000,12987603000000,1.2603947927,0.0997585371,0.8673452381,-25.85055462559538,1.8373312903181147,335286296576000.0,4354367488.0,8.5860704593,2.9392882132,4.0302226473,18.9668920822,2564.5044959512616,26196.8185538685,9.2938754907,VCI,quarterly
VHM,2021,2,0.3594457661,1.1202127522,0.06085612476184378,2.4211675844340257,0.4168385229,16.973257,49.598184570428835,298.4780900062,78.6663173509,426.7425919275288,1.2228703286,0.4878877192030589,0.5147331155461765,0.37663247560602986,0.3693991088,0.2612196637,0.1568046073,32863425000000,13668233000000,1.0717985301,0.0945681851,0.6938431878,-22.3152274178091,2.1202127522219603,348349399040000.0,4354367488.0,10.2869725849,3.6353866237,3.9142075139,14.6458928552,2423.1771960171313,22005.9125152094,11.1497443751,VCI,quarterly
VHM,2021,1,0.3892659693956375,1.1956068277359009,0.06172859720244064,2.3032672862588246,0.3565064072608948,17.418201446533203,55.18120048484108,363.6105041503906,80.59970092773438,499.3914055629661,1.0038213729858398,0.39174381957304544,0.4783715569184814,0.4155217738254846,0.31154096126556396,0.20072343945503235,0.12162768095731735,24377104007168,5087358000000,1.0083246231079102,0.08305671066045761,0.5623382925987244,-8.554796789528469,2.195606819734716,355267503144000.0,3289513918.0,13.4613283594,3.8998960351,4.5925404522,15.655897858,1640.4092320365735,27693.0459243614,15.3473843384,VCI,quarterly
VHM,2020,4,0.43658962309999994,1.4158710013,0.06966733725454752,2.183503527590119,0.3468365951,21.6908137412,49.703870352565104,413.44137319,69.9412146196,533.0864581621651,0.8828337551,0.26404433506673786,0.33926355804836567,0.5347012581488816,0.3555694038,0.1846142314,0.1325906006,21603720000000,5680122000000,0.9896197212,0.1361216356,0.5738577941,-9.593131600414116,2.3965694181553525,328951391800000.0,3289513918.0,12.2462784191,3.838383085,4.5977134052,13.4615678154,3496.7154074220884,26052.6366923248,16.2513252255,VCI,quarterly
VHM,2020,3,0.6560778468999999,1.7991276655,0.03596599230034418,1.9179426588635933,0.3007158813,38.6406079806,63.54281788165452,596.9545320704,87.5805640334,748.0779139854545,0.6114368522,0.28465012558440284,0.34418120313618894,0.2287661991343142,0.3060880524,0.2062929914,0.1055892053,23232155344891,7538272000000,1.1920457919,0.1233411641,0.778394499,-6.9258534120403334,2.7991276654857886,287503516433200.0,3289513918.0,12.9243964171,3.8383892147,4.523197156,10.9529951912,1841.7070579483714,22769.9681068806,13.3281307669,VCI,quarterly
VHM,2020,2,0.8275736029,1.9661143944,0.03751976605347802,1.8451001975500874,0.2440058863,46.5371207317,68.43284997672374,961.9273172364,119.6346365159,1149.9948037290237,0.379446548,0.324823976236166,0.39231582216498023,0.20973662108870514,0.3145187459,0.1825425591,0.1104989631,21774228149991,5319474000000,1.1334335419,0.0951019843,0.663819104,-7.762414524738577,2.9661143943896557,248687252200800.0,3289513918.0,11.5352408917,3.6411300972,5.1825513031,-407.070937227,1044.1506209185768,20762.7846248863,13.1228063393,VCI,quarterly
VHM,2020,1,0.4642618844,1.8063469287,0.008589676609489385,1.7611717288052215,0.2996239255,134.4536775158,58.51407881024724,773.1110860187,84.2698111795,915.8949760084473,0.4721184402,0.33297551978579043,0.4523363516884832,1.0497922758905047,0.3946577306,0.246351278,0.1461722977,24729694039865,2170742000000,1.1676932069,0.0366591442,0.658725144,-3.510562047785544,2.806346928656146,250003057768000.0,3289513918.0,9.8851928997,3.9731556192,4.7626727783,33.1008588417,2080.499177264767,19128.3723275008,11.3873291887,VCI,quarterly
VHM,2019,4,0.5384900076,2.0478389391,0.004349551893925168,1.5765668488317541,0.3257941256,126.144865652,56.40461582845466,735.1836565026,64.7998727016,856.3881450326546,0.496474584,0.5488671906148169,0.706331675070551,0.4217077340576192,0.3853870601,0.2545319731,0.1372378177,23570360000000,7784978000000,1.1480640491,0.1096795332,0.6520258084,-13.33468878786737,3.0448119201009276,212173647711000.0,3289513918.0,9.9342397239,3.7823205556,4.1097474438,4.1604133597,1818.3184960155563,17053.023151246,10.2816988074,VCI,quarterly
VHM,2019,3,0.7892689914,1.5465193754,0.005954292730522283,1.5455798034627353,0.3952797295,169.5988513213,53.812093733531185,380.8885355564,36.2423607907,470.94299008063115,0.9582856031,0.5612246562169141,0.6203540962030699,0.5015963829519589,0.3193506984,0.1840508751,0.1292469191,17351403142759,6120751331754,1.5147863135,0.121411562,0.8461802239,-8.539183657510968,2.546519375392755,287503516433200.0,3289513918.0,16.2702252407,5.3537835124,5.3199704604,27.5965076256,1662.9939184659197,16324.9036493954,18.3082145236,VCI,quarterly
VHM,2019,2,0.7793821670000001,1.3559187294,0.004758459248381844,1.4357676730500932,0.3822201502,154.8160722247,54.06749067863707,349.4181067424,29.859354471,433.3449518920371,1.0445938346,0.39762573194321726,0.4428098991064392,0.35017602625027267,0.3144793597,0.1544022962,0.122642635,13338914982819,8303685850838,1.7967077032,0.2442115598,1.3159685497,-16.292320878788754,2.3559187293696926,288058196948000.0,3349513918.0,17.9496894401,5.4204836944,5.7595006676,13.4257285156,2183.237851274992,15865.7427727739,22.9340051427,VCI,quarterly
VHM,2019,1,0.9131520720999999,1.5311793764,0.004286838398513861,1.2357131645622712,0.2719628147,122.9423413627,69.31098616168936,491.6650597048,39.0904958339,600.0665417003894,0.7423753077,0.15410665440804863,0.22702613923859635,0.43402580862191625,0.2742104071,0.0800663386,0.1025529054,6379380691985,901925317436,1.7610395538,0.0435094189,1.088684539,-1.8204950656747267,2.5311793764100106,281359169112000.0,3349513918.0,21.8658782582,6.1467632208,8.2452792174,206.0654629449,758.3731593818086,13665.7289345788,48.6397142574,VCI,quarterly
VHM,2018,4,1.1925331323,1.4860124053,0.008279343312848133,1.1715083638456933,0.452234,52.105398119,90.10782125428081,346.6505178319,21.8817138869,458.6400529730808,1.0529336644,0.10814200758441299,0.1667548607473381,0.14311304345354184,0.4902962604,0.0951506069,0.1670768819,7878671751382,1773580487373,2.1273083021,0.0819964084,1.2675818199,-2.117470140237602,2.448273364379216,301456252620000.0,3349513918.0,21.1038006918,6.9727682081,7.7967539255,-206.0254324352,700.7351536853653,12907.355775197,43.4342442167,VCI,quarterly
VHM,2018,3,1.4539750985,1.9863633011,0.008549616385515497,1.1266272957169845,0.2553402908,22.3292949607,87.91619029354226,593.3709509087,49.3746568396,730.6617980418423,0.6151295399,0.31263712019813494,0.38617311841796675,0.5594495325876988,0.3175874967,0.064837753,0.1084970182,5853490323101,2150376796743,1.681689481,0.0926171232,1.0831111912,-2.9957876127547602,2.9863633011375077,274660141276000.0,3349513918.0,25.2138837187,6.6671319034,10.7136683804,-33.3513791104,1148.8230804995867,12299.141698177,53.8837555372,VCI,quarterly
VHM,2018,2,0.0,0.0,0.0023177004846028776,1.0360010891722806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22730399516264257,0.2539638090362577,0.7916353632789286,0.0,0.0,0.0,0,1134792167236,0.0,0.0,0.0,-1.938087480218422,2.759225018134869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
VHM,2018,1,0.0,0.0,0.07169785568148311,0.931185962436677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2021626044509972,0.27136405333805697,0.370804936417514,0.0,0.0,0.0,0,2129726559028,0.0,0.0,0.0,-7.091821924685693,2.475780069435993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
VHM,2017,4,2.1686516264,4.0676517242,0.13393156905619885,0.24647601668846367,0.3444387806,6.1208241593,147.59296053881798,463.8563837867,46.6880404325,658.137384758018,0.7868814848,0.02188703074115929,0.1174275017129852,-0.30742050060787557,0.1433092624,0.12291696,0.0317399144,3538519106316,70719548640,1.2979860308,0.045629406,0.8010619956,-0.3092238750579167,5.0676517241579875,254563057768000.0,3349513918.0,10.7828792919,36.8708590106,16.6410315197,5.4362381519,-296.5539212704952,2061.2484232624,82.0207185249,VCI,quarterly
VHM,2017,1,0.9662063121,2.827151433,0.31122192703808904,0.25118212897721764,0.419090678,3.8978467239,7.909827408729597,308.737953399,64.7562671914,381.4040479991296,1.1822323624,0.26407514389205505,0.4235812305872004,0.21910765290904335,0.3312464423,0.1618901173,0.0679585451,3577386289017,891936574159,0.6273646244,0.1116691806,0.3707771792,-5.854821883627438,3.8271514330076024,0.0,200000000.0,0.0,0.0,0.0,0.0,3700.274975285,14711.189380355,0.0,VCI,quarterly
VHM,2016,4,0.9589153444,2.9293091532,0.4785432432225828,0.15791351200287332,0.3570855674,3.9209461188,8.837707167561339,394.7881564506,67.2948710537,470.9207346718614,0.924546479,0.2643000959604158,0.4082209058162408,0.16429960657544634,0.1976975055,0.1214401362,0.0524786861,2626840408041,2521139484208,0.6147155203,0.1044570178,0.2988186619,-11.410291912276932,5.290919728405981,0.0,2679611550.0,0.0,0.0,0.0,0.0,584.8765857211655,11010.91440507,0.0,VCI,quarterly
