time,open,high,low,close,volume,data_source
2018-05-17,64.36,64.36,64.36,64.36,18000,TCBS
2018-05-18,64.36,64.36,64.36,64.36,0,TCBS
2018-05-21,64.36,64.36,64.36,64.36,0,TCBS
2018-05-22,68.85,68.85,68.85,68.85,20,TCBS
2018-05-23,66.69,66.69,64.07,64.25,4839580,TCBS
2018-05-24,64.54,66.87,64.13,66.69,1937240,TCBS
2018-05-25,66.87,69.84,66.69,68.44,1749720,TCBS
2018-05-28,64.66,68.73,64.66,68.15,2944740,TCBS
2018-05-29,68.15,68.27,65.88,67.57,884320,TCBS
2018-05-30,67.57,68.15,65.82,68.15,2448260,TCBS
2018-05-31,68.15,68.44,67.04,67.04,1178690,TCBS
2018-06-01,67.04,68.44,66.69,67.86,814870,TCBS
2018-06-04,67.57,68.67,67.28,68.67,1762630,TCBS
2018-06-05,68.67,69.31,68.15,68.73,1229890,TCBS
2018-06-06,68.44,70.42,68.15,69.9,712230,TCBS
2018-06-07,71.06,71.06,65.0,69.9,1167210,TCBS
2018-06-08,69.9,70.42,68.44,69.9,462940,TCBS
2018-06-11,70.36,70.36,69.31,69.9,425790,TCBS
2018-06-12,69.9,69.9,68.15,68.73,816310,TCBS
2018-06-13,68.73,68.96,68.5,68.73,289590,TCBS
2018-06-14,68.73,69.02,67.74,68.15,624230,TCBS
2018-06-15,68.56,68.56,67.86,67.86,213150,TCBS
2018-06-18,67.86,68.73,67.57,67.86,626280,TCBS
2018-06-19,67.86,67.86,66.81,66.98,770730,TCBS
2018-06-20,62.38,67.57,62.38,66.98,613980,TCBS
2018-06-21,66.98,67.04,66.4,66.98,117280,TCBS
2018-06-22,66.98,66.98,66.4,66.52,83230,TCBS
2018-06-25,66.52,67.51,66.52,67.28,214260,TCBS
2018-06-26,67.28,67.28,66.46,66.98,112440,TCBS
2018-06-27,65.53,66.46,64.07,64.07,305740,TCBS
2018-06-28,64.07,65.82,62.91,64.07,185920,TCBS
2018-06-29,65.82,65.82,63.2,65.47,321730,TCBS
2018-07-02,65.53,65.53,64.07,64.83,456190,TCBS
2018-07-03,64.83,64.83,60.34,60.34,165430,TCBS
2018-07-04,59.47,64.54,59.47,64.54,1358170,TCBS
2018-07-05,64.54,66.98,64.54,66.4,1208630,TCBS
2018-07-06,64.95,66.34,64.95,65.53,497040,TCBS
2018-07-09,65.53,66.05,65.53,65.7,134390,TCBS
2018-07-10,65.64,65.7,63.2,64.66,298180,TCBS
2018-07-11,64.07,64.66,62.91,63.9,86370,TCBS
2018-07-12,63.9,64.54,62.91,64.07,113470,TCBS
2018-07-13,62.5,64.66,62.5,63.66,57420,TCBS
2018-07-16,64.36,64.36,61.74,61.74,93750,TCBS
2018-07-17,63.49,64.66,61.74,61.74,410540,TCBS
2018-07-18,64.07,64.07,62.32,62.56,115930,TCBS
2018-07-19,62.91,62.91,62.03,62.03,359780,TCBS
2018-07-20,62.32,62.91,61.8,62.27,361710,TCBS
2018-07-23,60.0,63.78,60.0,62.79,140470,TCBS
2018-07-24,60.0,62.73,60.0,62.03,52950,TCBS
2018-07-25,62.32,62.32,61.39,62.03,123900,TCBS
2018-07-26,62.03,62.79,61.74,61.74,205970,TCBS
2018-07-27,61.74,62.03,61.16,61.68,67370,TCBS
2018-07-30,61.74,64.36,61.16,64.36,324540,TCBS
2018-07-31,65.24,65.24,63.37,64.25,170450,TCBS
2018-08-01,64.25,64.31,63.2,63.26,320670,TCBS
2018-08-02,64.01,64.01,63.26,63.37,265210,TCBS
2018-08-03,63.61,63.9,63.2,63.49,398200,TCBS
2018-08-06,63.49,63.55,63.37,63.49,182880,TCBS
2018-08-07,63.49,63.49,62.32,62.62,160500,TCBS
2018-08-08,62.62,63.37,62.62,62.91,134310,TCBS
2018-08-09,62.91,63.49,62.91,63.32,285670,TCBS
2018-08-10,63.49,63.49,61.74,62.27,120470,TCBS
2018-08-13,63.14,63.14,62.27,62.62,1088420,TCBS
2018-08-14,62.32,62.91,62.32,62.79,406610,TCBS
2018-08-15,62.79,62.85,62.38,62.79,436300,TCBS
2018-08-16,62.79,62.85,62.38,62.79,726220,TCBS
2018-08-17,66.4,66.4,63.37,63.37,1125570,TCBS
2018-08-20,64.89,64.89,63.37,63.37,575880,TCBS
2018-08-21,63.37,64.36,63.37,64.01,741280,TCBS
2018-08-22,64.01,64.54,63.84,64.01,415780,TCBS
2018-08-23,64.07,65.3,64.07,65.18,1371780,TCBS
2018-08-24,65.35,65.76,64.71,64.95,1340480,TCBS
2018-08-27,65.18,65.18,64.83,64.95,913670,TCBS
2018-08-28,64.95,64.95,64.36,64.66,817180,TCBS
2018-08-29,64.66,64.66,63.08,63.08,303590,TCBS
2018-08-30,62.91,62.91,62.03,62.56,409540,TCBS
2018-08-31,62.56,64.77,60.58,60.58,3027640,TCBS
2018-09-04,62.27,62.73,60.69,61.1,225530,TCBS
2018-09-05,61.63,61.74,61.22,61.74,318560,TCBS
2018-09-06,61.74,61.74,60.93,61.16,287240,TCBS
2018-09-07,60.58,61.16,60.58,61.04,459090,TCBS
2018-09-10,61.45,61.45,60.93,60.93,532950,TCBS
2018-09-11,60.58,61.16,60.4,60.4,483770,TCBS
2018-09-12,61.04,61.04,60.46,60.58,605640,TCBS
2018-09-13,60.58,61.51,60.58,61.22,836910,TCBS
2018-09-14,61.63,61.74,61.34,61.45,591790,TCBS
2018-09-17,61.45,62.15,61.39,61.45,1287240,TCBS
2018-09-18,61.45,61.45,60.58,60.93,207550,TCBS
2018-09-19,61.39,61.39,60.0,60.93,258160,TCBS
2018-09-20,61.16,61.16,60.52,61.16,336900,TCBS
2018-09-21,60.93,61.22,59.12,59.12,8102520,TCBS
2018-09-24,59.12,60.0,59.12,59.94,634680,TCBS
2018-09-25,60.0,60.23,59.18,59.64,472130,TCBS
