time,symbol,open,high,low,close,volume
2017-01-09,VIB,3.1,3.1,2.22,2.41,346000.0
2017-01-10,VIB,2.49,2.49,2.41,2.44,234947.0
2017-01-11,VIB,2.44,2.44,2.39,2.41,173442.0
2017-01-12,VIB,2.35,2.35,2.19,2.19,52349.0
2017-01-13,VIB,2.12,2.12,1.97,1.98,70740.0
2017-01-14,VIB,2.12,2.12,1.97,1.98,70740.0
2017-01-15,VIB,2.12,2.12,1.97,1.98,70740.0
2017-01-16,VIB,2.01,2.01,1.94,2.0,134435.0
2017-01-17,VIB,1.96,2.05,1.96,2.05,40175.0
2017-01-18,VIB,2.05,2.06,2.02,2.06,20408.0
2017-01-19,VIB,2.05,2.09,2.03,2.09,73089.0
2017-01-20,VIB,2.06,2.15,2.06,2.07,52135.0
2017-01-21,VIB,2.06,2.15,2.06,2.07,52135.0
2017-01-22,VIB,2.06,2.15,2.06,2.07,52135.0
2017-01-23,VIB,2.15,2.2,2.11,2.11,42247.0
2017-01-24,VIB,2.18,2.22,2.18,2.22,63225.0
2017-01-25,VIB,2.2,2.2,2.2,2.2,1610.0
2017-01-26,VIB,2.2,2.2,2.2,2.2,1610.0
2017-01-27,VIB,2.2,2.2,2.2,2.2,1610.0
2017-01-28,VIB,2.2,2.2,2.2,2.2,1610.0
2017-01-29,VIB,2.2,2.2,2.2,2.2,1610.0
2017-01-30,VIB,2.2,2.2,2.2,2.2,1610.0
2017-02-02,VIB,2.2,2.2,2.1,2.12,9810.0
2017-02-03,VIB,2.1,2.2,2.1,2.18,7890.0
2017-02-04,VIB,2.1,2.2,2.1,2.18,7890.0
2017-02-05,VIB,2.1,2.2,2.1,2.18,7890.0
2017-02-06,VIB,2.16,2.16,2.15,2.15,75013.0
2017-02-07,VIB,2.15,2.15,2.15,2.15,23900.0
2017-02-08,VIB,2.15,2.15,2.12,2.12,11454.0
2017-02-09,VIB,2.15,2.19,2.14,2.14,27845.0
2017-02-10,VIB,2.15,2.2,2.15,2.2,12638.0
2017-02-11,VIB,2.15,2.2,2.15,2.2,12638.0
2017-02-12,VIB,2.15,2.2,2.15,2.2,12638.0
2017-02-13,VIB,2.14,2.19,2.14,2.19,24240.0
2017-02-14,VIB,2.16,2.18,2.16,2.16,17715.0
2017-02-15,VIB,2.15,2.22,2.15,2.18,53610.0
2017-02-16,VIB,2.2,2.24,2.2,2.22,62280.0
2017-02-17,VIB,2.19,2.19,2.19,2.19,1540.0
2017-02-18,VIB,2.19,2.19,2.19,2.19,1540.0
2017-02-19,VIB,2.19,2.19,2.19,2.19,1540.0
2017-02-20,VIB,2.19,2.24,2.19,2.2,20599.0
2017-02-21,VIB,2.2,2.22,2.19,2.22,12750.0
2017-02-22,VIB,2.22,2.23,2.2,2.2,41019.0
2017-02-23,VIB,2.22,2.22,2.19,2.19,60220.0
2017-02-24,VIB,2.22,2.22,2.2,2.22,30064.0
2017-02-25,VIB,2.22,2.22,2.2,2.22,30064.0
2017-02-26,VIB,2.22,2.22,2.2,2.22,30064.0
2017-02-27,VIB,2.22,2.22,2.2,2.22,16720.0
2017-02-28,VIB,2.2,2.24,2.2,2.23,13447.0
2017-03-01,VIB,2.23,2.28,2.23,2.26,8158.0
2017-03-02,VIB,2.3,2.39,2.27,2.28,17246.0
2017-03-03,VIB,2.3,2.31,2.3,2.31,13301.0
2017-03-04,VIB,2.3,2.31,2.3,2.31,13301.0
2017-03-05,VIB,2.3,2.31,2.3,2.31,13301.0
2017-03-06,VIB,2.31,2.31,2.28,2.28,20752.0
2017-03-07,VIB,2.24,2.31,2.24,2.3,15280.0
2017-03-08,VIB,2.26,2.26,2.26,2.26,4000.0
2017-03-09,VIB,2.26,2.26,2.24,2.26,6619.0
2017-03-10,VIB,2.26,2.28,2.26,2.28,1400.0
2017-03-11,VIB,2.26,2.28,2.26,2.28,1400.0
2017-03-12,VIB,2.26,2.28,2.26,2.28,1400.0
2017-03-13,VIB,2.28,2.3,2.28,2.28,3515.0
2017-03-14,VIB,2.28,2.31,2.28,2.3,12650.0
2017-03-15,VIB,2.27,2.28,2.26,2.28,42200.0
2017-03-16,VIB,2.28,2.28,2.28,2.28,12643.0
2017-03-17,VIB,2.3,2.3,2.3,2.3,4767.0
