ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
VIB,2025,2,530909024000000,1843449000000,5200726000000,97946353000000,0,351360111000000,356066140000000,-4706029000000,67210426000000,67211926000000,42380000000,-43880000000,69457000000,69667000000,-210000000,776396000000,490929000000,285467000000,2290000000,6492928000000,530909024000000,487281283000000,14424044000000,127689191000000,304392951000000,47047000000,3465000000,29200000000000,11524585000000,43627741000000,29793045000000,5772566000000,-9940000000,8072070000000,0,29791278000000,0,0,VCI,quarterly
VIB,2025,1,495727377000000,1646956000000,5716952000000,102269010000000,421581000000,329264074000000,334158207000000,-4894133000000,49438602000000,49440102000000,42380000000,-43880000000,69457000000,69667000000,-210000000,793221000000,500345000000,292876000000,2325000000,6097006000000,495727377000000,452084110000000,9747104000000,123869358000000,282298036000000,0,5006000000,25800000000000,10364606000000,43643267000000,29793045000000,5763016000000,-3334000000,8090540000000,0,29791278000000,0,0,VCI,quarterly
VIB,2024,4,493158370000000,1639368000000,9909074000000,105588516000000,821872000000,318316079000000,324009713000000,-5693634000000,50344312000000,50345812000000,42380000000,-43880000000,69457000000,69667000000,-210000000,795269000000,493206000000,302063000000,2360000000,5663284000000,493158370000000,451296561000000,18586891000000,123200585000000,276308322000000,0,5368000000,23262579000000,9932816000000,41861809000000,29793045000000,4333344000000,0,7735420000000,0,29791278000000,0,0,VCI,quarterly
VIB,2024,3,445377594000000,1625047000000,4967982000000,82657125000000,0,292146173000000,297549717000000,-5403544000000,57909577000000,57911077000000,42380000000,-43880000000,69457000000,69667000000,-210000000,800915000000,496425000000,304490000000,2395000000,5188638000000,445377594000000,405435509000000,2191882000000,113853137000000,255632643000000,262282000000,5710000000,21955688000000,11534167000000,39942085000000,29793045000000,4333344000000,-7728000000,5823424000000,0,29791278000000,0,0,VCI,quarterly
VIB,2024,2,430962080000000,1703868000000,5829972000000,114455663000000,0,273996195000000,278906037000000,-4909842000000,28742093000000,28722721000000,42380000000,-23008000000,69457000000,69667000000,-210000000,790583000000,486664000000,303919000000,2431000000,5361271000000,430962080000000,392611651000000,0,117276733000000,247629776000000,669968000000,6090000000,15994695000000,11034389000000,38350429000000,25369708000000,4756397000000,-77000000,8224401000000,0,25368075000000,0,0,VCI,quarterly
VIB,2024,1,413887815000000,1715126000000,3748410000000,92771841000000,0,262910844000000,267708603000000,-4797759000000,44298356000000,44278984000000,42380000000,-23008000000,69457000000,69667000000,-210000000,793238000000,485627000000,307611000000,2466000000,7562347000000,413887815000000,375472090000000,0,106590851000000,234210794000000,71215000000,6524000000,23195805000000,11396901000000,38415725000000,25369708000000,3468854000000,-743000000,9577906000000,0,25368075000000,0,0,VCI,quarterly
VIB,2023,4,409880584000000,1681071000000,8217767000000,68197574000000,156721000000,262074228000000,266345545000000,-4271317000000,60988364000000,60956278000000,42380000000,-10294000000,69457000000,69667000000,-210000000,756166000000,466709000000,289457000000,2501000000,7720365000000,409880584000000,371941629000000,0,98639721000000,236577266000000,0,6930000000,23896936000000,12820776000000,37938955000000,25369708000000,3470408000000,0,9098839000000,0,25368075000000,0,0,VCI,quarterly
VIB,2023,3,384419101000000,1545792000000,4321283000000,74707078000000,258075000000,241890738000000,245630024000000,-3739286000000,52384561000000,52348761000000,42380000000,-6580000000,69457000000,69667000000,-210000000,728694000000,454832000000,273862000000,2537000000,8434816000000,384419101000000,348379345000000,0,98342851000000,213533762000000,0,7064000000,23526936000000,12968732000000,36039756000000,25369708000000,3470408000000,-1051000000,7200691000000,0,25368075000000,0,0,VCI,quarterly
VIB,2023,2,378662835000000,1315853000000,6340776000000,79806086000000,371403000000,231347002000000,234678172000000,-3331170000000,50259444000000,50224919000000,42380000000,-7855000000,69457000000,69667000000,-210000000,696740000000,415315000000,281425000000,2572000000,8369440000000,378662835000000,344752989000000,0,106384817000000,205302772000000,0,7195000000,25346830000000,7711375000000,33909846000000,25369615000000,3470408000000,16119000000,5053704000000,0,25368075000000,0,0,VCI,quarterly
VIB,2023,1,357247165000000,1382917000000,5279665000000,43216256000000,49557000000,226004365000000,229177396000000,-3173031000000,73766977000000,73735827000000,42380000000,-11230000000,69457000000,69667000000,-210000000,675918000000,390718000000,285200000000,2607000000,6699743000000,357247165000000,324676749000000,0,86315743000000,199267040000000,0,7655000000,31496289000000,7590022000000,32570416000000,21078270000000,3790336000000,-18750000000,7720560000000,0,21076730000000,0,0,VCI,quarterly
VIB,2022,4,343069186000000,1617931000000,10062633000000,51899808000000,20958000000,228879249000000,231944016000000,-3064767000000,40278720000000,40250383000000,42380000000,-14043000000,69457000000,69667000000,-210000000,699685000000,407765000000,291920000000,2642000000,9434943000000,343069186000000,310418141000000,0,71166441000000,200123940000000,0,8092000000,31774818000000,7344850000000,32651045000000,21078270000000,2517553000000,0,9055222000000,0,21076730000000,0,0,VCI,quarterly
VIB,2022,3,340910343000000,2026802000000,5774042000000,47914952000000,133257000000,223283589000000,226152711000000,-2869122000000,49557155000000,49531068000000,42380000000,-16293000000,69492000000,69667000000,-175000000,665615000000,376029000000,289586000000,2677000000,11375973000000,340910343000000,310432602000000,0,78472013000000,189033408000000,0,8231000000,35188844000000,7730106000000,30477741000000,21078270000000,2517553000000,35090000000,6846828000000,0,21076730000000,0,0,VCI,quarterly
VIB,2022,2,348022816000000,1745095000000,6499569000000,57744071000000,40934000000,218784626000000,221719578000000,-2934952000000,48757928000000,48732891000000,42380000000,-17343000000,69556000000,69731000000,-175000000,617888000000,320573000000,297315000000,2775000000,13644875000000,348022816000000,319773142000000,0,75311372000000,197169492000000,0,8372000000,40701844000000,6582062000000,28249674000000,21078270000000,2517553000000,40430000000,4613421000000,0,21076730000000,0,0,VCI,quarterly
VIB,2022,1,333850243000000,1503973000000,19951730000000,35185373000000,31992000000,211470497000000,214119196000000,-2648699000000,51388186000000,51365399000000,42380000000,-19593000000,69545000000,69720000000,-175000000,596118000000,308154000000,287964000000,2811000000,13518031000000,333850243000000,307838772000000,0,75387839000000,183802071000000,0,8511000000,42761874000000,5878477000000,26011471000000,15532910000000,2746536000000,-2405000000,7734430000000,0,15531430000000,0,0,VCI,quarterly
VIB,2021,4,309517129000000,1521580000000,24890710000000,27985117000000,0,199116430000000,201516754000000,-2400324000000,44737181000000,44714514000000,42380000000,-19713000000,69544000000,69719000000,-175000000,604158000000,302045000000,302113000000,2847000000,10430709000000,309517129000000,285226389000000,0,64456470000000,173564890000000,63933000000,8648000000,42298182000000,4834266000000,24290740000000,15532910000000,1786751000000,0,6971079000000,0,15531430000000,0,0,VCI,quarterly
VIB,2021,3,285035255000000,1453989000000,9589369000000,32397411000000,0,185703815000000,187859178000000,-2155363000000,43811699000000,43852799000000,42380000000,-83480000000,69542000000,69717000000,-175000000,501515000000,289759000000,211756000000,2883000000,11317936000000,285035255000000,262876686000000,0,59685144000000,170590963000000,304384000000,9069000000,27136926000000,5150200000000,22158569000000,15532910000000,1786751000000,5530000000,4833378000000,0,15531430000000,0,0,VCI,quarterly
VIB,2021,2,277200433000000,1604348000000,25714102000000,17272743000000,0,180970774000000,182945434000000,-1974660000000,40043727000000,40079379000000,42380000000,-78032000000,74519000000,137269000000,-62750000000,510525000000,295121000000,215404000000,2919000000,10806994000000,277200433000000,256152093000000,0,53168217000000,168109367000000,77044000000,9447000000,29226930000000,5561088000000,21048340000000,15532910000000,1786751000000,3354000000,3725325000000,0,15531430000000,0,0,VCI,quarterly
VIB,2021,1,257866042000000,1558557000000,18389868000000,19180573000000,0,175606988000000,177506741000000,-1899753000000,37135356000000,37188960000000,42380000000,-95984000000,73626000000,137270000000,-63644000000,429744000000,280655000000,149089000000,2955000000,5251864000000,257866042000000,238540305000000,0,47656869000000,156867117000000,11981000000,9936000000,28487129000000,5507273000000,19325737000000,11095229000000,1948561000000,-1534000000,6283481000000,0,11093879000000,0,0,VCI,quarterly
