ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
VIB,2025,2,14879000000,3277113000000,425252000000,0,-23935000000,100000000,-22902000000,0,-2085389000000,-1683039000000,50393346000000,48710307000000,425252000000,933000000,0,0,-2085389000000,VCI,quarterly
VIB,2025,1,186000000,1505085000000,-10964452000000,0,-38718000000,0,-38188000000,0,0,-11002640000000,61395986000000,50393346000000,-10964452000000,530000000,0,0,0,VCI,quarterly
VIB,2024,4,18047000000,2488675000000,15455594000000,0,-41795000000,0,-41795000000,0,0,15413799000000,45982187000000,61395986000000,15455594000000,0,0,0,0,VCI,quarterly
VIB,2024,3,5558000000,3564000000000,-23541526000000,0,-57072000000,3346000000,-53536000000,0,135000000,-23594927000000,69577114000000,45982187000000,-23541526000000,190000000,0,0,1000000,VCI,quarterly
VIB,2024,2,12417000000,2862125000000,7392681000000,0,-43607000000,400000000,-43207000000,0,-1648925000000,5700549000000,63876565000000,69577114000000,7392681000000,0,0,0,-1648925000000,VCI,quarterly
VIB,2024,1,17035000000,2744137000000,-799242000000,0,-83105000000,0,-83105000000,0,-1522085000000,-2404432000000,66280997000000,63876565000000,-799242000000,0,0,0,-1522085000000,VCI,quarterly
VIB,2023,4,47586000000,3074274000000,871078000000,0,-74995000000,0,-73833000000,0,0,797245000000,65483752000000,66280997000000,871078000000,1162000000,0,0,0,VCI,quarterly
VIB,2023,3,19408000000,5084572000000,1087654000000,0,-73872000000,3345000000,-70527000000,0,92000000,1017219000000,64466533000000,65483752000000,1087654000000,0,0,0,-1000000,VCI,quarterly
VIB,2023,2,33916000000,2350376000000,21436964000000,0,-60024000000,0,-59113000000,0,-1053836000000,20324015000000,44142518000000,64466533000000,21436964000000,911000000,0,0,-1053836000000,VCI,quarterly
VIB,2023,1,-4435000000,2289056000000,6422532000000,0,-14243000000,0,-13928000000,0,-2107673000000,4300931000000,39841587000000,44142518000000,6422532000000,315000000,0,0,-2107673000000,VCI,quarterly
VIB,2022,4,-5383000000,3607556000000,6986658000000,0,-73656000000,0,-73656000000,0,0,6913002000000,32928585000000,39841587000000,6986658000000,0,0,0,0,VCI,quarterly
VIB,2022,3,-3890000000,2520541000000,-17868646000000,0,-86218000000,2545000000,-83673000000,0,0,-17952319000000,50880904000000,32928585000000,-17868646000000,0,0,0,0,VCI,quarterly
VIB,2022,2,-6206000000,3601092000000,9687014000000,0,-55956000000,350000000,-53564000000,0,60000000,9633510000000,41247394000000,50880904000000,9687014000000,2042000000,0,0,0,VCI,quarterly
VIB,2022,1,-8512000000,1739658000000,3112709000000,0,-24890000000,0,-24890000000,0,0,3087819000000,38159575000000,41247394000000,3112709000000,0,0,0,0,VCI,quarterly
VIB,2021,4,489000000,2919309000000,5165032000000,0,-136202000000,0,-136202000000,0,0,5028830000000,33130745000000,38159575000000,5165032000000,0,0,0,0,VCI,quarterly
VIB,2021,3,924000000,950693000000,-434481000000,0,-19837000000,1591000000,-15356000000,0,0,-449837000000,33580582000000,33130745000000,-434481000000,0,0,2890000000,0,VCI,quarterly
VIB,2021,2,4270000000,2459981000000,2085952000000,0,-109825000000,175000000,-109650000000,0,130000000,1976432000000,31604150000000,33580582000000,2085952000000,0,0,0,0,VCI,quarterly
VIB,2021,1,-51000000,1409168000000,2817915000000,0,-60254000000,0,-60254000000,0,0,2757661000000,28846489000000,31604150000000,2817915000000,0,0,0,0,VCI,quarterly
VIB,2020,4,8311000000,1574000000000,1495619000000,0,-86542000000,0,-86484000000,0,0,1409135000000,27437354000000,28846489000000,1495619000000,58000000,0,0,0,VCI,quarterly
VIB,2020,3,60255000000,4525604000000,4408096000000,0,-45655000000,1941000000,-43714000000,0,0,4364382000000,23072972000000,27437354000000,4408096000000,0,0,0,0,VCI,quarterly
VIB,2020,2,-10410000000,2226749000000,18041103000000,0,-18373000000,0,-18422000000,0,0,18022681000000,8719601000000,26742282000000,18041103000000,-49000000,0,0,0,VCI,quarterly
VIB,2020,1,-12848000000,863939000000,-14339759000000,0,-13661000000,0,-13612000000,0,0,-14353371000000,23072972000000,8719601000000,-14339759000000,49000000,0,0,0,VCI,quarterly
VIB,2019,4,-8719000000,1454876000000,10812904000000,0,-73684000000,1591000000,-71759000000,0,58000000,10741203000000,12331769000000,23072972000000,10812904000000,334000000,0,0,0,VCI,quarterly
VIB,2019,3,-6348000000,1264111000000,-2997871000000,0,-6589000000,175000000,-2281000000,0,-430469000000,-3430621000000,15762390000000,12331769000000,-2997871000000,4133000000,0,0,-430531000000,VCI,quarterly
VIB,2019,2,-213000000,1395886000000,5868714000000,0,-12283000000,0,-12200000000,0,0,5856514000000,9905876000000,15762390000000,5868714000000,83000000,0,0,0,VCI,quarterly
VIB,2019,1,-3167000000,947703000000,-1385173000000,0,-4653000000,0,-4640000000,0,0,-1389813000000,11295689000000,9905876000000,-1385173000000,13000000,0,0,0,VCI,quarterly
VIB,2018,4,350898000000,1130241000000,-375412000000,0,-19446000000,0,-19349000000,0,-265195000000,-659956000000,11955646000000,11295690000000,-375412000000,97000000,0,0,-265195000000,VCI,quarterly
VIB,2018,3,-1993000000,543524000000,2109908000000,0,-41461000000,0,-41398000000,0,0,2068510000000,9887136000000,11955646000000,2109908000000,63000000,0,0,0,VCI,quarterly
VIB,2018,2,27354000000,1067695000000,-2055093000000,0,-6687000000,535000000,8779000000,0,0,-2046314000000,11933450000000,9887136000000,-2055093000000,-3626000000,0,0,0,VCI,quarterly
VIB,2018,1,8307000000,461923000000,-2056149000000,0,-6514000000,0,-4076000000,0,0,-2060225000000,13993675000000,11933450000000,-2056149000000,4592000000,0,0,0,VCI,quarterly
VIB,2017,4,-6457000000,748511000000,-2004294000000,0,-11471000000,32000000,-11439000000,0,-763140000000,-2778873000000,16636467000000,13857594000000,-2004294000000,0,0,0,0,VCI,quarterly
VIB,2017,3,-5022000000,660137000000,5345723000000,0,-26256000000,599000000,-28663000000,0,-255182000000,5061878000000,11574589000000,16636467000000,5345723000000,0,0,0,-255182000000,VCI,quarterly
VIB,2017,2,6601000000,470975000000,-921415000000,0,-8199000000,750000000,-4443000000,0,-27038000000,-952896000000,12527485000000,11574589000000,-921415000000,0,0,0,-27038000000,VCI,quarterly
VIB,2017,1,392000000,592117000000,-813854000000,0,-14153000000,0,-14153000000,0,0,-828007000000,13355492000000,12527485000000,-813854000000,0,0,0,0,VCI,quarterly
VIB,2016,4,11954000000,298763000000,3620701000000,0,285367000000,43375000000,332346000000,799425000000,0,3953047000000,9335544000000,13288591000000,3620701000000,-83000000,0,0,-799418000000,VCI,quarterly
VIB,2016,3,37073000000,-110361000000,-3675680000000,0,-25122000000,752000000,-28055000000,0,410793000000,-3292942000000,12628486000000,9335544000000,-3675680000000,2000000,0,0,410793000000,VCI,quarterly
VIB,2016,2,150960000000,693826000000,3745172000000,0,-35566000000,-8649000000,-35197000000,0,-411552000000,3298423000000,9330063000000,12628486000000,3745172000000,81000000,0,8735000000,-411552000000,VCI,quarterly
VIB,2016,1,35667000000,68347000000,1002919000000,0,-8979000000,8737000000,-242000000,0,-272000000,1002405000000,8327658000000,9330063000000,1002919000000,0,0,0,-272000000,VCI,quarterly
