rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
52.1,74.0,21450,200,0.009,0.054,11710709,VIB: Nghị quyết HĐQT về việc phê duyệt kế hoạch phát hành trái phiếu tăng vốn cấp 2 năm 2025,TCBS,2025-09-15 10:56:24
86.4,92.0,21950,-1650,-0.07,0.193,11684364,VIB: Thông báo về việc thay đổi ngày giao dịch chứng khoán thay đổi đăng ký niêm yết,TCBS,2025-08-25 16:17:00
86.4,92.0,21950,-1650,-0.07,0.193,11684363,VIB: Thông báo về việc giao dịch chứng khoán thay đổi đăng ký niêm yết,TCBS,2025-08-25 10:30:00
85.9,90.0,23600,200,0.009,0.356,11682552,VIB: Quyết định về việc thay đổi đăng ký niêm yết,TCBS,2025-08-22 15:26:00
81.0,85.0,23400,1500,0.068,0.349,11680973,VIB: Nghị quyết HĐQT về việc phê duyệt kế hoạch phát hành giấy tờ có giá năm 2025,TCBS,2025-08-21 16:06:30
77.2,71.0,20350,-100,-0.005,0.199,11674405,VIB: Thông báo quyết định của NHNN về việc sửa đổi nội dung vốn điều lệ tại Giấy phép thành lập và hoạt động của VIB,TCBS,2025-08-15 10:30:06
77.6,74.0,19550,50,0.003,0.192,11666029,VIB: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Vũ Thị Thu Hiền,TCBS,2025-08-07 15:14:50
85.1,81.0,19400,50,0.003,0.208,11658388,VIB: Thông báo công văn của UBCKNN về việc nhận được tài liệu báo cáo phát hành cổ phiếu để tăng vốn cổ phần từ NVCSH của VIB,TCBS,2025-07-31 18:17:41
80.0,74.0,19350,800,0.043,0.205,11655511,VIB: Báo cáo tình hình quản trị công ty 06 tháng đầu năm 2025,TCBS,2025-07-30 15:04:31
88.6,73.0,18850,450,0.024,0.174,11651701,VIB: Giải trình biến động LNST quý 2/2025 so với cùng kỳ năm trước,TCBS,2025-07-28 17:22:00
88.6,73.0,18850,450,0.024,0.174,11651398,VIB: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Nguyễn Xuân Dũng,TCBS,2025-07-28 15:04:25
88.6,73.0,18850,450,0.024,0.174,11651395,VIB: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Trần Nhất Minh,TCBS,2025-07-28 15:03:45
88.6,73.0,18850,450,0.024,0.174,11651393,VIB: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Phạm Thị Minh Huệ,TCBS,2025-07-28 15:03:04
88.6,73.0,18850,450,0.024,0.174,11651394,VIB: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Nguyễn Thị Mộng Tường,TCBS,2025-07-28 15:02:28
88.6,73.0,18850,450,0.024,0.174,11651392,VIB: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Nguyễn Minh Huệ,TCBS,2025-07-28 15:01:46
