officer_name,officer_position,officer_own_percent
Do Xuan Hoang,Chairman of Management Board,0.0493
Dang Khac Vy,Chairman of Management Board,0.0493
Tran Thi Thao Hien,,0.0491
Nguyen Thi Nhat Thao,,0.049
,,0.0482
,,0.0329
Dang Thi Thu Ha,,0.0315
,,0.0273
Nguyen Thuy Nga,,0.0258
,,0.0256
,,0.0194
Tran Duc Quy,,0.0132
,,0.0127
Do Xuan Son,,0.0127
Do Xuan Thu,,0.0125
Nguyen Thi Bich Hanh,Independent Member of Management Board,0.0098
Ho Van Long,Chief Financial Officer,0.0096
Tran Thi Thu Huong,,0.0065
Dang Van Son,,0.0037
Dang Minh Ngoc,,0.0029
