Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
VIB,2025,2,11.1690697669,0.01779592484515758,1.2816588665475535,0.5232121700488876,0.1782239211,0.0153336127,0.0,12.169069766871496,67058912487000.0,3404005710.0,8.881641282,1.5370704728,3.364836114,-3.5923530908,610.007496139012,12816.5886654755,VCI,quarterly
VIB,2025,1,10.3586220986,0.018175105910380174,1.282114976240742,0.5181716669222118,0.1743564359,0.015311374,0.0,11.35862209857021,57795079611000.0,2979127815.0,8.0830990662,1.3242610736,2.9113420183,-4.9505153772,650.0103789605281,14649.6792719852,VCI,quarterly
VIB,2024,4,10.7806273016,0.018997482884698078,1.2297808102090404,0.47160884287445953,0.1805599992,0.0159560419,0.0379403794,11.780627301605623,54964908186750.0,2979127815.0,7.6111809076,1.3130084318,2.672213974,-36.740222241,644.8840463731497,14051.6995575767,VCI,quarterly
VIB,2024,3,10.1505845025,0.020051907655797136,1.173384782600732,0.39391029817434076,0.185849709,0.0169054759,0.0,11.15058450253661,57795079611000.0,2979127815.0,8.016820841,1.4469720249,2.734415526,-3.5829509406,536.7923430301026,13407.3082728745,VCI,quarterly
VIB,2024,2,10.2374774217,0.02061471072461797,1.1266264591547939,0.38985311957873603,0.2051947574,0.0188707952,0.0,11.237477421699767,56752384875750.0,2979127815.0,7.334694021,1.479837028,2.5535738599,6.6321512456,564.9176888370598,12873.0391515612,VCI,quarterly
VIB,2024,1,9.7739165407,0.020648783798821967,1.1285446698031538,0.459210095750281,0.22988943,0.0211953246,0.0,10.77391654068744,54034000474200.0,2536807534.0,6.4216107143,1.4065594356,2.3962497133,2.3895698614,788.8430530023804,15143.3344804943,VCI,quarterly
VIB,2023,4,9.8035275397,0.01993112356415721,1.1145385240849082,0.43892895211927935,0.2426116078,0.0227534931,0.0529661017,10.803686711982447,59868657802400.0,2536807534.0,6.9812717748,1.5779997237,2.7015941298,2.0048473774,749.7636200255782,14955.642669579,VCI,quarterly
VIB,2023,3,9.6665289576,0.02021917129516637,1.0587454625626935,0.4594087503881184,0.262699214,0.0242649813,0.0,10.666528957632233,53399798590700.0,2536807534.0,6.0018846541,1.4816914574,2.5422906692,1.4827465183,846.301097432802,14206.7364263828,VCI,quarterly
VIB,2023,2,10.1667518337,0.020546834686303205,0.9961747684612433,0.5357732704932594,0.2766423221,0.0252522096,0.0,11.166751833670963,49848268043100.0,2536807534.0,5.5443837974,1.4700234275,2.5424201367,2.9273408456,929.6724203121986,13367.1339057132,VCI,quarterly
VIB,2023,1,9.9684556992,0.020752513569369208,0.9568261270631064,0.5007104843607476,0.2840120954,0.0253395663,0.0,10.968455699184192,50989831433400.0,2536807534.0,5.772929156,1.5655259495,2.7048415781,9.7188931056,849.5366601982033,12839.1356314854,VCI,quarterly
VIB,2022,4,9.4988663149,0.021429176309670946,0.9591947776139306,0.5668360418620004,0.2974535289,0.0259652264,0.0721153846,10.507142604471005,43839597256000.0,2107672945.0,5.1658114065,1.342670695,2.4277323374,22.8123795999,1051.8325460594647,15491.5126075218,VCI,quarterly
VIB,2022,3,10.1855515473,0.021839381074863783,0.8953492912912887,0.5822186386543581,0.3077899212,0.0251881758,0.0,11.185551547275107,46474188437250.0,2107672945.0,5.5206208614,1.5248567286,2.60018065,481.9065056436,1059.6553916480623,14460.3749231122,VCI,quarterly
VIB,2022,2,11.3195338821,0.021872393996475854,0.829895023883494,0.5933914387926246,0.2885182505,0.0227641999,0.0,12.31953388205471,41521157016500.0,2107672945.0,5.6887744772,1.4697924308,2.5430747009,2.3573163344,1041.5790577033763,13403.2531313818,VCI,quarterly
VIB,2022,1,11.8347313768,0.02291750435798114,0.7641429896426348,0.518541672651399,0.2903107633,0.022517116,0.0,12.834731376783727,51216452563500.0,2107672945.0,7.5122704978,1.9689948548,3.2988771037,5.134681976,864.9994793191217,12341.322244377,VCI,quarterly
VIB,2021,4,11.7421860758,0.024871947087655624,0.713592810042613,0.6287867735301177,0.3033156342,0.0231318412,0.0,12.742186075846186,64300119910200.0,1553142993.0,10.0316192382,2.6471042014,4.3180806369,6.6740068172,1376.3729480380175,15639.7318917048,VCI,quarterly
VIB,2021,3,11.8634324265,0.02263300486597307,0.6509556941959419,0.4136951175483838,0.2828457128,0.0213846275,0.0,12.863432426525376,67406405896200.0,1553142993.0,11.8410566023,3.04200176,4.8993202437,11.3003187792,713.4262620981995,14266.9213973655,VCI,quarterly
VIB,2021,2,12.1697052119,0.024254881857666687,0.6183403258744827,0.5804095478957496,0.3161329032,0.0238481558,0.0,13.169705211907447,56223776346600.0,1553142993.0,9.4981717553,2.6711738953,4.1011290292,5.2022570657,1106.0044102455672,13552.0941052206,VCI,quarterly
VIB,2021,1,12.343141555786133,0.022236875105979142,0.5677351522421507,0.520522533774117,0.302703320980072,0.02277316339313984,0.0,13.343141428448499,76414635255600.0,1553142993.0,14.6204119762,3.9540347287,6.1343948451,2.8552649815,931.1518685131138,12442.9863104047,VCI,quarterly
VIB,2020,4,12.6128969066,0.022639211951507927,0.5279689145997349,0.554631445501692,0.2956575037,0.0216321367,0.0,13.615636844057999,60794454289600.0,1109387852.0,13.0956663006,3.382390309,5.4205678215,10.2976629491,1280.487250188494,16201.5601375091,VCI,quarterly
VIB,2020,3,11.8738299531,0.02086400956989832,0.4862477154892904,0.5976868627757378,0.2793015218,0.0209416473,0.0,12.873829953056749,37830125753200.0,1109387852.0,9.1080981078,2.2855458137,3.7490517897,1.9992325849,1203.261778640785,14919.8496902236,VCI,quarterly
VIB,2020,2,12.3001568917,0.023257452419215126,0.44699090707459477,0.538884063396455,0.2666135981,0.019550468,0.0,13.300156891652486,30866918696260.0,924491395.0,8.3521689341,2.0286368471,3.330953343,2.6794883941,1108.634440020937,16458.3424813813,VCI,quarterly
VIB,2020,1,12.5328680043,0.025008043512532618,0.4196468871375659,0.4780512933935207,0.2683903045,0.0193925958,0.0,13.532868004349238,18218951921265.0,924491395.0,5.1957877959,1.2754079035,2.103601756,-27.5471194403,930.5105538597252,15451.5272692181,VCI,quarterly
VIB,2019,4,12.7406088352,0.027183519093460798,0.3945733686798075,0.5574181766498141,0.2711012015,0.0201818054,0.0,13.741791114784125,13848881097100.0,924491395.0,4.2397969301,1.0312172904,1.6988152348,1.1260558478,1009.6459578187853,14526.5213636737,VCI,quarterly
VIB,2019,3,13.05435147,0.025088598872853675,0.36716936059428645,0.5412514990519134,0.2735902363,0.0202071505,0.0,14.0543514700124,16191542292030.0,924491395.0,5.0097999806,1.295482365,2.0930457381,14.2093463787,947.5783168322513,13519.2886246388,VCI,quarterly
VIB,2019,2,13.0997591303,0.0282774909557704,0.3413984285002859,0.527626350444622,0.2500176131,0.0188141348,0.0,14.099759130322095,16800782121335.0,924491395.0,5.9902457908,1.445698406,2.3948570731,2.6290163376,874.3942933076191,12570.3949899934,VCI,quarterly
VIB,2019,1,11.8704249135,0.029849145428754508,0.33059348187756127,0.46765469852971964,0.2327572359,0.0178567238,0.0,12.870424913455206,14306896073124.0,783467284.0,5.6456248765,1.2713374958,2.1958065382,-8.0315241938,826.818187854287,14363.6131716254,VCI,quarterly
VIB,2018,4,12.0456362206,0.03288212547923179,0.3133682169998475,0.6288718764386975,0.2255360864,0.0167267185,0.0,13.030778642911569,14299581547525.0,751541575.0,6.7946987686,1.3404628245,2.349673829,-6.2736364822,1086.9032761095086,14194.3511242209,VCI,quarterly
VIB,2018,3,12.0948026835,0.03492452699853514,0.2972688609267932,0.3580536190755884,0.2122803571,0.0154315114,0.0,13.09480268353281,13429296403675.0,751541575.0,6.7369145928,1.327130287,2.4675900807,-3.3678232343,606.7289091757831,13464.3901769506,VCI,quarterly
VIB,2018,2,0.0,0.034715686023909384,0.28387340748614664,0.42033555341060685,0.0,0.0,0.0,13.167449527153233,14653853136422.0,532518829.0,8.6097537634,1.5164805477,2.9074845833,-19.4705767599,950.2499675931647,18145.9630603973,VCI,quarterly
VIB,2018,1,13.8542767582,0.038355658763539,0.26901673440494905,0.39379973112533073,0.1588990692,0.0115244262,0.0,14.854276758165167,14718654415899.0,530574039.0,10.8404066634,1.7099060254,3.2812844942,42.1741455026,781.2067110957911,16223.6986052609,VCI,quarterly
VIB,2017,4,13.0152287545,0.04204824787025172,0.25829777471201715,0.570669387174592,0.1282669801,0.0098761278,0.0,14.021176868254669,20140590520440.0,530574039.0,18.9592689471,2.4382573083,4.9249975964,12.0728351159,1179.742983994737,15568.4963481666,VCI,quarterly
VIB,2017,3,12.0542679888,0.04020647752923047,0.2623373684058832,0.21802697823576242,0.0833384365,0.0066467339,0.0,13.054267988760108,16405349285880.0,530574039.0,22.313455054,1.9543788513,4.3503341335,2.2687091728,366.47665680453696,15820.8834380827,VCI,quarterly
VIB,2017,2,12.1865476608,0.04030235252238219,0.25698552661946034,0.23528353187410755,0.0716924953,0.0060336393,0.0,13.186547660772385,12138859307034.0,564440589.0,19.41523442,1.3876514815,3.4768014279,-6.7805633299,319.65454560887366,15498.1277986686,VCI,quarterly
VIB,2017,1,10.9506569441,0.04131555021115193,0.26052421046026975,0.18146687492240934,0.0668670787,0.005989378,0.0,11.950657056813519,12693704406021.0,564440589.0,21.9711819297,1.4313685902,3.6647764189,4.4130390357,222.7143165283601,15711.5366047029,VCI,quarterly
