time,open,high,low,close,volume,data_source
2017-01-09,3.1,3.1,2.22,2.41,346000,TCBS
2017-01-10,2.49,2.49,2.41,2.44,234947,TCBS
2017-01-11,2.44,2.44,2.39,2.41,173442,TCBS
2017-01-12,2.35,2.35,2.19,2.19,52349,TCBS
2017-01-13,2.12,2.12,1.97,1.98,70740,TCBS
2017-01-16,2.01,2.01,1.94,2.0,134435,TCBS
2017-01-17,1.96,2.05,1.96,2.05,40175,TCBS
2017-01-18,2.05,2.06,2.02,2.06,20408,TCBS
2017-01-19,2.05,2.09,2.03,2.09,73089,TCBS
2017-01-20,2.06,2.15,2.06,2.07,52135,TCBS
2017-01-23,2.15,2.2,2.11,2.11,42247,TCBS
2017-01-24,2.18,2.22,2.18,2.22,63225,TCBS
2017-01-25,2.2,2.2,2.2,2.2,1610,TCBS
2017-02-02,2.2,2.2,2.1,2.12,9810,TCBS
2017-02-03,2.1,2.2,2.1,2.18,7890,TCBS
2017-02-06,2.16,2.16,2.15,2.15,75013,TCBS
2017-02-07,2.15,2.15,2.15,2.15,23900,TCBS
2017-02-08,2.15,2.15,2.12,2.12,11454,TCBS
2017-02-09,2.15,2.19,2.14,2.14,27845,TCBS
2017-02-10,2.15,2.2,2.15,2.2,12638,TCBS
2017-02-13,2.14,2.19,2.14,2.19,24240,TCBS
2017-02-14,2.16,2.18,2.16,2.16,17715,TCBS
2017-02-15,2.15,2.22,2.15,2.18,53610,TCBS
2017-02-16,2.2,2.24,2.2,2.22,62280,TCBS
2017-02-17,2.19,2.19,2.19,2.19,1540,TCBS
2017-02-20,2.19,2.24,2.19,2.2,20599,TCBS
2017-02-21,2.2,2.22,2.19,2.22,12750,TCBS
2017-02-22,2.22,2.23,2.2,2.2,41019,TCBS
2017-02-23,2.22,2.22,2.19,2.19,60220,TCBS
2017-02-24,2.22,2.22,2.2,2.22,30064,TCBS
2017-02-27,2.22,2.22,2.2,2.22,16720,TCBS
2017-02-28,2.2,2.24,2.2,2.23,13447,TCBS
2017-03-01,2.23,2.28,2.23,2.26,8158,TCBS
2017-03-02,2.3,2.39,2.27,2.28,17246,TCBS
2017-03-03,2.3,2.31,2.3,2.31,13301,TCBS
