ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
VIB,2025,2,8700028000000,0.08175007699673326,2076469000000,0.23381811354029383,8700028000000,-4731334000000,3968694000000,920752000000,-519714000000,401038000000,108287000000,121371000000,637523000000,-120195000000,517328000000,100000000,5116818000000,-1885615000000,3231203000000,-635637000000,2595566000000,-519097000000,-519097000000,0,0,2076469000000,2076469000000,697,VCI,yearly
VIB,2025,1,8394558000000,0.05092964284663569,1936464000000,-0.03232102853219385,8394558000000,-4657449000000,3737109000000,804606000000,-426876000000,377730000000,114213000000,29110000000,450072000000,-107079000000,342993000000,0,4601155000000,-1759035000000,2842120000000,-421332000000,2420788000000,-484324000000,-484324000000,0,0,1936464000000,1936464000000,650,VCI,yearly
VIB,2024,4,8425555000000,0.004066648950178933,1921192000000,0.010087244730037656,8425555000000,-4351857000000,4073698000000,731307000000,-234890000000,496417000000,49019000000,145103000000,628112000000,-116977000000,511135000000,0,5275372000000,-1751746000000,3523626000000,-1122516000000,2401110000000,-479918000000,-480920000000,1002000000,0,1921192000000,1921192000000,645,VCI,yearly
VIB,2024,3,8044821000000,-0.11040314065088092,1599173000000,-0.25512563911830205,8044821000000,-3985082000000,4059739000000,853599000000,-444419000000,409180000000,136506000000,65932000000,321521000000,-60244000000,261277000000,3346000000,4935980000000,-1782264000000,3153716000000,-1155569000000,1998147000000,-398974000000,-398974000000,0,0,1599173000000,1599173000000,537,VCI,yearly
VIB,2024,2,8042549000000,-0.14406366403439688,1682962000000,-0.28639670963364994,8042549000000,-3725636000000,4316913000000,834051000000,-463715000000,370336000000,25587000000,24085000000,334377000000,-32508000000,301869000000,400000000,5039190000000,-1806190000000,3233000000000,-1129885000000,2103115000000,-420153000000,-420153000000,0,0,1682962000000,1682962000000,565,VCI,yearly
VIB,2024,1,7987745000000,-0.1211353559674977,2001143000000,-0.07144318784508083,7987745000000,-3629951000000,4357794000000,773498000000,-341704000000,431794000000,289856000000,12847000000,234654000000,-8435000000,226219000000,0,5318510000000,-1871092000000,3447418000000,-945488000000,2501930000000,-500787000000,-500787000000,0,0,2001143000000,2001143000000,621,VCI,yearly
VIB,2023,4,8391430000000,0.0785318888352928,1902006000000,-0.14204984485224764,8391430000000,-4058141000000,4333289000000,1299362000000,-439246000000,860116000000,244448000000,30545000000,404521000000,-30426000000,374095000000,0,5842493000000,-1770567000000,4071926000000,-1693469000000,2378457000000,-476451000000,-476451000000,0,0,1902006000000,1902006000000,750,VCI,yearly
VIB,2023,3,9043221000000,0.27239131682740364,2146903000000,-0.038731856755172704,9043221000000,-4370034000000,4673187000000,1080757000000,-370486000000,710271000000,322106000000,113469000000,207077000000,-4959000000,202118000000,3345000000,6024496000000,-1716919000000,4307577000000,-1624784000000,2682793000000,-535890000000,-535890000000,0,0,2146903000000,2146903000000,721,VCI,yearly
VIB,2023,2,9396200000000,0.430430870830092,2358400000000,0.0742911700772739,9396200000000,-4994338000000,4401862000000,1126611000000,-340539000000,786072000000,9765000000,-3957000000,179295000000,-9133000000,170162000000,0,5363904000000,-1555747000000,3808157000000,-860152000000,2948005000000,-589605000000,-589605000000,0,0,2358400000000,2358400000000,930,VCI,yearly
VIB,2023,1,9088709000000,0.5015546354404674,2155111000000,0.18209009092026046,9088709000000,-4784603000000,4304106000000,942676000000,-324245000000,618431000000,-27849000000,-10327000000,59321000000,-14085000000,45236000000,0,4929597000000,-1567510000000,3362087000000,-668187000000,2693900000000,-538789000000,-538789000000,0,0,2155111000000,2155111000000,970,VCI,yearly
