time,symbol,open,high,low,close,volume
2015-10-05,VIC,22.47,22.53,22.42,22.47,472330.0
2015-10-06,VIC,22.69,22.8,22.58,22.74,841260.0
2015-10-07,VIC,22.8,23.28,22.58,22.96,2096590.0
2015-10-08,VIC,22.96,23.82,22.96,23.5,2457280.0
2015-10-09,VIC,23.5,23.72,23.39,23.39,1831340.0
2015-10-10,VIC,23.5,23.72,23.39,23.39,1831340.0
2015-10-11,VIC,23.5,23.72,23.39,23.39,1831340.0
2015-10-12,VIC,23.39,23.55,23.28,23.34,974660.0
2015-10-13,VIC,23.28,23.34,23.12,23.12,1174250.0
2015-10-14,VIC,23.23,23.23,22.96,22.96,1173050.0
2015-10-15,VIC,23.07,23.12,22.96,22.96,539950.0
2015-10-16,VIC,22.96,23.12,22.96,23.12,368830.0
2015-10-17,VIC,22.96,23.12,22.96,23.12,368830.0
2015-10-18,VIC,22.96,23.12,22.96,23.12,368830.0
2015-10-19,VIC,23.12,23.12,23.01,23.07,341820.0
2015-10-20,VIC,23.07,23.07,22.74,22.8,576750.0
2015-10-21,VIC,22.96,22.96,22.53,22.53,578460.0
2015-10-22,VIC,22.58,23.12,22.58,22.96,478920.0
2015-10-23,VIC,23.01,23.99,23.01,23.99,3208630.0
2015-10-24,VIC,23.01,23.99,23.01,23.99,3208630.0
2015-10-25,VIC,23.01,23.99,23.01,23.99,3208630.0
2015-10-26,VIC,24.2,24.69,24.04,24.04,2448930.0
2015-10-27,VIC,23.99,24.2,23.77,23.99,694730.0
2015-10-28,VIC,24.04,24.42,23.99,23.99,1220690.0
2015-10-29,VIC,23.99,24.85,23.99,24.85,3769240.0
2015-10-30,VIC,24.9,24.9,24.47,24.58,1867210.0
2015-10-31,VIC,24.9,24.9,24.47,24.58,1867210.0
2015-11-01,VIC,24.9,24.9,24.47,24.58,1867210.0
2015-11-02,VIC,24.63,24.74,24.26,24.31,1108090.0
2015-11-03,VIC,24.31,24.85,23.93,24.85,1349370.0
2015-11-04,VIC,25.01,25.28,24.63,24.63,1389650.0
2015-11-05,VIC,24.58,24.9,24.58,24.58,765040.0
2015-11-06,VIC,24.58,24.74,24.31,24.36,860260.0
2015-11-07,VIC,24.58,24.74,24.31,24.36,860260.0
