rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
83.3,99.0,174900.0,2100.0,0.012,0.399,11726080,VIC: Thông báo về việc niêm yết và giao dịch chứng khoán thay đổi niêm yết,TCBS,2025-09-30 14:50:00
79.9,97.0,172800.0,8800.0,0.054,0.347,11724685,Vingroup dự kiến phát hành 2.500 tỷ đồng trái phiếu để cơ cấu nợ,TCBS,2025-09-29 15:33:00
77.0,97.0,164000.0,6000.0,0.038,0.21,11723119,VIC: Quyết định về việc thay đổi đăng ký niêm yết,TCBS,2025-09-26 15:11:00
79.2,98.0,148800.0,-4400.0,-0.029,0.199,11717347,VIC: CBTT thành lập công ty con,TCBS,2025-09-22 10:40:04
79.2,98.0,,,,,11716806,"Vingroup lập công ty con VinDynamics, bắt đầu sản xuất và chuyển giao công nghệ trong lĩnh vực sản xuất người máy",TCBS,2025-09-21 20:59:00
79.2,98.0,,,,,11716805,Vingroup được chấp thuận dự án 21.400 tỷ đồng ở Hà Tĩnh,TCBS,2025-09-21 20:57:00
74.2,97.0,153200.0,8200.0,0.057,0.296,11715933,Vingroup của tỷ phú Phạm Nhật Vượng muốn làm điện mặt trời ở Indonesia,TCBS,2025-09-19 12:59:00
56.8,86.0,129200.0,4200.0,0.034,0.119,11705833,Số nợ của Vingroup và nguyên tắc “vay được – trả được”,TCBS,2025-09-09 11:30:00
56.8,86.0,129200.0,4200.0,0.034,0.119,11705094,"Vingroup khởi kiện 68 tổ chức, cá nhân đưa thông tin sai sự thật về Tập đoàn",TCBS,2025-09-09 07:33:00
56.8,66.0,125000.0,0.0,0.0,0.064,11702749,"Từng tuyên bố đầu tư cho VinFast ""đến khi hết tiền thì thôi"", tỷ phú Phạm Nhật Vượng đã rót bao nhiêu tiền vào hãng xe điện này?",TCBS,2025-09-05 12:18:00
56.8,67.0,125000.0,0.0,0.0,0.124,11701354,"Vingroup của tỷ phú Phạm Nhật Vượng chính thức thêm ngành tắm hơi, massage, tăng cường sức khỏe",TCBS,2025-09-04 13:39:00
62.4,66.0,125000.0,-3300.0,-0.026,0.124,11699989,Vingroup công bố loạt tài liệu quan trọng đến người sở hữu trái phiếu,TCBS,2025-09-03 14:41:00
62.4,66.0,125000.0,-3300.0,-0.026,0.124,11699806,VIC: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 74,TCBS,2025-09-03 13:23:12
62.4,66.0,125000.0,-3300.0,-0.026,0.124,11699805,VIC: CBTT sáp nhập các công ty con,TCBS,2025-09-03 13:22:38
62.4,66.0,125000.0,-3300.0,-0.026,0.124,11699467,VIC: Giải trình biến động LNST trên BCTC bán niên 2025 soát xét so với cùng kỳ năm trước,TCBS,2025-09-03 09:51:17
