officer_name,officer_position,officer_own_percent
Pham Nhat Vuong,Chairman of Management Board,0.116
Pham Thu Huong,Vice Chairman of Management Board,0.044
Pham Thuy Hang,Vice Chairman of Management Board,0.0299
Phan Thu Huong,,0.0125
Pham Hong Linh,,0.0036
Nguyen Quoc Thanh,,0.0033
Pham Thi Tuyet Mai,,0.0015
Le Minh Ngoc,,0.0007
Pham Van Khuong,,0.0006
Phan Quang Dang,,0.0003
Nguyen Dieu Linh,Vice Chairman of Management Board,0.0002
Nguyen Dieu Linh,Spokesman,0.0002
Pham Minh Vu,,0.0002
Duong Thi Hoan,,0.0002
Nguyen Viet Quang,,0.0002
Dang Thanh Thuy,,0.0001
Nguyen The Anh,Head of Supervisors Board,0.0
Nguyen Thi Thu Hien,Chief Accountant,0.0
Phan Hong Nhung,,0.0
Duong Thi Hang,,0.0
