ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
VJC,2025,2,40758031639436,7148653555458,2438766831924,28609119601892,2328542997582,232948652580,71401160226089,942660909291,17830100171256,149417024400,9863158109235,112159191865525,88452902329759,37255797768509,51197104561250,23706289535766,23706289535766,11945528516959,23255992692,112159191865525,1522599486219,1538712453293,2328542997582,0,5916113340000,5916113340000,31896090278469,1318485998663,19118137205550,9863158109235,149417024400,27685347465084,37481110235148,VCI,yearly
VJC,2025,1,36445843773744,2224187878214,3914049999832,27918664993135,2089933853193,299007049370,62320259190804,924745676839,14032241572663,149417024400,12816894127923,98766102964548,80938922348949,31945350705595,48993571643354,17827180615599,17827180615599,11239845345110,22977137301,98766102964548,995288083611,1538712453293,2089933853193,0,5416113340000,5416113340000,29944454994007,1325191678938,13246404767839,12816894127923,149417024400,25121674556441,33881883037225,VCI,yearly
VJC,2024,4,38577508632397,4558984549152,3825833411115,27945458314477,2005435760243,241796597410,60737746152196,921644963530,14166236941769,149417024400,9788178924050,99315254784593,82196542019489,33506383912017,48690158107472,17118712765104,17118712765104,10652687447061,22098773196,99315254784593,769368218015,1633712453293,2005435760243,0,5416113340000,5416113340000,30052392436812,1515557303596,12460106764555,9788178924050,149417024400,23998282804699,35105699605872,VCI,yearly
VJC,2024,3,43484442786804,2060926374159,2672864582042,37282593011142,1151714215562,316344603899,50281906529049,895783751940,9865100002599,149417024400,11906376109571,93766349315853,77043141799116,38937860268433,38105281530683,16723207516737,16723207516737,10651935728519,24020540769,93766349315853,2178026901431,511091531793,1151714215562,0,5416113340000,5416113340000,20079133721187,1203706257836,17600702818008,11906376109571,149417024400,20841616799099,27784862099134,VCI,yearly
VJC,2024,2,43981809281627,2597624069785,2412327124731,37753479429286,997508725571,220869932254,48224115181770,918763482797,11136549548608,149417024400,9488883139910,92205924463397,75688242579963,38633994063426,37054248516537,16517681883434,16517681883434,10080350253152,24900460456,92205924463397,2507703366912,509466531793,997508725571,0,5416113340000,5416113340000,18564967397002,1015628555930,16801094509366,9488883139910,149417024400,20507002358884,27097595166415,VCI,yearly
VJC,2024,1,38743314155395,3040653480907,799022311096,33765953784477,962536753065,175147825850,47084857269199,904396844465,10646925137268,149417024400,8775107593608,85828171424594,69776185000569,35373042513810,34403142486759,16051986424025,16051986424025,9785708182142,24214983218,85828171424594,1751527323694,476116531793,962536753065,0,5416113340000,5416113340000,17283543657057,2221704082582,13543492835312,8775107593608,149417024400,17935717265716,27076668727180,VCI,yearly
VJC,2023,4,37272431505972,5050743156638,613343871096,30695940657487,703384543264,209019277487,47408630772454,896128275641,8865102742865,149417024400,8411169336979,84681062278426,69048472310863,36187381369961,32861090940902,15632589967563,15632589967563,9361974796142,21258359337,84681062278426,1958751910473,457000000000,703384543264,0,5416113340000,5416113340000,17224224029089,2331776667248,13878114601654,8256558289835,149417024400,18631914227018,29649890834721,VCI,yearly
VJC,2023,3,33866777302218,2076624028013,558993871096,29945494025486,1115793253802,169872123821,42671722964439,886481612013,5840778511635,149417024400,8533200402960,76538500266657,61324803109474,29553467499399,31771335610075,15213697157183,15213697157183,9235814822904,-4428072598,76538500266657,898271530747,657000000000,1115793253802,0,5416113340000,5416113340000,16190909946249,2136129516418,7106512189906,8162635279723,149417024400,18109092406014,27814223329335,VCI,yearly
VJC,2023,2,31481522947844,2165034774500,528875421096,27504897102281,1075114220273,207601429694,39743501493825,851167932661,5923192002166,149417024400,8596444512261,71225024441669,56352119610987,29834850355055,26517269255932,14872904830682,14872904830682,9154052462527,21871532811,71225024441669,676998742149,657000000000,1075114220273,0,5416113340000,5416113340000,11801175763255,2119173158856,7129638119324,8299478006841,149417024400,17342709515451,24758058273474,VCI,yearly
VJC,2023,1,33805248016606,1982370170345,509775421096,30053949812178,1028075400318,231077212669,35471643896394,868566379561,6019553623299,149417024400,7720356536609,69276891913000,54127724359193,29759919894114,24367804465079,15149167553807,15149167553807,9191140442451,20958162449,69276891913000,3005345557323,657000000000,1028075400318,0,5416113340000,5416113340000,10676767140163,2045783491235,8126827048442,7385121173822,149417024400,15391908638599,21258547201406,VCI,yearly
VJC,2022,4,31047872934405,1858261735520,687775421096,26928983183585,982716071675,590136522529,36098931070315,818221855860,5827316201964,149417024400,7466926655978,67146804004720,52905348036674,30822468393678,22082879642996,14241455968046,14241455968046,9109576131129,20435833167,67146804004720,2064286286755,657000000000,982716071675,0,5416113340000,5416113340000,10309745847108,1843104055915,7173459139590,7228154288804,149417024400,20170278687773,22121135796687,VCI,yearly
VJC,2022,3,40400479908669,2067794475466,4475421096,36715578213918,905075666273,707556131916,27069703986459,826512358699,2024117317392,149417024400,7132457622227,67470183895128,49938102669022,26970777048541,22967325620481,17532081226106,17532081226106,11465788667064,23037003908,67470183895128,2484236967027,662145921500,905075666273,0,5416113340000,5416113340000,10825739167208,667950796563,8615933393530,7132457622227,149417024400,15214887005344,17163956083066,VCI,yearly
VJC,2022,2,34211975809663,3042740617895,624475421096,29225680185674,902967230014,416112354984,28456804772590,805840936639,1120356744357,149417024400,7282616897764,62668780582253,45467798291803,22917766828661,22550031463142,17200982290450,17200982290450,11425141038218,21140782138,62668780582253,1141164788288,657000000000,902967230014,509000000,5416113340000,5416113340000,10990834964062,636612387291,7797600729920,7282616897764,149417024400,14519162258338,19353119914000,VCI,yearly
VJC,2022,1,37015308294106,2997541558262,1458975421096,31697807647375,818372525486,42611141887,21186686554855,790337370094,1138821415638,149417024400,7093414584236,58201994848961,41090662206801,18328306943474,22762355263327,17111332642160,17111332642160,11525795007261,19911667098,58201994848961,192010787577,657000000000,818372525486,0,5416113340000,5416113340000,11008110077292,518210469289,8532144278351,7093414584236,149417024400,11506583557943,12296920928037,VCI,yearly
VJC,2021,4,27375787370013,1868273468458,859475421096,23770128605410,811247030655,66662844394,24408991156547,789648322692,1159099431039,3777398284108,5663153235863,51784778526560,34909978249799,16809453111729,18100525138070,16874800276761,16874800276761,11302022545015,19911667098,51784778526560,653240344019,0,811247030655,0,5416113340000,5416113340000,8206571926768,657181421427,7253739906166,5663153235863,149417024400,12743931186958,13533579509650,VCI,yearly
VJC,2021,3,26132963139252,1638909844223,714310000000,22884713767985,806392035193,88637491851,24815715760749,787581180486,801386907008,191687884108,5884845614093,50948678900001,34020066147572,17058375018255,16961691129317,16928612752429,16928612752429,11402929923469,12366334199,50948678900001,642408653853,0,806392035193,0,5416113340000,5416113340000,6648892517326,579182774280,6822504030322,5884845614093,149417024400,16282025787699,17069606968185,VCI,yearly
VJC,2021,2,25201802739094,1517051455785,764110000000,21973763482188,845551080154,101326720967,24654093682247,796538796712,818929373579,191687884108,5456409774526,49855896421341,32880376199615,19302209007967,13578167191648,16975520221726,16975520221726,11330927239353,12590729450,49855896421341,295276884849,0,845551080154,0,5416113340000,5416113340000,3647272351574,540418023099,7741487554022,5456409774526,149417024400,16508940733693,17305479530405,VCI,yearly
VJC,2021,1,27353003817452,2054231746882,1282010000000,23069700170412,701315926654,245745973504,20144806418136,798261415217,833920473662,195019065926,4928449449750,47497810235588,32868244422153,22154221976441,10714022445712,14629565813435,14629565813435,11332949683363,-900303983,47497810235588,185116011655,0,701315926654,0,5431613340000,5431613340000,1615250802775,605243180977,9452017927079,4928449449750,149417024400,12558166373140,13356427788357,VCI,yearly
VJC,2020,4,24496625289704,3054995683706,604000000000,19907228134374,686565424536,243836047088,22591631380013,0,850496391339,215973206218,5326441697527,47088256669717,32108450284523,20993063649464,11115386635059,14979806385194,14979806385194,11588828447981,2485369178,47088256669717,225782426130,499159644000,686565424536,0,5416113340000,5416113340000,1347040509856,772902367939,10129815636734,5326441697527,149417024400,15410005431192,15410005431192,VCI,yearly
VJC,2020,3,22550649471812,2298775806473,419000000000,18907398112367,679882809195,245592743777,22753771934233,0,841066131988,215973206218,5409985468639,45304421406045,31321653610046,19962301744502,11359351865544,13982767795999,13982767795999,10595443263476,3025393542,45304421406045,185706636252,535342232000,679882809195,0,5416113340000,5416113340000,1712337755178,785475809951,8715673266484,5409985468639,149417024400,15501406488782,15501406488782,VCI,yearly
VJC,2020,2,24349082361336,2413573361917,404000000000,20522967870254,708315803535,300225325630,21968264877554,500987280000,740426680388,215973206218,5486863095234,46317347238890,31351410449160,19879431189241,11471979259919,14965936789730,14965936789730,11566799385521,2916838165,46317347238890,160797188556,0,708315803535,0,5416113340000,5416113340000,2355883899899,605221689978,7474875399081,5486863095234,149417024400,14285730702932,14786717982932,VCI,yearly
