ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
VJC,2025,2,814847802419,243118484991,-333196450427,-321363109752,0,-177893204590,834494756892,0,1060008279533,1064544172667,-238609144389,178550833537,449572244929,-1025754286879,-169101193834,0,0,1319210905564,-10684123897148,143391000000,-205945038067,1611228205975,0,0,67797101240,-9067652628000,4999900000000,0,18555456804051,-10796119490129,-81295360185,0,12677941953737,4929500231301,2224187878214,-5034554057,7148653555458,VCI,quarterly
VJC,2025,1,836403039422,206788252102,48130736719,149130776071,0,-217940366381,809982561855,0,1832494999788,800818902299,-84498092950,-2491454210646,-298935019687,-606373020974,-893088942,0,0,-848839531112,-2224589758082,0,-46416588717,95000000000,0,0,25399250730,-2150607096069,0,0,10978829563712,-10254026763413,-79701390505,0,645101409794,-2354345217387,4558984549152,19548546449,2224187878214,VCI,quarterly
VJC,2024,4,61929640443,133488572633,-263279165850,-387793882211,0,-35796585392,1242057390459,0,750605970082,358474894787,-853721544681,-1282118743645,2192736430781,-1298388353060,1244751,0,0,-132410100985,-1781663380374,285318000000,-2865657160303,1691829863023,0,0,94431118767,-2575741558887,0,0,19868435054994,-14569384760992,-78743621134,0,5220306672868,2512155012996,2060926374159,-14096838003,4558984549152,VCI,quarterly
VJC,2024,3,760278783394,138461620945,345422476167,170596740011,0,-277525247826,494567829639,0,1631802202330,5372841474564,-154205489991,-1497059037402,-2712282472361,-444959722151,0,0,0,2196136954989,-5435062183351,573564000000,-175262457311,0,0,0,-158873330964,-5195633971626,0,0,11874141082009,-9321957864564,-79043428802,-57789721550,2415350067093,-584146949544,2597624069785,47449253918,2060926374159,VCI,quarterly
VJC,2024,2,324021418069,149089809283,728405182014,-169623334201,0,-151647227959,756626607129,0,1636872454335,-5525939496264,-34971972506,917816319304,-577792880888,-979305227167,-36751499,-692466000,-130000000,-4564180020685,1257865756020,143556874,-1558954813635,0,0,0,10249881934,-290695618807,0,0,18591022503764,-13976234539371,-155567723502,0,4459220240891,-395655398601,3040653480907,-47374012521,2597624069785,VCI,quarterly
VJC,2024,1,676387034793,192252958903,252645369568,-123468064511,0,-297076198086,718701167748,0,1419442268415,2483818885876,-259152209801,-2650112103452,304661299333,-480484747285,-535458172,692466000,0,818330400914,-2827673274557,0,-323084440000,118289468207,0,0,278325185757,-2754143060593,0,0,10847520106090,-10977916644131,0,0,-130396538041,-2066209197720,5050743180748,56119497879,3040653480907,VCI,quarterly
VJC,2023,4,277352205130,135280800982,196023130464,-263695392062,0,-1132087066440,618793077244,0,-168333244682,1268504255552,412408710538,374454157521,-99173164130,-601594369602,-2666349258,0,-107982813000,1075617182939,-3589550295691,2330020000000,0,-100000000000,0,0,-110131124511,-1469661420202,0,0,11980718906911,-7578505559301,-1025744343378,0,3376469004232,2982424766969,2076624028013,-8305638344,5050743156638,VCI,quarterly
VJC,2023,3,198560866758,102483732510,354394915978,99097948688,0,-96184300848,484904085769,0,1143257248855,-2922400649831,-40679033529,-891327503111,176802055935,-111598178871,-437871388,0,-5662172783,-2652046104723,-1816967701001,-103394395951,0,-18450000,0,0,191672441355,-1728708105597,0,0,11144270663478,-6852223744022,-4343687402,3264360620,4290967592674,-89786617646,2165034774500,1375871159,2076624028013,VCI,quarterly
VJC,2023,2,3239032141,99610556905,1879306247560,49042261000,0,-143922665776,393772219270,0,2281047651100,-868137338208,-47038819955,628757031096,-927523362219,-656835104629,-577100364,0,-1289943332,408403013489,-78628654197,104478032313,-178000000000,178000000000,0,0,41596665704,67446043820,0,0,3844560702115,-4096623459056,0,-3264360620,-255327117561,220521939748,1982370170345,-37857335593,2165034774500,VCI,quarterly
VJC,2023,1,242957758031,94077389795,1249992928535,82748916002,0,-57823042542,375381158455,0,1987335108276,-274259449345,-45359328643,-633548072289,-742173394929,-248708890602,-138477742,0,-25867117000,17280377726,-48606068930,0,178000000000,0,0,0,76408839292,205802770362,0,0,7717623259149,-7847395182841,0,0,-129771923692,93311224396,1858261735520,30797210429,1982370170345,VCI,quarterly
