rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
41.7,48.0,129700,-2800,-0.021,-0.102,11572343,VJC: Announcement of the change of listing,TCBS,2025-09-29 14:39:32
45.1,49.0,133000,-2500,-0.018,-0.067,11567461,VJC: Approval of the early bond redemption plan,TCBS,2025-09-23 09:38:47
45.1,49.0,133000,-2500,-0.018,-0.067,11567452,VJC: Approval of the adjustment to the private bond issuance plan,TCBS,2025-09-23 09:36:00
48.0,54.0,135500,-1700,-0.012,-0.032,11566618,VJC: Change of the Company seal specimen,TCBS,2025-09-22 10:58:36
57.4,54.0,139800,-2200,-0.015,-0.018,11564783,VJC: Decision on the change of listing,TCBS,2025-09-18 16:35:40
57.4,52.0,142000,0,0.0,-0.003,11563291,VJC: Change in personnel,TCBS,2025-09-17 10:27:26
67.5,78.0,142000,-2500,-0.017,0.115,11552814,VJC: Explanation of the fluctuations of the business results in the first six months of 2025,TCBS,2025-09-03 16:12:54
68.4,78.0,144500,-500,-0.003,0.221,11551701,VJC: Notification Insider Transaction,TCBS,2025-08-29 18:54:00
66.5,82.0,144000,1500,0.011,0.134,11538793,VJC: Change in the 31st Certificate of Enterprise Registration,TCBS,2025-08-26 10:28:52
66.5,82.0,144000,1500,0.011,0.134,11538783,VJC: Change in personnel,TCBS,2025-08-26 10:25:31
72.0,65.0,119000,-2200,-0.018,0.315,11517781,VJC: Explanation of the differences in business results in Quarter 2.2025,TCBS,2025-08-01 13:49:16
72.0,65.0,119000,-2200,-0.018,0.315,11517669,VJC: Change in personnel,TCBS,2025-08-01 13:48:42
70.2,67.0,121200,2500,0.021,0.376,11516506,VJC: Corporate Governance Report for the first six months of 2025,TCBS,2025-07-31 17:16:35
84.0,85.0,127000,5100,0.042,0.442,11510815,VJC: Information about commercial dispute,TCBS,2025-07-28 16:48:50
84.0,85.0,127000,5100,0.042,0.442,11510110,VJC: Change in personnel,TCBS,2025-07-28 10:43:12
