officer_name,officer_position,officer_own_percent
Nguyen Thi Phuong Thao,Vice Chairman of Management Board,0.0802
Nguyen Thi Phuong Thao,Legal Representative,0.0802
Nguyen Thi Phuong Thao,Chairman of Management Board,0.0802
NGUYEN THANH HUNG,,0.0099
Luu Duc Khanh,Spokesman,0.0017
Luu Duc Khanh,Department Director,0.0017
Nguyen Canh Son,,0.0015
Nguyen Duc Thinh,,0.0007
Dinh Viet Phuong,ROOT,0.0006
Dinh Viet Phuong,Member of Management Board,0.0006
Dinh Viet Phuong,Legal Representative,0.0006
Dinh Viet Phuong,General Director,0.0006
Nguyen Thanh Ha,Vice Chairman of Management Board,0.0005
Nguyen Thanh Ha,Member of Management Board,0.0005
Doan Thu Huong,,0.0005
Do Kim Thinh,,0.0004
Tran Hoai Nam,,0.0003
Nguyen Thi Thuy Binh,,0.0003
To Viet Thang,ROOT,0.0002
To Viet Thang,Deputy General Director,0.0002
