ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
VJC,2025,2,0.10145076322017793,17885303707141,652383893480,1.214157303618255,896021887504,-834494756892,17885303707141,0,17885303707141,-15468335218131,2416968489010,-1473891525641,0,-615766284990,-468541785409,754790780474,83333488663,-23276466718,60057021945,814847802419,-54219229031,-107965824517,652662748871,278855391,652383893480,VCI,quarterly
VJC,2025,1,0.009001655640457256,17952150064437,640457176418,0.19447338589110458,405736750434,-809982561855,17952150064437,0,17952150064437,-15548463784863,2403686279574,-1142952507032,0,-567738561086,-273463864243,825268097647,12472118498,-1337176723,11134941775,836403039422,-3040355387,-192027143512,641335540523,878364105,640457176418,VCI,quarterly
VJC,2024,4,0.056078241788478464,19851115563799,751718542,-0.9940415448520912,601263570672,-1242057390459,19851115563799,0,19851115563799,-18654259849039,1196855714760,-371707501750,0,-644240204780,-554696548267,227475030635,-161752558091,-3792832101,-165545390192,61929640443,-8051783249,-55047906225,-1170049031,-1921767573,751718542,VCI,quarterly
VJC,2024,3,0.2760532397450072,18164226938676,571585475367,3.2302412508104728,242133471947,-717110859191,18164226938676,0,18164226938676,-15961743411610,2202483527066,-1084518905930,0,-695359188143,17363503017,682102407957,88492715860,-10316340423,78176375437,760278783394,-1014160776,-188559066938,570705555680,-879919687,571585475367,VCI,quarterly
VJC,2024,2,-0.022117648732946374,16237951168014,294642071010,8.944408717157824,562927659358,-710447334610,16237951168014,0,16237951168014,-14229270164182,2008681003832,-1083459795336,0,-600143242288,-668527741593,219477883973,122067621154,-17524087058,104543534096,324021418069,-1365436215,-27328433606,295327548248,685477238,294642071010,VCI,quarterly
VJC,2024,1,0.3794449601789466,17791992673235,536183714081,2.113602460217471,584525631463,-718701167748,17791992673235,0,17791992673235,-16046711553622,1745281119613,-940547149004,0,-657209900771,-189814603149,542235098152,140688376632,-6536439991,134151936641,676387034793,-942889461,-136303807370,539140337962,2956623881,536183714081,VCI,quarterly
VJC,2023,4,0.591981806558411,18797012170406,126159973238,1.0535435455477435,2717676958501,-618793077244,18797012170406,0,18797012170406,-18899357262694,-102345092288,-1464299996813,0,-765541213234,-552018107065,-166527450899,461127436844,-17247780815,443879656029,277352205130,90448276136,-215954076093,151846405173,25686431935,126159973238,VCI,quarterly
VJC,2023,3,0.22707948805122452,14234693642019,135118883647,2.324151678291478,309870239473,-484904085769,14234693642019,0,14234693642019,-12993915946180,1240777695839,-548402418452,0,-618944161214,-182032568315,201268787331,15858951040,-18566871613,-2707920573,198560866758,-216696729607,73598617817,55462754968,-79656128679,135118883647,VCI,quarterly
VJC,2023,2,0.4550260412945651,16605219581859,-37087979924,0.6315298812692047,465911209627,-393772219270,16605219581859,0,16605219581859,-15888658325591,716561256268,-558705222245,0,-413265928699,-239146781315,-28645466364,47827275910,-15942777405,31884498505,3239032141,-1144784336,-38268857367,-36174609562,913370362,-37087979924,VCI,quarterly
VJC,2023,1,1.8521094249196868,12897935899470,172206863571,-0.2952809003567274,237014256039,-375381158455,12897935899470,0,12897935899470,-11835759537631,1062176361839,-479287235337,0,-420359686568,-156029710951,243513985022,1007993689,-1564220680,-556226991,242957758031,-1193380175,-69035185003,172729192853,522329282,172206863571,VCI,quarterly
VJC,2022,4,3.2341874350259263,11807303383097,-2356212535935,-22.14408486657453,2063603351980,-408501422062,11807303383097,0,11807303383097,-15650424183045,-3843120799948,-1352507561136,0,-430245796547,-183335354918,-3745606160569,1624992325101,-6052449670,1618939875431,-2126666285138,-572516082652,340368661114,-2358813706676,-2601170741,-2356212535935,VCI,quarterly
VJC,2022,3,3.3712077579032464,11600465805704,40647628846,-0.4424312709241876,207945643876,-258888118734,11600465805704,0,11600465805704,-11236650659521,363815146183,-234894673102,0,-142770124306,-138970840070,55125152581,20929103863,-31798926207,-10869822344,44255330237,-1711479621,0,42543850616,1896221770,40647628846,VCI,quarterly
VJC,2022,2,2.2537913993715635,11412317794041,-100653969043,-339.44085850921607,-812325535427,-353276761442,11412317794041,0,11412317794041,-9843070278154,1569247515887,-876087900885,0,-236289030019,-85979303142,-441434253586,455596161401,-314667608,455281493793,13847240207,-170415043918,57142949708,-99424854003,1229115040,-100653969043,VCI,quarterly
VJC,2022,1,0.11697773537751369,4522244408569,244362418527,0.9647195576962855,1156028671691,-339101618864,4522244408569,0,4522244408569,-4779092618526,-256848209957,-402896425319,0,-128720377588,-118490872689,249072786138,872309143,0,872309143,249945095281,-1360504549,-4222172205,244362418527,0,244362418527,VCI,quarterly
VJC,2021,4,-0.3705176240835486,2788564173004,-101806251987,-1.102295765485177,122671668442,-267054235839,2788564173004,0,2788564173004,-2418952090558,369612082446,-297554859412,0,-143958016935,-132858519812,-82087645271,7812756404,-7444972207,367784197,-81719861074,2928926357,-14571110838,-93362045555,8444206432,-101806251987,VCI,quarterly
