time,symbol,open,high,low,close,volume
2015-10-05,VNM,39.03,40.19,38.64,39.8,851310.0
2015-10-06,VNM,40.19,40.58,39.42,39.8,378660.0
2015-10-07,VNM,39.42,39.8,39.03,39.42,400070.0
2015-10-08,VNM,39.42,39.8,39.03,39.03,408300.0
2015-10-09,VNM,39.03,39.8,39.03,39.03,319980.0
2015-10-10,VNM,39.03,39.8,39.03,39.03,319980.0
2015-10-11,VNM,39.03,39.8,39.03,39.03,319980.0
2015-10-12,VNM,39.03,39.42,38.64,39.03,349150.0
2015-10-13,VNM,39.03,39.42,39.03,39.42,281090.0
2015-10-14,VNM,40.96,42.12,40.58,40.96,2049450.0
2015-10-15,VNM,40.96,40.96,40.19,40.58,416380.0
2015-10-16,VNM,40.58,41.74,40.58,40.96,850360.0
2015-10-17,VNM,40.58,41.74,40.58,40.96,850360.0
2015-10-18,VNM,40.58,41.74,40.58,40.96,850360.0
2015-10-19,VNM,41.35,43.28,40.96,42.9,1296760.0
2015-10-20,VNM,43.28,44.44,42.9,43.28,1153180.0
2015-10-21,VNM,42.9,44.05,42.9,43.67,725530.0
2015-10-22,VNM,43.28,44.05,43.28,44.05,496060.0
2015-10-23,VNM,44.05,44.44,43.67,44.44,571020.0
2015-10-24,VNM,44.05,44.44,43.67,44.44,571020.0
2015-10-25,VNM,44.05,44.44,43.67,44.44,571020.0
2015-10-26,VNM,44.83,45.21,43.67,43.67,766000.0
2015-10-27,VNM,44.05,44.44,43.67,44.05,393940.0
2015-10-28,VNM,44.44,44.83,44.05,44.05,366330.0
2015-10-29,VNM,44.44,45.99,44.44,45.99,1151780.0
2015-10-30,VNM,45.99,46.37,45.21,45.6,592790.0
2015-10-31,VNM,45.99,46.37,45.21,45.6,592790.0
2015-11-01,VNM,45.99,46.37,45.21,45.6,592790.0
2015-11-02,VNM,45.6,45.99,44.83,45.21,715500.0
2015-11-03,VNM,46.76,47.92,45.99,47.53,2358440.0
2015-11-04,VNM,47.92,48.3,47.53,47.53,444780.0
2015-11-05,VNM,47.92,49.85,47.53,49.46,922470.0
2015-11-06,VNM,49.46,51.4,49.08,49.85,1660510.0
2015-11-07,VNM,49.46,51.4,49.08,49.85,1660510.0
2015-11-08,VNM,49.46,51.4,49.08,49.85,1660510.0
2015-11-09,VNM,49.85,50.24,48.69,49.08,733490.0
2015-11-10,VNM,49.08,49.85,48.69,49.46,649930.0
2015-11-11,VNM,49.08,51.01,49.08,50.24,833270.0
2015-11-12,VNM,50.62,51.01,49.46,51.01,546030.0
2015-11-13,VNM,51.01,53.33,51.01,52.94,988430.0
2015-11-14,VNM,51.01,53.33,51.01,52.94,988430.0
2015-11-15,VNM,51.01,53.33,51.01,52.94,988430.0
2015-11-16,VNM,52.94,54.1,52.94,54.1,924150.0
2015-11-17,VNM,54.1,54.1,51.4,51.78,1871240.0
2015-11-18,VNM,51.4,52.17,50.24,51.01,1392690.0
2015-11-19,VNM,51.01,51.78,50.24,50.24,966290.0
2015-11-20,VNM,50.24,51.4,50.24,50.62,708850.0
2015-11-21,VNM,50.24,51.4,50.24,50.62,708850.0
2015-11-22,VNM,50.24,51.4,50.24,50.62,708850.0
2015-11-23,VNM,51.4,51.4,48.69,49.08,1692040.0
2015-11-24,VNM,49.08,49.46,46.76,47.53,2567070.0
2015-11-25,VNM,47.15,48.69,46.37,48.3,951140.0
2015-11-26,VNM,48.3,48.69,47.53,47.53,244790.0
2015-11-27,VNM,47.53,49.08,47.53,47.92,1118240.0
2015-11-28,VNM,47.53,49.08,47.53,47.92,1118240.0
2015-11-29,VNM,47.53,49.08,47.53,47.92,1118240.0
2015-11-30,VNM,48.3,48.69,47.53,47.92,840700.0
2015-12-01,VNM,47.92,47.92,46.76,47.15,1100600.0
2015-12-02,VNM,46.76,47.92,46.76,47.53,411960.0
2015-12-03,VNM,47.53,47.92,46.76,47.53,383750.0
2015-12-04,VNM,47.53,47.53,46.76,47.53,253990.0
2015-12-05,VNM,47.53,47.53,46.76,47.53,253990.0
2015-12-06,VNM,47.53,47.53,46.76,47.53,253990.0
2015-12-07,VNM,47.15,47.53,46.37,46.37,354390.0
2015-12-08,VNM,46.37,48.3,45.6,48.3,867200.0
2015-12-09,VNM,48.3,49.08,47.53,47.53,470630.0
2015-12-10,VNM,47.53,48.3,47.15,47.53,252320.0
2015-12-11,VNM,47.53,48.3,47.15,47.53,321070.0
2015-12-12,VNM,47.53,48.3,47.15,47.53,321070.0
2015-12-13,VNM,47.53,48.3,47.15,47.53,321070.0
2015-12-14,VNM,47.53,48.3,47.15,47.92,237100.0
2015-12-15,VNM,47.92,49.08,47.92,48.69,710870.0
2015-12-16,VNM,49.08,49.85,48.69,49.46,662390.0
2015-12-17,VNM,49.46,49.85,49.08,49.46,317610.0
2015-12-18,VNM,49.46,49.85,49.08,49.46,315940.0
2015-12-19,VNM,49.46,49.85,49.08,49.46,315940.0
2015-12-20,VNM,49.46,49.85,49.08,49.46,315940.0
2015-12-21,VNM,49.46,49.46,48.3,48.3,513240.0
2015-12-22,VNM,48.69,49.08,48.3,48.3,434910.0
2015-12-23,VNM,48.3,48.3,47.53,47.92,293550.0
2015-12-24,VNM,47.92,48.3,47.53,48.3,316110.0
2015-12-25,VNM,47.92,48.3,47.53,47.92,315630.0
2015-12-26,VNM,47.92,48.3,47.53,47.92,315630.0
2015-12-27,VNM,47.92,48.3,47.53,47.92,315630.0
2015-12-28,VNM,48.3,49.46,47.92,49.08,821730.0
2015-12-29,VNM,49.08,49.08,48.3,49.08,399590.0
2015-12-30,VNM,49.08,49.46,48.69,49.08,309040.0
2015-12-31,VNM,48.69,50.24,48.69,49.46,688500.0
2016-01-01,VNM,48.69,50.24,48.69,49.46,688500.0
2016-01-02,VNM,48.69,50.24,48.69,49.46,688500.0
2016-01-03,VNM,48.69,50.24,48.69,49.46,688500.0
2016-01-04,VNM,49.46,49.46,48.3,48.69,469320.0
2016-01-05,VNM,48.69,49.08,48.3,48.3,285680.0
2016-01-06,VNM,48.3,48.69,47.92,48.69,250760.0
2016-01-07,VNM,48.3,48.3,47.15,47.92,731010.0
2016-01-08,VNM,47.53,47.53,46.76,47.15,615950.0
2016-01-09,VNM,47.53,47.53,46.76,47.15,615950.0
2016-01-10,VNM,47.53,47.53,46.76,47.15,615950.0
2016-01-11,VNM,46.76,47.53,46.76,46.76,407320.0
2016-01-12,VNM,46.76,47.53,46.76,47.53,288070.0
2016-01-13,VNM,47.53,47.53,46.76,46.76,232630.0
2016-01-14,VNM,46.76,47.15,46.37,46.76,338870.0
2016-01-15,VNM,47.15,47.53,46.37,46.37,495560.0
2016-01-16,VNM,47.15,47.53,46.37,46.37,495560.0
2016-01-17,VNM,47.15,47.53,46.37,46.37,495560.0
2016-01-18,VNM,45.99,45.99,44.05,45.21,1244120.0
2016-01-19,VNM,44.83,45.99,44.83,45.99,375380.0
2016-01-20,VNM,45.6,45.99,45.21,45.21,313330.0
2016-01-21,VNM,44.83,45.6,44.44,44.83,333300.0
2016-01-22,VNM,44.83,45.21,43.28,44.05,716530.0
2016-01-23,VNM,44.83,45.21,43.28,44.05,716530.0
2016-01-24,VNM,44.83,45.21,43.28,44.05,716530.0
2016-01-25,VNM,44.83,45.6,44.44,45.6,325040.0
2016-01-26,VNM,44.83,45.21,44.05,44.44,289980.0
2016-01-27,VNM,44.83,45.21,44.44,45.21,276700.0
2016-01-28,VNM,44.83,45.6,44.83,44.83,249720.0
2016-01-29,VNM,44.83,45.21,44.44,44.83,178270.0
2016-01-30,VNM,44.83,45.21,44.44,44.83,178270.0
2016-01-31,VNM,44.83,45.21,44.44,44.83,178270.0
2016-02-01,VNM,45.21,46.37,44.83,45.99,865310.0
2016-02-02,VNM,45.99,46.76,45.6,45.99,251520.0
2016-02-03,VNM,45.6,46.76,45.6,46.76,269870.0
