rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
42.2,37.0,62100,2100,0.035,0.01,11727434,VNM: HĐQT thông qua chi trả cổ tức còn lại năm 2024 và tạm ứng đợt 1 năm 2025,TCBS,2025-10-01 15:56:17
42.2,37.0,62100,2100,0.035,0.01,11727435,VNM: Nghị quyết HĐQT thông qua chi trả cổ tức còn lại năm 2024 và tạm ứng đợt 1/2025 bằng tiền mặt,TCBS,2025-10-01 15:53:35
42.2,37.0,62100,2100,0.035,0.01,11727407,Vinamilk dự chi gần 5.960 tỷ đồng trả cổ tức còn lại năm 2024 và tạm ứng đợt 1/2025,TCBS,2025-10-01 15:48:00
62.4,58.0,64700,1600,0.025,0.066,11712579,VNM: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ Công ty TNHH MTV Đầu tư SCIC,TCBS,2025-09-16 16:46:00
56.6,49.0,61800,300,0.005,0.023,11701788,VNM: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ SCIC,TCBS,2025-09-04 16:47:56
56.6,49.0,61800,300,0.005,0.023,11701130,VNM: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ PLATINUM VICTORY PTE.LTD,TCBS,2025-09-04 11:00:03
56.6,49.0,61800,300,0.005,0.023,11701123,VNM: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ PLATINUM VICTORY PTE.LTD,TCBS,2025-09-04 10:59:00
49.7,40.0,61500,1200,0.02,0.018,11699844,VNM: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ F&N DAIRY INVESTMENTS PTE.LTD,TCBS,2025-09-03 13:27:00
49.7,40.0,61500,1200,0.02,0.018,11699843,VNM: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ F&N DAIRY INVESTMENTS PTE.LTD,TCBS,2025-09-03 13:26:00
52.1,34.0,60700,-300,-0.005,0.008,11676830,VNM: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 30,TCBS,2025-08-18 17:29:06
72.5,52.0,61200,-1700,-0.027,0.055,11657462,VNM: Giải trình KQKD HN và Riêng 6 tháng năm 2025 so với cùng kỳ năm trước,TCBS,2025-07-31 13:58:00
72.5,52.0,61200,-1700,-0.027,0.055,11656246,"Vinamilk (VNM) ghi nhận doanh thu quý II/2025 kỷ lục, đạt 16.745 tỷ đồng",TCBS,2025-07-31 07:07:00
75.9,54.0,62900,-300,-0.005,0.084,11656113,VNM: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ F&N Dairy Investments Pte. Ltd.,TCBS,2025-07-30 18:27:46
75.9,54.0,62900,-300,-0.005,0.084,11656115,VNM: Thông báo giao dịch cổ phiếu của tổ chức có liên quan của Người nội bộ F&N Dairy Investments Pte. Ltd.,TCBS,2025-07-30 18:27:00
75.9,54.0,62900,-300,-0.005,0.084,11655982,VNM: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ PLATINUM VICTORY PTE.LTD,TCBS,2025-07-30 17:23:23
