officer_name,officer_position,officer_own_percent
Mai Kieu Lien,Spokesman,0.0031
Mai Kieu Lien,Member of Management Board,0.0031
Mai Kieu Lien,General Director,0.0031
Nguyen Thi Thanh Hoa,Chief Operations Officer of Produce,0.0005
Tran Minh Van,,0.0004
Le Thi Ngoc Thuy,,0.0003
Le Thanh Liem,Member of Management Board,0.0002
Mai Hoai Anh,Department Director,0.0002
Le Thanh Liem,Department Director,0.0002
Le Thanh Liem,Chief Financial Officer,0.0002
Nguyen Thi Nhu Hang,,0.0002
Nguyen Huu Ngoc Tran,,0.0002
Trinh Quoc Dung,Director,0.0001
Trinh Quoc Dung,Chief Operations Officer of Material Area Development,0.0001
Bui Thi Huong,Chief Operations Officer of Administration & Human resource,0.0001
Duong Thi Ngoc Trinh,,0.0001
Nguyen Minh An,,0.0001
Le Quang Thanh Truc,,0.0001
Phan Minh Tien,,0.0001
Pham Phu Tuan,,0.0001
