ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
VPB,2025,2,1104718510000000,2403496000000,17320822000000,154342401000000,14361441000000,14501280000000,-139839000000,0,811930923000000,829126712000000,-17195789000000,73755887000000,73839378000000,100000000000,-183491000000,189210000000,189210000000,0,1873802000000,1354010000000,519792000000,0,27614781000000,1104718510000000,952535825000000,4346133000000,229364716000000,600774163000000,572805000000,7497000000,83140558000000,34329953000000,152182685000000,103331782000000,14574824000000,0,28790209000000,0,79339236000000,0,5485870000000,VCI,quarterly
VPB,2025,1,994036651000000,2671682000000,7191513000000,142751033000000,16623311000000,16760703000000,-137392000000,61338000000,713554849000000,729968910000000,-16414061000000,57972590000000,57124816000000,1092927000000,-245153000000,189210000000,189210000000,0,1941077000000,1395996000000,545081000000,0,50333839000000,994036651000000,842823289000000,939577000000,186491192000000,552373981000000,0,9192000000,78788990000000,24220357000000,151213362000000,103331782000000,14569414000000,0,27901391000000,0,79339236000000,0,5410775000000,VCI,quarterly
VPB,2024,4,923847637000000,2148289000000,14327215000000,134643662000000,13110971000000,13180721000000,-69750000000,0,676545598000000,692875738000000,-16330140000000,52783054000000,51857428000000,992927000000,-67301000000,189210000000,189210000000,0,2023899000000,1437082000000,586817000000,0,27275914000000,923847637000000,776572375000000,5713000000,201756421000000,485666548000000,28057000000,10894000000,66975704000000,22129038000000,147275262000000,103331782000000,14565614000000,0,24007579000000,0,79339236000000,0,5370287000000,VCI,quarterly
VPB,2024,3,858884594000000,2681822000000,13546544000000,119231088000000,10549064000000,10611890000000,-62826000000,0,619865901000000,635344648000000,-15478747000000,58056373000000,58136983000000,0,-80610000000,189210000000,189210000000,0,1906115000000,1363684000000,542431000000,0,32061347000000,858884594000000,716644720000000,26027000000,167416136000000,475782339000000,1266044000000,13025000000,50941501000000,21199648000000,142239874000000,103331782000000,11675185000000,0,22284722000000,0,79339236000000,0,4948185000000,VCI,quarterly
VPB,2024,2,864392980000000,2597276000000,14975550000000,115858610000000,11501226000000,11576885000000,-75659000000,0,609030873000000,624277460000000,-15246587000000,59429591000000,59348479000000,184273000000,-103161000000,189210000000,189210000000,0,1926393000000,1335641000000,590752000000,0,48062490000000,864392980000000,726317366000000,387940000000,178580696000000,471348616000000,1023282000000,15529000000,54199709000000,20761594000000,138075614000000,103331782000000,11675185000000,0,18256890000000,0,79339236000000,0,4811757000000,VCI,quarterly
VPB,2024,1,822366981000000,2432599000000,7759148000000,98545790000000,11331236000000,11406079000000,-74843000000,582774000000,567636430000000,582691308000000,-15054878000000,82798265000000,76541718000000,6733753000000,-477206000000,189210000000,189210000000,0,1916305000000,1285300000000,631005000000,0,48381386000000,822366981000000,679429571000000,111865000000,153846616000000,455817478000000,0,18390000000,46344356000000,23290866000000,142937410000000,103331782000000,12233282000000,0,22632666000000,0,79339236000000,0,4739680000000,VCI,quarterly
VPB,2023,4,817699538000000,2284990000000,8422511000000,94093778000000,12325809000000,12406274000000,-80465000000,0,551622004000000,566271290000000,-14649286000000,94587476000000,88050457000000,6755260000000,-218241000000,189210000000,189210000000,0,1923801000000,1298099000000,625702000000,0,51428198000000,817699538000000,677752965000000,4118311000000,156356651000000,442368381000000,392000000,22045000000,47787312000000,27099873000000,139946573000000,103331782000000,12233277000000,0,19149037000000,0,79339236000000,0,5232477000000,VCI,quarterly
VPB,2023,3,780212730000000,2815202000000,9033687000000,98886732000000,13111028000000,13192931000000,-81903000000,75180000000,508798755000000,521566286000000,-12767531000000,87404082000000,86434927000000,1186324000000,-217169000000,189210000000,189210000000,0,1898896000000,1318938000000,579958000000,0,57178197000000,780212730000000,670221182000000,12923000000,160069135000000,421471748000000,0,26538000000,64999327000000,23641511000000,109991548000000,66550770000000,11486043000000,0,26803338000000,0,67434236000000,0,5151397000000,VCI,quarterly
VPB,2023,2,739761986000000,2104944000000,10282392000000,105026761000000,12693573000000,12771978000000,-78405000000,0,474940426000000,488644495000000,-13704069000000,80047557000000,79052682000000,1213274000000,-218399000000,189210000000,189210000000,0,1759134000000,1168104000000,591030000000,0,51866894000000,739761986000000,632198116000000,30479000000,153746278000000,387611144000000,839051000000,32433000000,73281087000000,16657644000000,107563870000000,66550770000000,11486043000000,0,24378592000000,0,67434236000000,0,5148465000000,VCI,quarterly
VPB,2023,1,677623733000000,2610940000000,9201959000000,69935068000000,10854845000000,10934415000000,-79570000000,0,450145682000000,463469068000000,-13323386000000,78811465000000,76277773000000,2751087000000,-217395000000,189210000000,189210000000,0,1782683000000,1180882000000,601801000000,0,53226120000000,677623733000000,572526094000000,966003000000,139929833000000,331184428000000,825092000000,39000000000,82485019000000,17096719000000,105097639000000,66550770000000,13535084000000,0,19260758000000,0,67434236000000,0,5751027000000,VCI,quarterly
VPB,2022,4,631073662000000,2658493000000,9935379000000,47965493000000,7793447000000,7850639000000,-57192000000,0,424662382000000,438338047000000,-13675665000000,83075897000000,82718218000000,610279000000,-252600000000,189210000000,189210000000,0,1858126000000,1219108000000,639018000000,0,52042049000000,631073662000000,527556773000000,1929233000000,140249116000000,303151417000000,15369000000,47050000000,63699974000000,18464614000000,103516889000000,66550770000000,13535062000000,0,16759092000000,0,67434236000000,0,6671965000000,VCI,quarterly
VPB,2022,3,595901874000000,2270374000000,4512134000000,47833645000000,5517145000000,5557136000000,-39991000000,1120686000000,390122807000000,402647324000000,-12524517000000,87756862000000,87505443000000,504587000000,-253168000000,249710000000,249710000000,0,1843886000000,1188276000000,655610000000,0,53770439000000,595901874000000,493535620000000,10796000000,128584980000000,277422332000000,0,57983000000,72872562000000,14586967000000,102366254000000,44173464000000,12030238000000,0,38375456000000,0,45056930000000,0,7787096000000,VCI,quarterly
VPB,2022,2,608275139000000,2307527000000,4977601000000,62025635000000,5576455000000,5616365000000,-39910000000,519734000000,379718347000000,392504254000000,-12785907000000,101733424000000,101506131000000,510495000000,-283202000000,249710000000,249710000000,0,1784089000000,1149229000000,634860000000,0,48451004000000,608275139000000,509751315000000,12583000000,122797129000000,295419571000000,0,71739000000,76025392000000,15424901000000,98523824000000,43373620000000,12530082000000,0,34645426000000,0,45056930000000,0,7974696000000,VCI,quarterly
VPB,2022,1,563923685000000,2181085000000,4753558000000,51850561000000,3838137000000,3848546000000,-10409000000,33547000000,362946441000000,374457058000000,-11510617000000,92350151000000,92415647000000,566674000000,-632170000000,249710000000,249710000000,0,1809994000000,1174529000000,635465000000,0,42967888000000,563923685000000,468721666000000,1300869000000,103754590000000,274148697000000,0,86864000000,76781597000000,12649049000000,95202019000000,43373620000000,12558832000000,0,31110740000000,0,45056930000000,0,8158827000000,VCI,quarterly
VPB,2021,4,547626129000000,2345733000000,10860730000000,57104628000000,6970941000000,7005061000000,-34120000000,103299000000,345606972000000,355281219000000,-9674247000000,75798431000000,75313521000000,722934000000,-238024000000,249710000000,249731000000,-21000000,1872973000000,1216957000000,656016000000,0,45754022000000,547626129000000,461174630000000,8454375000000,114619106000000,241837028000000,0,103930000000,81295633000000,14864558000000,86451499000000,43373620000000,12584835000000,0,22499887000000,0,45056930000000,0,7993157000000,VCI,quarterly
VPB,2021,3,479431926000000,1917461000000,9701663000000,38915525000000,3159193000000,3184835000000,-25642000000,0,311073629000000,317290648000000,-6217019000000,75876159000000,75494619000000,730374000000,-348834000000,233581000000,233602000000,-21000000,1723271000000,1096364000000,626907000000,0,35869088000000,479431926000000,417109431000000,15338000000,97888875000000,239357320000000,76316000000,123016000000,68180162000000,11468404000000,62322495000000,23616370000000,12796666000000,0,25909459000000,0,25299680000000,0,0,VCI,quarterly
VPB,2021,2,451767038000000,2121847000000,5194489000000,34483219000000,50041000000,50041000000,0,50728000000,306025689000000,310852523000000,-4826834000000,67923121000000,67561616000000,737813000000,-376308000000,238581000000,238602000000,-21000000,1749489000000,1136642000000,612847000000,0,33681045000000,451767038000000,391755363000000,12551000000,78220737000000,233591350000000,0,142688000000,67410270000000,12377767000000,60011675000000,23466370000000,9196666000000,0,27348639000000,0,25299680000000,0,0,VCI,quarterly
