ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
VPB,2025,2,362934000000,11417755000000,14803070000000,0,18218000000,7317000000,26194000000,0,-3968172000000,10861092000000,151497743000000,0,162358835000000,14803070000000,659000000,0,0,-3968172000000,VCI,quarterly
VPB,2025,1,8940000000,10147577000000,8550806000000,0,-64029000000,0,-55847000000,0,0,8494959000000,143002784000000,0,151497743000000,8550806000000,8182000000,0,0,0,VCI,quarterly
VPB,2024,4,104026000000,15547712000000,23834263000000,0,-56271000000,9654000000,-46697000000,0,-693000000,23786873000000,119215911000000,0,143002784000000,23834263000000,-80000000,0,0,-693000000,VCI,quarterly
VPB,2024,3,-50907000000,10297016000000,16946320000000,0,-1534000000,3147000000,2223000000,0,0,16948543000000,102267368000000,0,119215911000000,16946320000000,869000000,0,0,0,VCI,quarterly
VPB,2024,2,-102379000000,9580225000000,21894246000000,0,-497000000,0,-496000000,0,-7935139000000,13958611000000,88308757000000,0,102267368000000,21894246000000,1000000,0,0,-7935139000000,VCI,quarterly
VPB,2024,1,-149421000000,6834558000000,-5358644000000,0,-994000000,0,-69000000,0,0,-5358713000000,93667470000000,0,88308757000000,-5358644000000,925000000,0,0,0,VCI,quarterly
VPB,2023,4,-168849000000,8864399000000,-30763738000000,0,-52854000000,0,-52595000000,35897546000000,28265818000000,-2550515000000,96217984000000,0,93667469000000,-30763738000000,259000000,0,0,-7933924000000,VCI,quarterly
VPB,2023,3,-9465000000,10272503000000,-11663640000000,0,-31852000000,3147000000,-28449000000,0,0,-11692089000000,107910073000000,0,96217984000000,-11663640000000,256000000,0,0,0,VCI,quarterly
VPB,2023,2,1545952000000,9480373000000,32753079000000,0,-18471000000,0,-18471000000,0,0,32734608000000,75175465000000,0,107910073000000,32753079000000,0,0,0,0,VCI,quarterly
VPB,2023,1,817515000000,7643936000000,21134682000000,0,-4838000000,0,-4388000000,0,0,21130294000000,54045171000000,0,75175465000000,21134682000000,450000000,0,0,0,VCI,quarterly
VPB,2022,4,51761000000,8872509000000,15701168000000,0,-36003000000,0,-553216000000,0,0,15147952000000,38897219000000,0,54045171000000,15701168000000,399000000,-517612000000,0,0,VCI,quarterly
VPB,2022,3,62894000000,8349072000000,-13669768000000,0,-37127000000,12801000000,-24238000000,0,300000000000,-13394006000000,52291225000000,0,38897219000000,-13669768000000,88000000,0,0,0,VCI,quarterly
VPB,2022,2,297508000000,9833336000000,5890665000000,0,-30615000000,0,-28107000000,0,0,5862558000000,46428667000000,0,52291225000000,5890665000000,2507000000,1000000,0,0,VCI,quarterly
VPB,2022,1,6396593000000,10489182000000,-7229528000000,0,-2154000000,0,-119733000000,0,0,-7349261000000,53777928000000,0,46428667000000,-7229528000000,248000000,-117827000000,0,0,VCI,quarterly
VPB,2021,4,-5291000000,5929243000000,-18793802000000,0,745000000,0,25913835000000,0,-261960000000,6858073000000,46919855000000,0,53777928000000,-18793802000000,1385000000,-16500000000,25928205000000,0,VCI,quarterly
