rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
46.7,64.0,31100,700,0.023,-0.111,11724823,VPB: CBTT giải tỏa ESOP năm 2023,TCBS,2025-09-29 17:52:47
52.2,70.0,30950,-650,-0.021,-0.076,11721352,VPB: Nghị quyết HĐQT về việc phát hành trái phiếu riêng lẻ VPBank năm 2025,TCBS,2025-09-25 14:03:03
50.6,68.0,31550,-50,-0.002,0.014,11711213,VPB: Nghị quyết HĐQT về việc chuyển nhượng cổ phần Công ty OPES cho Công ty VPBankS,TCBS,2025-09-15 16:52:52
50.6,68.0,31550,-50,-0.002,0.014,11710780,"VPBank sẽ bán gần 10% vốn tại Công ty bảo hiểm OPES cho VPBankS, Chủ tịch Ngô Chí Dũng được toàn quyền quyết định giá mua bán",TCBS,2025-09-15 11:34:00
53.2,90.0,31600,-650,-0.02,0.068,11709852,VPB: Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ Dương Thị Thu Thủy,TCBS,2025-09-12 17:16:05
53.2,90.0,31600,-650,-0.02,0.068,11709682,VPB: Nghị quyết HĐQT về việc phát hành  riêng lẻ trái phiếu VPBank năm 2025,TCBS,2025-09-12 15:07:59
53.9,75.0,32250,-200,-0.006,0.09,11708028,VPB: Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ Nguyễn Thị Thu Hằng,TCBS,2025-09-11 10:51:42
50.0,70.0,32400,1200,0.038,0.095,11706335,VPB: Nghị quyết HĐQT về việc thay đổi địa điểm chi nhánh,TCBS,2025-09-09 17:24:21
58.5,73.0,31200,-2300,-0.069,0.056,11704954,VPB: Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ Phạm Thị Nhung,TCBS,2025-09-08 16:53:19
64.8,90.0,33500,-1400,-0.04,0.264,11703090,VPB: Đính chính báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Bùi Hải Ngân,TCBS,2025-09-05 14:31:06
64.8,90.0,33500,-1400,-0.04,0.264,11703091,VPB: Đính chính báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Bùi Cẩm Thi,TCBS,2025-09-05 14:30:18
63.8,92.0,34900,400,0.012,0.322,11701129,VPB: Nghị quyết HĐQT số 210 ngày 03/09/2025,TCBS,2025-09-04 11:01:15
63.7,83.0,35000,1000,0.029,0.483,11698592,VPB: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Bùi Hải Ngân,TCBS,2025-08-29 18:43:17
61.9,72.0,34000,700,0.021,0.355,11687935,VPB: Nghị quyết HĐQT về việc thay đổi địa điểm Chi nhánh Phùng Hưng,TCBS,2025-08-28 17:55:58
61.9,72.0,34000,700,0.021,0.355,11687804,VPB: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Bùi Cẩm Thi,TCBS,2025-08-28 16:29:07
