officer_name,officer_position,officer_own_percent
Ngo Chi Dung,Legal Representative,0.0414
Ngo Chi Dung,Chairman of Management Board,0.0414
Hoang Anh Minh,,0.0412
Vu Thi Quyen,,0.0411
Tran Ngoc Lan,,0.0391
,,0.0385
Nguyen Phuong Hoa,,0.0376
Kim Ngoc Cam Ly,,0.0361
Ly Thi Thu Ha,,0.0356
Le Viet Anh,,0.0353
,,0.0271
Nguyen Thu Thuy,,0.0256
Bui Hai Quan,Vice Chairman of Management Board,0.0197
,,0.0145
Nguyen Duc Vinh,Member of Management Board,0.0132
Nguyen Duc Vinh,General Director,0.0132
,,0.0088
Tran Ngoc Be,,0.0065
Pham Thi Nhung,Member of Management Board,0.0058
Pham Thi Nhung,Chairman of Management Board,0.0058
