Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROA (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
VPB,2025,2,6.2591603309,0.012312846234773687,1.9181264233602997,0.3607505427506161,0.1174041678,0.0179339096,7.25916033088784,239207796570150.0,7933923601.0,13.7455513898,1.6306270628,3.6910151995,3.7297858323,612.8619639577998,18489.819461018,VCI,yearly
VPB,2025,1,5.573735534,0.012836676430750874,1.90590897523819,0.29162756993909145,0.1113123191,0.0176943598,6.57373553403303,166612395621000.0,7933923601.0,10.3440940704,1.1427259217,2.5867259662,2.3392195184,490.91838992614976,18377.1100318666,VCI,yearly
VPB,2024,4,5.2729315464,0.01374228755403606,1.8562727523798852,0.3499902258751366,0.1099296453,0.0181218136,6.27293154637199,134083308856900.0,7933923601.0,8.4976900226,0.9448809589,2.1537738052,2.339362064,581.9844294212785,17885.8509530031,VCI,yearly
VPB,2024,3,5.0382828657,0.013400707877454954,1.792806197201999,0.33135139421831866,0.0936893991,0.0156884989,6.038282865745508,144000713358150.0,7933923601.0,10.852858117,1.0488669373,2.4848362902,52.6693518434,507.6721433884652,17304.3875772506,VCI,yearly
VPB,2024,2,5.2602870627,0.013951725030895028,1.7403194301316036,0.2874578505896082,0.0873027141,0.0141120553,6.260287062710436,163835522360650.0,7933923601.0,13.499973671,1.2294070279,3.0255412104,-6.0421763416,449.5689874742972,16796.7154338622,VCI,yearly
VPB,2024,1,4.75333624,0.01340660223240368,1.8015980136484302,0.31498468922491285,0.0885886761,0.0140293309,5.75333623996685,150744548419000.0,7933923601.0,12.4583264742,1.0907888894,2.9676875826,-9.1851322222,449.55020735899825,17418.5859292345,VCI,yearly
VPB,2023,4,4.8483053038,0.013746681742610446,1.7639011923729766,0.1838534823375388,0.0819896725,0.0137706448,5.842940777120709,156298294939700.0,7933923601.0,13.7446064836,1.1609380947,3.1423382352,11.9627314971,255.87339910156516,16969.0357218755,VCI,yearly
VPB,2023,3,6.0933880301,0.01726401741341071,1.3863449351357071,0.27439347597102465,0.0965634681,0.0145483274,7.093388030142098,155901598759650.0,7933923601.0,13.3687793748,1.1076927672,3.170658695,2.3744292327,305.6175130920573,17739.5759750271,VCI,yearly
VPB,2023,2,5.877420699,0.016354320460950318,1.3557462285929063,0.349433866311168,0.1107958154,0.0175365586,6.877420698976338,147343805681850.0,6743423601.0,12.6473208815,1.4386879169,2.8676595981,2.6220625907,454.04132695237456,15187.449441084,VCI,yearly
VPB,2023,1,5.447563803,0.0169621603012414,1.324661596019823,0.26599226196014053,0.1176022132,0.0191647652,6.447563803027012,131914458619650.0,6713204001.0,10.9385688215,1.3278204054,2.5423810017,4.5323955698,377.7561354641158,14798.6880757983,VCI,yearly
VPB,2022,4,5.096629763,0.01794997915750733,1.3047376582622074,0.22033409082267,0.1914633954,0.0308343921,6.096335275299859,137620682020500.0,6713204001.0,7.5539391061,1.4211483927,2.3811005779,198.1695186736,337.4869882789966,14424.953864887,VCI,yearly
VPB,2022,3,4.8212726432,0.018012635296784426,1.2902349347944018,0.35916404017717646,0.1917533708,0.0316764582,5.821272643228696,130236157619400.0,6713204001.0,7.074017277,1.3770069471,2.3215139573,-3.8377979561,555.6040006298625,14088.5273240485,VCI,yearly
VPB,2022,2,5.1738888556,0.01810819888598721,1.2418045465875416,0.3352113814589496,0.1958476027,0.0305001988,6.173888855552338,107411264016000.0,6713204001.0,6.3796154645,1.1862208548,2.0358798518,-17.9447771019,522.582957329677,13488.2133756865,VCI,yearly
VPB,2022,1,4.9234424955,0.019012138807686423,1.1999361701441218,0.8770000831334726,0.2273460496,0.0338320604,5.923442495479009,123361886489250.0,4445473387.0,7.1312899322,1.4172491111,2.394465424,191.5471810584,1950.641752880209,19580.1851507069,VCI,yearly
