ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
VPB,2025,2,23456522000000,0.1872256632633048,4862400000000,0.36322117635580564,23456522000000,-9977956000000,13478566000000,3278697000000,-1935445000000,1343252000000,93240000000,326594000000,38529000000,2119068000000,-873475000000,1245593000000,8857000000,16534631000000,-4404427000000,12130204000000,-5915679000000,6214525000000,-1277029000000,-1249088000000,-27941000000,-75096000000,4937496000000,4862400000000,613,VCI,quarterly
VPB,2025,1,22184295000000,0.14671656726503723,3894909000000,0.09202127346393596,22184295000000,-8828531000000,13355764000000,2877390000000,-1708591000000,1168799000000,119466000000,184151000000,-134849000000,1930673000000,-1057916000000,872757000000,0,15566088000000,-3873901000000,11692187000000,-6677305000000,5014882000000,-1079928000000,-1078750000000,-1178000000,-40045000000,3934954000000,3894909000000,491,VCI,quarterly
VPB,2024,4,21401247000000,0.04749296189374126,4617420000000,1.2745014974779318,21401247000000,-8208250000000,13192997000000,3520835000000,-1978945000000,1541890000000,232871000000,236288000000,3650000000,3744662000000,-1317607000000,2427055000000,9654000000,17644405000000,-3791098000000,13853307000000,-7701873000000,6151434000000,-1111912000000,-1113274000000,1362000000,-422102000000,5039522000000,4617420000000,582,VCI,quarterly
VPB,2024,3,19607046000000,0.014697528262238172,4027832000000,0.6611356405990566,19607046000000,-7451274000000,12155772000000,2866247000000,-1718682000000,1147565000000,96258000000,116898000000,17135000000,2638555000000,-1112323000000,1526232000000,3147000000,15063007000000,-3750960000000,11312047000000,-6125121000000,5186926000000,-1022666000000,-1025640000000,2974000000,-136428000000,4164260000000,4027832000000,508,VCI,quarterly
VPB,2024,2,19757425000000,0.05233138825500503,3566846000000,0.1649533459642765,19757425000000,-7349185000000,12408240000000,3652877000000,-1769840000000,1883037000000,193939000000,40310000000,411663000000,2110711000000,-910868000000,1199843000000,0,16137032000000,-3331107000000,12805925000000,-8313437000000,4492488000000,-851327000000,-781095000000,-70232000000,-74315000000,3641161000000,3566846000000,449,VCI,quarterly
VPB,2024,1,19345927000000,0.07307456825863846,3566697000000,0.40645177317885106,19345927000000,-8022529000000,11323398000000,3161701000000,-1607870000000,1553831000000,304172000000,-32540000000,37219000000,1065881000000,-841349000000,224532000000,0,13410612000000,-3466567000000,9944045000000,-5762193000000,4181852000000,-1039969000000,-1042770000000,2801000000,424814000000,3141883000000,3566697000000,450,VCI,quarterly
VPB,2023,4,20430922000000,0.22665288970888872,2030080000000,-0.10396231670020423,20430922000000,-9389086000000,11041836000000,3566973000000,-1685905000000,1881068000000,-185079000000,47520000000,-44912000000,1495256000000,-894549000000,600707000000,0,13341140000000,-3615483000000,9725657000000,-7017806000000,2707851000000,-596690000000,-559961000000,-36729000000,-81081000000,2111161000000,2030080000000,0,VCI,quarterly
VPB,2023,3,19323045000000,0.2184774169171288,2424746000000,-0.34991365680907416,19323045000000,-10486297000000,8836748000000,3002653000000,-1113292000000,1889361000000,-63648000000,88897000000,11887000000,1297356000000,-801717000000,495639000000,3147000000,11262031000000,-3194749000000,8067282000000,-4950150000000,3117132000000,-689454000000,-688394000000,-1060000000,-2932000000,2427678000000,2424746000000,0,VCI,quarterly
VPB,2023,2,18774908000000,0.2154648018442786,3061793000000,-0.12724822886683393,18774908000000,-10012755000000,8762153000000,2830715000000,-1173673000000,1657042000000,-210616000000,148543000000,252537000000,2765634000000,-593787000000,2171847000000,0,12781506000000,-3678666000000,9102840000000,-6490301000000,2612539000000,-160308000000,-846530000000,686222000000,609562000000,2452231000000,3061793000000,456,VCI,quarterly
VPB,2023,1,18028502000000,0.2661140622673682,2535954000000,-0.7075538953582103,18028502000000,-8494563000000,9533939000000,2786451000000,-1118097000000,1668354000000,-346630000000,95213000000,30520000000,2335765000000,-958408000000,1377357000000,0,12358753000000,-3422919000000,8935834000000,-6386179000000,2549655000000,-899936000000,-889286000000,-10650000000,886235000000,1649719000000,2535954000000,378,VCI,quarterly
VPB,2022,4,16655830000000,0.3326717380614005,2265619000000,-0.06722080159216696,16655830000000,-6373177000000,10282653000000,3112294000000,-1231147000000,1881147000000,-339979000000,68282000000,-22317000000,1759002000000,-860980000000,898022000000,0,12767808000000,-4064846000000,8702962000000,-7320145000000,1382817000000,-242369000000,-851996000000,609627000000,1125171000000,1140448000000,2265619000000,0,VCI,quarterly
VPB,2022,3,15858353000000,0.37843069098276233,3729883000000,0.7261423903888339,15858353000000,-5473452000000,10384901000000,2793120000000,-1023664000000,1769456000000,-28551000000,81249000000,10828000000,1929963000000,-677855000000,1252108000000,3147000000,13473138000000,-3536223000000,9936915000000,-5422915000000,4514000000000,-971570000000,-971570000000,0,187453000000,3542430000000,3729883000000,0,VCI,quarterly
VPB,2022,2,15446690000000,0.14537560242426759,3508206000000,-0.12652168143168335,15446690000000,-4981037000000,10465653000000,2450690000000,-912683000000,1538007000000,-166609000000,-232373000000,348602000000,1891589000000,-568034000000,1323555000000,9654000000,13286489000000,-3524036000000,9762453000000,-5585723000000,4176730000000,-852655000000,-852655000000,0,184131000000,3324075000000,3508206000000,789,VCI,quarterly
VPB,2022,1,14239240000000,0.06754966132728396,8671526000000,1.7083199815104582,14239240000000,-4351526000000,9887714000000,2099591000000,-850372000000,1249219000000,-82911000000,-66352000000,171642000000,7436486000000,-326203000000,7110283000000,0,18269595000000,-2990976000000,15278619000000,-4132443000000,11146176000000,-2229353000000,-2229353000000,0,-245297000000,8916823000000,8671526000000,1951,VCI,quarterly
VPB,2021,4,12498074000000,-0.06371291741147296,2428891000000,-0.16165032173846114,12498074000000,-3975204000000,8522870000000,2065323000000,-869247000000,1196076000000,-30337000000,13522000000,784220000000,1116884000000,-532791000000,584093000000,0,11070444000000,-2854783000000,8215661000000,-5370906000000,2844755000000,-573226000000,-573226000000,0,157362000000,2271529000000,2428891000000,0,VCI,quarterly
VPB,2021,3,11504643000000,-0.10702752722544494,2160820000000,-0.040281339578612435,11504643000000,-4030411000000,7474232000000,1472398000000,-681854000000,790544000000,-9619000000,-11009000000,727317000000,1825218000000,-666550000000,1158668000000,2476000000,10132609000000,-2455568000000,7677041000000,-4978670000000,2698371000000,-537551000000,-537551000000,0,0,2160820000000,2160820000000,0,VCI,quarterly
VPB,2021,2,13486135000000,0.0469123188270228,4016363000000,0.36100747469813477,13486135000000,-4254299000000,9231836000000,1716381000000,-631456000000,1084925000000,7087000000,56343000000,1390387000000,1208092000000,-931724000000,276368000000,0,12046946000000,-2816551000000,9230395000000,-4199237000000,5031158000000,-1014795000000,-1014795000000,0,0,4016363000000,4016363000000,1636,VCI,quarterly
VPB,2021,1,13338246000000,0.006822458837323423,3201810000000,0.38367196126239844,13338246000000,-4218355000000,9119891000000,1629959000000,-642473000000,987486000000,-43525000000,-49977000000,248942000000,1318510000000,-529851000000,788659000000,0,11051476000000,-2592035000000,8459441000000,-4453265000000,4006176000000,-804366000000,-804366000000,0,0,3201810000000,3201810000000,1304,VCI,quarterly
VPB,2020,4,13348549000000,0.008426146323656729,2897229000000,0.15231144074874836,13348549000000,-4608551000000,8739998000000,1719173000000,-686132000000,1033041000000,-87266000000,-3919000000,298983000000,1204317000000,-480127000000,724190000000,2477000000,10707504000000,-2767411000000,7940093000000,-4318155000000,3621938000000,-724709000000,-724709000000,0,0,2897229000000,2897229000000,0,VCI,quarterly
VPB,2020,3,12883536000000,-0.006598447141176666,2251514000000,-0.013619544712569253,12883536000000,-4999691000000,7883845000000,1605722000000,-665201000000,940521000000,-126783000000,-4644000000,255196000000,899436000000,-378581000000,520855000000,2536000000,9471526000000,-2786691000000,6684835000000,-3872191000000,2812644000000,-561130000000,-561130000000,0,0,2251514000000,2251514000000,0,VCI,quarterly
VPB,2020,2,12881819000000,0.06342307340190619,2951022000001,0.44003712545211265,12881819000000,-5181017000000,7700802000000,1402594000000,-715180000000,687414000000,-92620000000,16699000000,95862000000,743621000000,-203307000000,540314000000,0,8948471000000,-2555273000000,6393198000000,-2719716999999,3673481000001,-722459000000,-722459000000,0,0,2951022000001,2951022000001,1211,VCI,quarterly
VPB,2020,1,13247863000000,0.16444225249830732,2313994999999,0.6274147539454695,13247863000000,-5226685000000,8021178000000,1439264000000,-744113000000,695151000000,-538000000,218330000000,520690000000,594577000000,-143775000000,450802000000,0,9905613000000,-3282646000000,6622967000000,-3711575000001,2911391999999,-597397000000,-597397000000,0,0,2313994999999,2313994999999,949,VCI,quarterly
VPB,2019,4,13237012000000,0.24881760090629526,2514276000000,0.023968578937315486,13237012000000,-5172944000000,8064068000000,1719121000000,-691550000000,1027571000000,-99483000000,83178000000,327077000000,848680000000,-229096000000,619584000000,0,10021995000000,-3192210000000,6829785000000,-3694933000000,3134852000000,-620576000000,-620576000000,0,0,2514276000000,2514276000000,0,VCI,quarterly
VPB,2019,3,12969112000000,0.30280064057578693,2282602000000,0.6314181732935378,12969112000000,-4992144000000,7976968000000,1459510000000,-750986000000,708524000000,-81416000000,145458000000,200255000000,636584000000,-87715000000,548869000000,2635000000,9501293000000,-3122221000000,6379072000000,-3522665000000,2856407000000,-573805000000,-573805000000,0,0,2282602000000,2282602000000,0,VCI,quarterly
VPB,2019,2,12113541000000,0.2118936350463226,2049268000000,0.45163033815234244,12113541000000,-4447685000000,7665856000000,1356598000000,-867869000000,488729000000,1382000000,53684000000,106769000000,806643000000,-253640000000,553003000000,0,8869423000000,-3043733000000,5825690000000,-3265617000000,2560073000000,-510805000000,-510846000000,41000000,0,2049268000000,2049268000000,1413,VCI,quarterly
VPB,2019,1,11377003000000,0.1692422465395495,1421884000000,-0.3194421842423175,11377003000000,-4591551000000,6785452000000,1130352000000,-385442000000,744910000000,-37362000000,2526000000,169058000000,390313000000,-92103000000,298210000000,0,7962794000000,-2975846000000,4986948000000,-3204410000000,1782538000000,-360654000000,-360613000000,-41000000,0,1421884000000,1421884000000,0,VCI,quarterly
VPB,2018,4,10599636000000,0.15617581064069502,2455423000000,0.26724053397632347,10599636000000,-4086985000000,6512651000000,1144191000000,-535732000000,608459000000,-355000000000,-16077000000,-16976000000,2430819000000,-190410000000,2240409000000,0,8973466000000,-2841032000000,6132434000000,-3058897000000,3073537000000,-618114000000,-618114000000,0,0,2455423000000,2455423000000,0,VCI,quarterly
VPB,2018,3,9954794000000,0.12399140713087099,1399152000000,-0.26148272247329435,9954794000000,-3952380000000,6002414000000,977208000000,-577406000000,399802000000,217852000000,41825000000,73715000000,1070836000000,-204911000000,865925000000,0,7601533000000,-3104244000000,4497289000000,-2747838000000,1749451000000,-350299000000,-350299000000,0,0,1399152000000,1399152000000,0,VCI,quarterly
VPB,2018,2,9995548000000,0.23055857894834683,1411701000000,0.3207427664194583,9995548000000,-3835954000000,6159594000000,827762000000,-538004000000,289758000000,52908000000,-112460000000,15697000000,608676000000,-164424000000,444252000000,845000000,6850594000000,-2299870000000,4550724000000,-2794179000000,1756545000000,-344844000000,-344844000000,0,0,1411701000000,1411701000000,0,VCI,quarterly
VPB,2018,1,9730236000000,0.2187972303786547,2089292000000,0.3590597063566353,9730236000000,-3703320000000,6026916000000,869636000000,-555159000000,314477000000,-19510000000,29891000000,177621000000,1253543000000,-122868000000,1130675000000,0,7660070000000,-2388778000000,5271292000000,-2652317000000,2618975000000,-529683000000,-529683000000,0,0,2089292000000,2089292000000,0,VCI,quarterly
VPB,2017,4,9167841000000,0.23828832844384654,1937614000000,0.3413400565994894,9167841000000,-3487306000000,5680535000000,951224000000,-538276000000,412948000000,-115916000000,58201000000,10771000000,1421284000000,-72028000000,1349256000000,53000000000,7448795000000,-2576067000000,4872728000000,-2382175000000,2490553000000,-552939000000,-552939000000,0,0,1937614000000,1937614000000,0,VCI,quarterly
VPB,2017,3,8856646000000,0.38179012706830207,1894542000000,0.385730763857549,8856646000000,-3494127000000,5362519000000,878336000000,-475447000000,402889000000,-66000000,84818000000,-16318000000,472509000000,-29467000000,443042000000,568000000,6277452000000,-2280882000000,3996570000000,-1625018000000,2371552000000,-477010000000,-477010000000,0,0,1894542000000,1894542000000,0,VCI,quarterly
VPB,2017,2,8122773000000,0.35735425663518805,1068869000000,1.7729771519149897,8122773000000,-3370228000000,4752545000000,732403000000,-404555000000,327848000000,-28365000000,32118000000,269536000000,593387000000,-108270000000,485117000000,0,5838799000000,-2188731000000,3650068000000,-2310336000000,1339732000000,-270863000000,-270863000000,0,0,1068869000000,1068869000000,0,VCI,quarterly
VPB,2017,1,7983474000000,0.38217178701794796,1537307000000,0.7692280248678235,7983474000000,-3154396000000,4829078000000,648109000000,-343138000000,304971000000,-14494000000,4501000000,75488000000,721602000000,-515127000000,206475000000,0,5406019000000,-1797024000000,3608995000000,-1684885000000,1924110000000,-386803000000,-386803000000,0,0,1537307000000,1537307000000,0,VCI,quarterly
VPB,2016,4,7403640000000,0.38403411723997016,1444536000000,1.9085066413776857,7403640000000,-2883980000000,4519660000000,691082000000,-400969000000,290113000000,-120252000000,-68583000000,-38044000000,636430000000,-188252000000,448178000000,410000000,5031482000000,-1883345000000,3148137000000,-1338410000000,1809727000000,-365191000000,-365191000000,0,0,1444536000000,1444536000000,0,VCI,quarterly
VPB,2016,3,6409545000000,0.25635597580804026,1367179000000,0.3219459745875382,6409545000000,-2627247000000,3782298000000,534264000000,-321256000000,213008000000,-106044000000,3401000000,28601000000,292244000000,-37425000000,254819000000,0,4176083000000,-1942787000000,2233296000000,-663485000000,1569811000000,-202632000000,-202632000000,0,0,1367179000000,1367179000000,0,VCI,quarterly
VPB,2016,2,5984269000000,0.38658075380817575,385459000000,-0.3009157074016508,5984269000000,-2494729000000,3489540000000,456576000000,-281609000000,174967000000,-95710000000,-55779000000,79954000000,446555000000,-3963000000,442592000000,0,4035564000000,-1519560000000,2516004000000,-1979108000000,536896000000,-151437000000,-151437000000,0,0,385459000000,385459000000,0,VCI,quarterly
VPB,2016,1,5776036000000,0.4469241905128357,868914000000,1.770639159478979,5776036000000,-2457301000000,3318735000000,432912000000,-258901000000,174011000000,3046000000,-28423000000,37845000000,136458000000,-2675000000,133783000000,0,3638997000000,-1282812000000,2356185000000,-1317198000000,1038987000000,-170073000000,-170073000000,0,0,868914000000,868914000000,0,VCI,quarterly
VPB,2015,4,5349319000000,0.42744849924042067,496659000000,1.710251457010019,5349319000000,-2293095000000,3056224000000,513344000000,-219582000000,293762000000,-198442000000,33357000000,-71163000000,348896000000,-10753000000,338143000000,166273000000,3618154000000,-2026242000000,1591912000000,-824236000000,767676000000,-271017000000,-271017000000,0,0,496659000000,496659000000,0,VCI,quarterly
VPB,2015,3,5101695000000,0.8126779209593911,1034217000000,1.1684698511743763,5101695000000,-2212296000000,2889399000000,444460000000,-181933000000,262527000000,77868000000,-930000000,21857000000,303594000000,-49322000000,254272000000,347000000,3505340000000,-1529751000000,1975589000000,-758682000000,1216907000000,-182690000000,-182615000000,-75000000,0,1034217000000,1034217000000,0,VCI,quarterly
VPB,2015,2,4315846000000,0.47004689603304795,551377000000,0.32419359874347664,4315846000000,-1977085000000,2338761000000,367596000000,-188755000000,178841000000,-32111000000,-4658000000,-50685000000,283044000000,-23140000000,259904000000,300000000,2690352000000,-1092781000000,1597571000000,-889314000000,708257000000,-156880000000,-157054000000,174000000,0,551377000000,551377000000,1181,VCI,quarterly
VPB,2015,1,3991941000000,0.374304058938961,313615000000,0.995641107222399,3991941000000,-1922888000000,2069053000000,271913000000,-122376000000,149537000000,-137787000000,16818000000,127957000000,37584000000,-14831000000,22753000000,4134000000,2252465000000,-1043695000000,1208770000000,-805408000000,403362000000,-89747000000,-89912000000,165000000,0,313615000000,313615000000,0,VCI,quarterly
VPB,2014,4,3747469000000,0.034084650221250415,183252000000,-0.6915650483475978,3747469000000,-1980875000000,1766594000000,362150000000,-146592000000,215558000000,-33177000000,-14243000000,31986000000,167006000000,-218061000000,-51055000000,1814000000,1917477000000,-1227690000000,689787000000,-427534000000,262253000000,-79001000000,-79093000000,92000000,0,183252000000,183252000000,0,VCI,quarterly
VPB,2014,3,2814452000000,0.07582343274756115,476934000000,1.593272869633303,2814452000000,-1715780000000,1098672000000,253388000000,-76278000000,177110000000,738000000,-1985000000,252123000000,12844000000,-25006000000,-12162000000,3357000000,1517853000000,-959227000000,558626000000,53416000000,612042000000,-135108000000,-135108000000,0,0,476934000000,476934000000,0,VCI,quarterly
VPB,2014,2,2935856000000,0.14474328545027115,416387000000,4.893636505012832,2935856000000,-1679223000000,1256633000000,180631000000,-69638000000,110993000000,-32811000000,2706000000,77499000000,26279000000,-8464000000,17815000000,3542000000,1436377000000,-774508000000,661869000000,-128741000000,533128000000,-116741000000,-116741000000,0,0,416387000000,416387000000,0,VCI,quarterly
VPB,2014,1,2904700000000,0.18191265387515124,157150000000,0.20289891282357397,2904700000000,-1737253000000,1167447000000,163683000000,-60911000000,102772000000,-24655000000,10655000000,103966000000,6251000000,-1833000000,4418000000,2000000,1364605000000,-720838000000,643767000000,-442587000000,201180000000,-44030000000,-44030000000,0,0,157150000000,157150000000,0,VCI,quarterly
VPB,2013,4,3623948000000,0.0,594135000000,0.0,3623948000000,-1855621000000,1768327000000,214162000000,16918000000,231080000000,-10622000000,31595000000,-20859000000,79963000000,-7630000000,72333000000,-31982000000,2039872000000,-891890000000,1147982000000,-353443000000,794539000000,-200404000000,-194770000000,-5634000000,0,594135000000,594135000000,0,VCI,quarterly
VPB,2013,3,2616091000000,0.0,183912000000,0.0,2616091000000,-1666356000000,949735000000,225098000000,-74791000000,150307000000,7473000000,36322000000,-12747000000,38360000000,-10943000000,27417000000,3000000,1158510000000,-665373000000,493137000000,-212649000000,280488000000,-96576000000,-96576000000,0,0,183912000000,183912000000,0,VCI,quarterly
VPB,2013,2,2564641380574,0.0,70650268242,0.0,2564641380574,-1738910968249,825730412325,185662332291,-126926454961,58735877330,-14376561075,20318771753,190318413764,-87856687749,-3106602147,-90963289896,10506562155,1000270186356,-617098376562,383171809794,-246466709856,136705099938,-66054831696,-66054831696,0,0,70650268242,70650268242,317,VCI,quarterly
VPB,2013,1,2457626619426,0.0,130642731758,0.0,2457626619426,-1752535031751,705091587675,148833667709,-69523545039,79310122670,-3287438925,12037228247,29189586236,94304687749,-141397853,94163289896,260437845,916764813644,-561248623438,355516190206,-212404290144,143111900062,-12469168304,-12469168304,0,0,130642731758,130642731758,0,VCI,quarterly
