ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
VRE,2025,2,14764329000000,5235253000000,127528000000,2069206000000,299001000000,7033341000000,43477387000000,0,245029000000,26511710000000,0,15654389000000,58241716000000,13782973000000,11707371000000,2075602000000,44458743000000,44458743000000,0,23005165000000,125806000000,58241716000000,138775000000,0,299001000000,6853998000000,23288184000000,23288184000000,171637000000,174456000000,4445140000000,16846000000,442206000000,0,19860000000,19860000000,VCI,quarterly
VRE,2025,1,12922667000000,2916158000000,126098000000,2586953000000,273913000000,7019545000000,43024139000000,0,211756000000,26809898000000,0,15158411000000,55946806000000,12846767000000,8587849000000,4258918000000,43100039000000,43100039000000,0,21771905000000,362000000,55946806000000,126236000000,0,273913000000,6853998000000,23288184000000,23288184000000,2549207000000,156067000000,2014332000000,32008000000,437469000000,0,18479000000,18479000000,VCI,quarterly
VRE,2024,4,12312424000000,2884680000000,125918000000,2016405000000,295010000000,6990411000000,42913731000000,0,221394000000,27084397000000,0,14787058000000,55226155000000,13303514000000,5920740000000,7382774000000,41922641000000,41922641000000,0,20594507000000,362000000,55226155000000,94909000000,0,295010000000,6853998000000,23288184000000,23288184000000,2523103000000,184770000000,2009752000000,49329000000,433005000000,0,19258000000,19258000000,VCI,quarterly
VRE,2024,3,12589361000000,3426879000000,1458104000000,1941936000000,251211000000,5511231000000,40585533000000,0,225978000000,27034233000000,0,11814020000000,53174894000000,12337584000000,6021933000000,6315651000000,40837310000000,40837310000000,0,19509174000000,364000000,53174894000000,116238000000,0,251211000000,5414415000000,23288184000000,23288184000000,1532235000000,193571000000,2489930000000,66651000000,453802000000,0,672812000000,672812000000,VCI,quarterly
VRE,2024,2,12383653000000,1003225000000,1449460000000,4184154000000,228594000000,5518220000000,39944787000000,0,235164000000,27123753000000,0,11344899000000,52328440000000,12397892000000,5501841000000,6896051000000,39930548000000,39930548000000,0,18602774000000,2000000,52328440000000,65954000000,2350000000000,228594000000,5414415000000,23288184000000,23288184000000,2152976000000,222701000000,1823792000000,83971000000,457433000000,0,458785000000,458785000000,VCI,quarterly
VRE,2024,1,11393460000000,2921399000000,1017357000000,4321763000000,510806000000,2622135000000,37622735000000,0,403733000000,24864227000000,0,11345509000000,49016195000000,10107118000000,6625267000000,3481851000000,38909077000000,38909077000000,0,17581303000000,2000000,49016195000000,80999000000,2350000000000,510806000000,2515420000000,23288184000000,23288184000000,2148375000000,731638000000,1807989000000,101292000000,454143000000,0,9624000000,9624000000,VCI,quarterly
VRE,2023,4,10036448000000,4101549000000,1070978000000,1612789000000,639957000000,2611175000000,37617283000000,0,413363000000,25179848000000,0,10983584000000,47653731000000,9826878000000,4472951000000,5353927000000,37826853000000,37826853000000,0,16475788000000,23293000000,47653731000000,77967000000,0,639957000000,2515420000000,23288184000000,23288184000000,3915693000000,314342000000,19887000000,118613000000,452965000000,0,12169000000,12169000000,VCI,quarterly
VRE,2023,3,13022665000000,6766117000000,2039803000000,1790289000000,782114000000,1644342000000,31683665000000,0,409031000000,25517457000000,11930000000,4971808000000,44706330000000,7946987000000,4385808000000,3561179000000,36759343000000,36759343000000,0,15408293000000,23278000000,44706330000000,68093000000,0,782114000000,1515420000000,23288184000000,23288184000000,2139190000000,441432000000,19887000000,135934000000,455281000000,0,11615000000,11615000000,VCI,quarterly
VRE,2023,2,12223422000000,7515430000000,99541000000,1462240000000,1451574000000,1694637000000,31970731000000,0,417467000000,25836201000000,0,5002622000000,44194153000000,8751494000000,5253990000000,3497504000000,35442659000000,35442659000000,0,14091623000000,23264000000,44194153000000,54479000000,0,1451574000000,1515420000000,23288184000000,23288184000000,2133632000000,1447231000000,19887000000,153255000000,459342000000,0,9617000000,9617000000,VCI,quarterly
VRE,2023,1,11909878000000,7295225000000,97924000000,1354646000000,1427450000000,1734633000000,32349091000000,0,417028000000,26176341000000,0,5045461000000,44258969000000,9816913000000,6294958000000,3521955000000,34442056000000,34442056000000,0,13091034000000,23250000000,44258969000000,70291000000,0,1427450000000,1515420000000,23288184000000,23288184000000,2127463000000,1421142000000,1068860000000,170881000000,468042000000,0,9668000000,9668000000,VCI,quarterly
