ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Cash and Cash Equivalents at the end of period,data_source,period_type
VRE,2025,2,1545019000000,340735000000,25749000000,56175000000,-676861000000,151143000000,1425160000000,-142878000000,-25088000000,650406000000,2178000000,-124108000000,0,0,-762000000,1784908000000,-254589000000,122000000,3401991000000,-3403000000000,0,0,795547000000,540071000000,0,0,0,0,-5884000000,0,-5884000000,2319095000000,2916158000000,5235253000000,VCI,yearly
VRE,2025,1,1475999000000,346476000000,10874000000,0,-624898000000,148520000000,1373771000000,-17215000000,21097000000,-1692000000,-27775000000,-119196000000,-1076603000000,0,0,152387000000,-169202000000,179000000,-3408879000000,3408879000000,0,0,53463000000,-115560000000,0,0,0,0,-5349000000,0,-5349000000,31478000000,2884680000000,2916158000000,VCI,yearly
VRE,2024,4,1370326000000,353691000000,54515000000,47472000000,-547306000000,147490000000,1426188000000,-270719000000,-43800000000,-24910000000,31465000000,-123506000000,0,0,0,994718000000,-2343371000000,230000000,-2428453000000,6430025000000,0,-3865560000000,165601000000,-2041528000000,0,0,995040000000,-485080000000,-5349000000,0,504611000000,-542199000000,3426879000000,2884680000000,VCI,yearly
VRE,2024,3,1118747000000,352651000000,68090000000,24911000000,-385597000000,139906000000,1318708000000,-176203000000,-22616000000,-109426000000,-22808000000,-112916000000,-1629000000,0,0,873110000000,-989133000000,3098000000,-4984000000,-1515560000000,0,3865560000000,196551000000,1555532000000,362000000,0,0,0,-5350000000,0,-4988000000,2423654000000,1003225000000,3426879000000,VCI,yearly
VRE,2024,2,1276824000000,340927000000,64364000000,-718000000,-420065000000,138247000000,1399579000000,-5951989000000,282212000000,2930062000000,6976000000,-105854000000,-1211688000000,0,0,-2650702000000,-395572000000,27000000,0,903510000000,0,0,230612000000,738577000000,0,0,-700000000,0,-5349000000,0,-6049000000,-1918174000000,2921399000000,1003225000000,VCI,yearly
VRE,2024,1,1367432000000,331835000000,52426000000,0,-439256000000,140458000000,1452895000000,-9096000000,129151000000,154458000000,-15847000000,-109539000000,-61039000000,0,0,1540983000000,-464369000000,7674000000,-2908222000000,612050000000,-352000000,0,37435000000,-2715784000000,0,0,0,0,-5349000000,0,-5349000000,-1180150000000,4101549000000,2921399000000,VCI,yearly
VRE,2023,4,1353140000000,354339000000,58225000000,0,-340972000000,74129000000,1498861000000,-1110118000000,151334000000,-190568000000,40005000000,-65057000000,-64394000000,0,0,260063000000,-6299062000000,810659000000,1967824000000,-2935375000000,1956182000000,-550416000000,348783000000,-4701405000000,0,0,1782123000000,0,-5349000000,0,1776774000000,-2664568000000,6766117000000,4101549000000,VCI,yearly
VRE,2023,3,1655773000000,366316000000,28109000000,0,-301542000000,75889000000,1824545000000,-259160000000,665661000000,-853104000000,30288000000,-57316000000,-299157000000,0,0,1051757000000,-72156000000,5052000000,-1963362000000,11930000000,0,0,222816000000,-1795720000000,0,0,0,0,-5350000000,0,-5350000000,-749313000000,7515430000000,6766117000000,VCI,yearly
VRE,2023,2,1268392000000,362055000000,562000000,0,-278316000000,80000000000,1432693000000,-17347000000,-24124000000,-27546000000,31712000000,-86860000000,-210918000000,0,0,1097610000000,-24810000000,1245000000,0,0,0,-1081000000,202590000000,177944000000,0,0,0,-1050000000000,-5349000000,0,-1055349000000,220205000000,7295225000000,7515430000000,VCI,yearly
VRE,2023,1,1248782000000,371221000000,542000000,0,-223816000000,100408000000,1497137000000,92943000000,-249323000000,262751000000,-35172000000,-83906000000,-1848000000,0,0,1482582000000,-1925740000000,0,0,0,0,544849000000,179235000000,-1201656000000,0,0,0,0,-5349000000,0,-5349000000,275577000000,7019648000000,7295225000000,VCI,yearly
