rsi,rs,id,price,price_change,price_change_ratio,price_change_ratio_1m,event_name,event_code,notify_date,exer_date,reg_final_date,exer_right_date,event_desc
59.3,68.0,2599384,30400,-300,-0.01,0.086,VRE - Audited Financial Statement Quarter 2/2025,KQQY,2025-08-29,2025-08-29,1753-01-01,1753-01-01,VRE - Audited Financial Statement Quarter 2/2025
59.3,68.0,2599397,30400,-300,-0.01,0.086,VRE - Audited Financial Statement Quarter 2/2025 (holding company),KQQY,2025-08-29,2025-08-29,1753-01-01,1753-01-01,VRE - Audited Financial Statement Quarter 2/2025 (holding company)
63.6,67.0,2596080,28000,-1350,-0.046,0.136,VRE - Financial Statement Quarter 2/2025,KQQY,2025-07-29,2025-07-29,1753-01-01,1753-01-01,VRE - Financial Statement Quarter 2/2025
63.6,67.0,2596083,28000,-1350,-0.046,0.136,VRE - Financial Statement Quarter 2/2025 (holding company),KQQY,2025-07-29,2025-07-29,1753-01-01,1753-01-01,VRE - Financial Statement Quarter 2/2025 (holding company)
64.3,63.0,2592960,26950,450,0.017,0.082,VRE - Holds a shareholders circular ballot,BALLOT,2025-06-04,2025-07-13,2025-06-19,2025-06-18,"Vincom Retail Joint Stock Company (VRE) holds a shareholders circular ballot: Ex-date: June 18, 2025 Record date: June 19, 2025 Meeting time: From June 24 to July 13, 2025, tentative Venue: Company office, Symphony office building, Chu Huy Man road, Vinhomes Riversides Eco urban area, Phuc Loi Ward, Long Bien District, Ha Noi City, Vietnam; "
77.2,84.0,2590447,23100,300,0.013,0.185,VRE - Financial Statement Quarter 1/2025,KQQY,2025-04-28,2025-04-28,1753-01-01,1753-01-01,VRE - Financial Statement Quarter 1/2025
77.2,84.0,2590453,23100,300,0.013,0.185,VRE - Financial Statement Quarter 1/2025 (holding company),KQQY,2025-04-28,2025-04-28,1753-01-01,1753-01-01,VRE - Financial Statement Quarter 1/2025 (holding company)
70.1,54.0,2586730,19150,-350,-0.018,0.101,VRE - Audited Financial Statement FY 2024,KQCT,2025-03-31,2025-03-31,1753-01-01,1753-01-01,VRE - Audited Financial Statement FY 2024
70.1,54.0,2586731,19150,-350,-0.018,0.101,VRE - Audited Financial Statement Quarter 4/2024,KQQY,2025-03-31,2025-03-31,1753-01-01,1753-01-01,VRE - Audited Financial Statement Quarter 4/2024
70.1,54.0,2586732,19150,-350,-0.018,0.101,VRE - Audited Financial Statement FY 2024 (holding company),KQCT,2025-03-31,2025-03-31,1753-01-01,1753-01-01,VRE - Audited Financial Statement FY 2024 (holding company)
70.1,54.0,2586734,19150,-350,-0.018,0.101,VRE - Audited Financial Statement Quarter 4/2024 (holding company),KQQY,2025-03-31,2025-03-31,1753-01-01,1753-01-01,VRE - Audited Financial Statement Quarter 4/2024 (holding company)
66.8,52.0,2583593,17850,100,0.006,0.069,VRE - Holds 2025 AGM,AGME,2025-03-06,2025-04-22,2025-03-21,2025-03-20,"Vincom Retail Joint Stock Company (VRE) holds 2025 AGM Ex-date: March 20, 2025 Record date: March 21, 2025 Meeting time: April 22, 2025 9:00 AM Venue: Almaz Convention Center, Hoa Lan Street, Vinhomes Riverside Ecological Urban Area, Phuc Loi Ward, Long Bien District, Hanoi, Vietnam ;. "
32.2,20.0,2580369,16450,150,0.009,-0.035,VRE - Financial Statement Quarter 4/2024,KQQY,2025-01-23,2025-01-23,1753-01-01,1753-01-01,VRE - Financial Statement Quarter 4/2024
32.2,20.0,2580385,16450,150,0.009,-0.035,VRE - Financial Statement Quarter 4/2024 (holding company),KQQY,2025-01-23,2025-01-23,1753-01-01,1753-01-01,VRE - Financial Statement Quarter 4/2024 (holding company)
57.1,50.0,2574141,19700,0,0.0,0.173,VRE - Audited Financial Statement Quarter 2/2024,KQQY,2024-09-05,2024-09-05,1753-01-01,1753-01-01,VRE - Audited Financial Statement Quarter 2/2024
