rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
52.3,71.0,32100.0,2100.0,0.07,0.065,11724924,Vincom Retail chuẩn bị nhận khoản cổ tức khổng lồ gần 4.500 tỷ đồng,TCBS,2025-09-30 00:02:00
46.0,66.0,30000.0,600.0,0.02,-0.013,11724637,VRE: Nghị quyết HĐQT về việc thực hiện chi trả lợi nhuận trong công ty của VRE,TCBS,2025-09-29 14:47:25
56.7,72.0,31300.0,1300.0,0.043,0.066,11685605,VRE: CBTT sáp nhập công ty con,TCBS,2025-08-26 17:38:42
55.0,48.0,29450.0,100.0,0.003,0.028,11669337,"Vincom Retail (VRE) đặt cọc 1.800 tỷ đồng cho các thương vụ tại siêu dự án Cần Giờ của Vingroup, 20.000 tỷ đặt cọc các dự án chờ triển khai",TCBS,2025-08-12 00:03:00
52.7,58.0,28100.0,0.0,0.0,0.14,11657857,VRE: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,TCBS,2025-07-31 15:39:52
63.6,67.0,28000.0,-1350.0,-0.046,0.136,11653357,"Vincom Retail báo lãi sau thuế quý 2/2025 đạt 1.200 tỷ đồng, tăng hơn 20% so với cùng kỳ",TCBS,2025-07-29 12:01:00
68.1,82.0,29500.0,-300.0,-0.01,0.197,11647529,Vincom Retail thanh toán gần 93 tỷ đồng lãi trái phiếu trong nửa đầu năm 2025,TCBS,2025-07-25 07:23:00
70.5,73.0,28800.0,650.0,0.023,0.176,11635115,"VRE: Nghị quyết ĐHĐCĐ, biên bản kiểm phiếu và thay đổi nhân sự",TCBS,2025-07-16 11:15:29
76.6,90.0,28600.0,150.0,0.005,0.096,11630836,VRE: HĐQT thông qua sử dụng tài sản của công ty con đảm bảo khoản vay của VRE,TCBS,2025-07-11 17:05:46
52.3,61.0,,,,,11622535,Vincom Retail (VRE) sở hữu hệ thống điện mặt trời tương đương công suất một nhà máy điện quy mô nhỏ,TCBS,2025-07-06 16:21:00
52.9,59.0,25050.0,-150.0,-0.006,-0.055,11619844,VRE: Thông báo ký kết hợp đồng kiểm toán BCTC 2025,TCBS,2025-07-03 11:10:01
44.3,49.0,24800.0,300.0,0.012,-0.02,11613192,VRE: Tài liệu lấy ý kiến cổ đông bằng văn bản năm 2025,TCBS,2025-06-27 14:23:13
46.7,65.0,24900.0,150.0,0.006,-0.024,11608774,Vincom Retail sẽ nhận chuyển nhượng một phần siêu dự án Cần Giờ của Vingroup,TCBS,2025-06-24 15:47:00
46.7,65.0,24900.0,150.0,0.006,-0.024,11607819,Vincom Retail (VRE) đặt cọc nhận chuyển nhượng một phần siêu dự án lấn biển 9 tỷ USD của Vingroup,TCBS,2025-06-24 09:05:00
45.1,66.0,24750.0,150.0,0.006,-0.035,11607511,VRE: CBTT ký kết thỏa thuận đặt cọc,TCBS,2025-06-23 17:42:39
