officer_name,officer_position,officer_own_percent
Tran Mai Hoa,Vice Chairman of Management Board,0.0
Tran Mai Hoa,Spokesman,0.0
Nguyen Thi Diu,Member of Management Board,0.0
Nguyen Anh Dung,Deputy General Director,0.0
Tran Mai Hoa,Chairman of Management Board,0.0
Nguyen Truong Thinh,,0.0
Nguyen Thu Phuong,,0.0
Tran Thu Hien,,0.0
Thai Thi Thanh Hai,,0.0
Nguyen Thi Xuan Nghia,,0.0
Tran Thanh Tam,,0.0
Bui Tien Luc,,0.0
Jeffrey David Perlman,,0.0
Phan Thanh Son,,0.0
Nguyen The Anh,,0.0
Mai Thu Thuy,,0.0
Duong Thi Mai Hoa,,0.0
Tran Cao Chau,,0.0
Le Mai Lan,,0.0
Timothy Joseph Daly,,0.0
