ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
VRE,2025,2,-0.13554759585862652,2142630000000,1233260000000,0.20733844361557363,676725000000,-122851000000,2142630000000,2142630000000,-960319000000,1182311000000,-268677000000,0,-41315000000,-120715000000,1428329000000,120572000000,-3882000000,116690000000,1545019000000,-327053000000,15294000000,1233260000000,0,1233260000000,VCI,yearly
VRE,2025,1,-0.054651224162761025,2131424000000,1177398000000,0.08758822698062124,625043000000,-148520000000,2131424000000,2131424000000,-929204000000,1202220000000,-242622000000,0,-67388000000,-105291000000,1411962000000,92924000000,-28887000000,64037000000,1475999000000,-683247000000,384646000000,1177398000000,0,1177398000000,VCI,yearly
VRE,2024,4,-0.09156805068398363,2128159000000,1085332000000,0.016709211752748258,547263000000,-147490000000,2128159000000,2128159000000,-926701000000,1201458000000,-275020000000,0,-143861000000,-168549000000,1161291000000,202958000000,6077000000,209035000000,1370326000000,-278856000000,-6138000000,1085332000000,0,1085332000000,VCI,yearly
VRE,2024,3,-0.3765402573397028,2077717000000,906400000000,-0.31159720233832144,383179000000,-139906000000,2077717000000,2077717000000,-988433000000,1089284000000,-243840000000,0,-77171000000,-170379000000,981073000000,139796000000,-2123000000,137673000000,1118746000000,-239107000000,26761000000,906400000000,0,906400000000,VCI,yearly
VRE,2024,2,0.14072496337720397,2478598000000,1021470000000,0.020868708330793163,420173000000,-138247000000,2478598000000,2478598000000,-1269172000000,1209426000000,-178771000000,0,-55957000000,-159606000000,1235265000000,63901000000,-22342000000,41559000000,1276824000000,-262684000000,7330000000,1021470000000,0,1021470000000,VCI,yearly
VRE,2024,1,0.16022788322399906,2254643000000,1082577000000,0.05736311906282781,435156000000,-140458000000,2254643000000,2254643000000,-999419000000,1255224000000,-140458000000,0,-64030000000,-143241000000,1342651000000,58094000000,-33313000000,24781000000,1367432000000,-299915000000,15060000000,1082577000000,0,1082577000000,VCI,yearly
VRE,2023,4,0.12390436412100138,2342673000000,1067495000000,0.3495784996915235,342962000000,-74129000000,2342673000000,2342673000000,-1074591000000,1268082000000,-74129000000,0,-83782000000,-179163000000,1273970000000,92766000000,-13596000000,79170000000,1353140000000,-270368000000,-15263000000,1067509000000,14000000,1067495000000,VCI,yearly
VRE,2023,3,0.6619622221468624,3332560000000,1316671000000,0.6595277797734059,301408000000,-75889000000,3332560000000,3332560000000,-1632491000000,1700069000000,-75889000000,0,-184769000000,-106645000000,1634174000000,34740000000,-13142000000,21598000000,1655772000000,-330143000000,-8944000000,1316685000000,14000000,1316671000000,VCI,yearly
VRE,2023,2,0.1747989084800417,2172827000000,1000589000000,0.2944682414521594,278153000000,-80000000000,2172827000000,2172827000000,-983445000000,1189382000000,-80000000000,0,-44039000000,-73795000000,1269701000000,24237000000,-25546000000,-1309000000,1268392000000,-251763000000,-16026000000,1000603000000,14000000,1000589000000,VCI,yearly
VRE,2023,1,0.41900895243380604,1943276000000,1023846000000,1.712641911852372,223816000000,-100408000000,1943276000000,1943276000000,-754924000000,1188352000000,-100408000000,0,-28678000000,-79047000000,1204035000000,60690000000,-15943000000,44747000000,1248782000000,-258877000000,34106000000,1024011000000,165000000,1023846000000,VCI,yearly
VRE,2022,4,0.5247920644325937,2084406000000,790984000000,5.4934284518072785,200940000000,-92124000000,2084406000000,2084406000000,-1032199000000,1052207000000,-92124000000,0,-56855000000,-110128000000,994040000000,31436000000,-2989000000,28447000000,1022487000000,-266614000000,35598000000,791471000000,487000000,790984000000,VCI,yearly
VRE,2022,3,1.546749560236488,2005196000000,793401000000,31.713519976910074,130391000000,-89433000000,2005196000000,2005196000000,-966218000000,1038978000000,-89433000000,0,-26930000000,-68644000000,984362000000,18167000000,-12539000000,5628000000,989990000000,-230615000000,34250000000,793625000000,224000000,793401000000,VCI,yearly
VRE,2022,2,0.22453869530386192,1849531000000,772973000000,0.9947021132194275,104388000000,-88086000000,1849531000000,1849531000000,-788394000000,1061137000000,-88086000000,0,-33602000000,-104695000000,939142000000,21266000000,-943000000,20323000000,959465000000,-186867000000,538000000,773136000000,163000000,772973000000,VCI,yearly
VRE,2022,1,-0.38489552126181176,1369460000000,377435000000,-0.5166883287341456,102854000000,-89512000000,1369460000000,1369460000000,-758105000000,611355000000,-89512000000,0,-54586000000,-87799000000,482312000000,18425000000,-57000000,18368000000,500680000000,-123519000000,436000000,377597000000,162000000,377435000000,VCI,yearly
VRE,2021,4,-0.5797339154093876,1367010000000,121813000000,-0.8749865301585901,87389000000,-90874000000,1367010000000,1367010000000,-903051000000,463959000000,-90968000000,0,-80311000000,-182380000000,197689000000,25886000000,-42860000000,-16974000000,180715000000,-59327000000,487000000,121875000000,62000000,121813000000,VCI,yearly
VRE,2021,3,-0.5527284047329197,787355000000,24253000000,-0.9576192107139362,78360000000,-88352000000,787355000000,787355000000,-657006000000,130349000000,-89236000000,0,22077000000,-106050000000,35500000000,16980000000,-4125000000,12855000000,48355000000,-24466000000,487000000,24376000000,123000000,24253000000,VCI,yearly
VRE,2021,2,-0.0734804094772589,1510390000000,387513000000,0.12942318285549406,119680000000,-151082000000,1510390000000,1510390000000,-880963000000,629427000000,-151938000000,0,-51914000000,-80259000000,464996000000,20097000000,-1694000000,18403000000,483399000000,-96264000000,493000000,387628000000,115000000,387513000000,VCI,yearly
VRE,2021,1,0.3207752900040696,2226386000000,780935000000,0.5869920847008139,101589000000,-153298000000,2226386000000,2226386000000,-1058016000000,1168370000000,-154138000000,0,-91615000000,-64478000000,959728000000,21131000000,-1048000000,20083000000,979811000000,-199180000000,506000000,781137000000,202000000,780935000000,VCI,yearly
VRE,2020,4,0.16819476203696088,3252725000000,974399000000,0.10726529962897938,94442000000,-161340000000,3252725000000,3252725000000,-1680924000000,1571801000000,-162420000000,0,-184772000000,-133144000000,1185907000000,48767000000,-23622000000,25145000000,1211052000000,-243802000000,7301000000,974551000000,152000000,974399000000,VCI,yearly
VRE,2020,3,-0.20276438496502888,1760351000000,572264000000,-0.20138790833369127,76850000000,-124676000000,1760351000000,1760351000000,-915567000000,844784000000,-125539000000,0,-39904000000,-83514000000,672677000000,47314000000,-3566000000,43748000000,716425000000,-144546000000,512000000,572391000000,127000000,572264000000,VCI,yearly
VRE,2020,2,-0.1778057810768079,1630176000000,343107000000,-0.4633721872928387,57553000000,-98889000000,1630176000000,1630176000000,-984383000000,645793000000,-99664000000,0,-44580000000,-91634000000,467468000000,-18047000000,-3654000000,-21701000000,445767000000,-102650000000,52000000,343169000000,62000000,343107000000,VCI,yearly
VRE,2020,1,-0.26199071739598095,1685666000000,492085000000,-0.19607591686404288,47014000000,-78682000000,1685666000000,1685666000000,-926756000000,758910000000,-79470000000,0,-60784000000,-90276000000,575394000000,45492000000,-1410000000,44082000000,619476000000,-128243000000,965000000,492198000000,113000000,492085000000,VCI,yearly
VRE,2019,4,-0.062105196402090154,2784403000000,880005000000,0.275197611433884,47314000000,-79192000000,2784403000000,2784403000000,-1388356000000,1396047000000,-80077000000,0,-162431000000,-102731000000,1098122000000,32734000000,-19664000000,13070000000,1111192000000,-231602000000,641000000,880231000000,226000000,880005000000,VCI,yearly
VRE,2019,3,-0.2512849990668012,2208068689860,716573172347,0.2923017480104651,60443203423,-74460048430,2208068689860,2208068689860,-1130138546834,1077930143026,-76415668219,0,-68464368691,-103387973161,890105336378,16400746130,-5381178756,11019567374,901124903752,-183733279681,-589422120,716802201951,229029604,716573172347,VCI,yearly
VRE,2019,2,0.3079346172491602,1982714013892,639376103652,0.031220650905509614,77757975613,-72880845064,1982714013892,1982714013892,-1023636079451,959077934441,-73292968201,0,-48279810957,-126848544963,788414585933,12295501418,-12912577094,-617075676,787797510257,-147664510903,164032989,640297032343,920928691,639376103652,VCI,yearly
VRE,2019,1,0.4117572771350893,2284071541827,612103817167,0.13066479855292631,79567782207,-72474264224,2284071541827,2284071541827,-1312024783307,972046758520,-72714600022,0,-92256790463,-115690293164,770952857078,9298331867,-2412401244,6885930623,777838787701,-167035433116,378236735,611181591320,-922225847,612103817167,VCI,yearly
VRE,2018,4,0.9495361711370622,2968779642790,690093042921,0.30663808405212684,90124816165,-71759481179,2968779642790,2968779642790,-1835558173275,1133221469515,-73881279236,0,-123963168089,-132972351853,892529486502,15810699931,-5113274753,10697425178,903226911680,-193134914538,-12626765063,697465232079,7372189158,690093042921,VCI,yearly
VRE,2018,3,1.3884917061168518,2949144450302,554493695803,0.48386488930153143,95642533439,-71763802795,2949144450302,2949144450302,-1995018649457,954125800845,-111511926015,0,-190746027091,-78912245702,668598135476,11525664413,-4641534783,6884129630,675482265106,-111382980296,-8378889548,555720395262,1226699459,554493695803,VCI,yearly
VRE,2018,2,0.13101162531131322,1515912177676,620018715772,0.5451954881243699,146649921784,-100426744267,1515912177676,1515912177676,-762869394151,753042783525,-100486576285,0,-33564616686,-34718933068,730922579270,42525039274,-1423323928,41101715346,772024294616,-152332275565,448435426,620140454477,121738705,620018715772,VCI,yearly
VRE,2018,1,0.0,1617892522192,541366298792,0.0,186806258320,-131320985678,1617892522192,1617892522192,-816985834237,800906687955,-131520227820,0,-60401057823,-95511209024,700280451608,8190095196,-6418676580,1771418616,702051870224,-158237611220,-2314937638,541499321366,133022574,541366298792,VCI,yearly
