,short_name,name,fund_type,fund_owner_name,management_fee,inception_date,nav,nav_change_previous,nav_change_last_year,nav_change_inception,nav_change_1m,nav_change_3m,nav_change_6m,nav_change_12m,nav_change_24m,nav_change_36m,nav_change_36m_annualized,nav_update_at,fund_id_fmarket,fund_code,vsd_fee_id
0,DCDS,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.95,2004-05-19,107819.3,0.28,32.1,283.06,-0.13,22.25,34.31,32.71,69.49,86.38,23.07,2025-09-29,28,VFMVF1,VFMVF1N001
1,SSISCA,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.75,2014-09-25,46837.82,-0.15,14.84,224.98,1.22,15.33,14.34,16.34,53.04,66.56,18.54,2025-09-29,11,SSISCA,SSISCAN001
2,BVFED,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ BẢO VIỆT,1.0,2014-01-07,31313.0,-0.3,36.91,178.21,-1.22,26.74,32.1,36.33,51.44,66.16,18.44,2025-09-29,12,BVFED,BVFEDN001
3,MBVF,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.5,2014-04-24,27719.0,-0.12,24.66,94.02,-0.49,13.77,19.73,25.5,53.38,63.74,17.86,2025-09-29,47,MBVF,MBVFN001
4,DCDE,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.93,2008-02-27,33324.26,-0.02,21.77,187.63,-1.17,18.7,23.95,21.73,48.43,60.08,16.98,2025-09-29,25,VFMVF4,VFMVF4N001
5,VCBF-BCF,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,2014-08-21,43290.75,1.62,20.79,121.48,3.9,17.38,21.62,25.15,51.32,58.64,16.63,2025-09-29,32,VCBFBCF,VCBFBCFN001
6,VEOF,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2014-06-30,36966.69,-0.26,18.55,206.93,-0.08,21.17,19.62,20.74,50.8,56.39,16.07,2025-09-29,20,VEOF,VEOFN003
7,VCAMBF,QUỸ ĐẦU TƯ CÂN BẰNG BẢN VIỆT,Quỹ cân bằng,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN BẢN VIỆT,1.2,2014-04-10,22151.01,-0.58,17.51,85.86,-0.78,13.86,18.45,17.73,34.24,55.3,15.8,2025-09-29,70,VCAMBF,VCAMBFN001
8,VCBF-MGF,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,2021-10-28,14937.13,1.56,11.19,49.37,3.78,11.6,11.86,18.88,44.43,54.78,15.67,2025-09-29,46,VCBFMGF,VCBFMGFN001
9,VESAF,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2017-04-17,35901.17,-0.39,13.92,259.01,-1.5,16.67,17.11,14.77,38.75,54.57,15.62,2025-09-29,23,VESAF,VESAFN002
