,time,open,high,low,close,volume
0,2024-09-27,61.87,62.61,61.87,61.87,1073168
1,2024-09-30,61.87,61.87,61.54,61.54,1278350
2,2024-10-01,61.74,62.48,61.54,61.54,1725848
3,2024-10-02,61.74,62.01,61.4,62.01,1380621
4,2024-10-03,61.94,62.81,61.81,61.94,1700784
5,2024-10-04,61.87,62.07,61.74,61.74,860495
6,2024-10-07,61.74,61.87,61.4,61.54,611894
7,2024-10-08,61.54,61.54,60.87,61.2,1124515
8,2024-10-09,61.07,61.4,60.8,60.87,2176865
9,2024-10-10,61.74,62.21,61.0,61.47,1326569
10,2024-10-11,61.47,61.47,61.0,61.2,1084336
11,2024-10-14,61.67,61.67,61.07,61.14,931995
12,2024-10-15,61.07,61.61,61.07,61.14,1431969
13,2024-10-16,61.14,61.4,61.07,61.2,1293521
14,2024-10-17,61.54,61.74,61.34,61.67,1286287
15,2024-10-18,62.01,62.28,61.54,61.81,1164056
16,2024-10-21,61.87,62.41,61.54,61.54,1425147
17,2024-10-22,61.54,61.67,61.14,61.14,1260601
18,2024-10-23,61.0,61.4,61.0,61.2,750353
19,2024-10-24,61.67,61.74,61.14,61.34,756579
20,2024-10-25,61.61,61.74,61.34,61.4,997728
21,2024-10-28,61.2,61.74,61.2,61.54,1106555
22,2024-10-29,61.61,61.94,61.54,61.54,1298643
23,2024-10-30,61.54,61.81,61.27,61.34,627682
24,2024-10-31,61.2,63.55,61.2,62.61,2892451
25,2024-11-01,62.88,63.48,62.54,62.54,1732251
26,2024-11-04,62.88,63.75,61.81,61.87,1856395
27,2024-11-05,61.94,62.21,61.54,61.94,1084183
28,2024-11-06,62.07,62.48,62.07,62.14,1417991
29,2024-11-07,62.34,62.81,62.34,62.34,1420301
30,2024-11-08,62.54,62.81,61.67,61.67,1381249
31,2024-11-11,62.07,62.07,61.47,61.54,1874368
32,2024-11-12,61.54,62.34,61.47,61.47,1337197
33,2024-11-13,61.47,62.14,61.47,61.87,1332711
34,2024-11-14,61.54,61.87,61.47,61.54,1720202
35,2024-11-15,61.54,61.87,61.27,61.34,1509691
36,2024-11-18,61.34,61.74,60.8,60.87,1876350
37,2024-11-19,61.2,61.27,60.2,60.2,1577896
38,2024-11-20,60.2,61.0,60.13,60.4,1641687
39,2024-11-21,60.47,61.07,60.34,60.54,1461608
40,2024-11-22,60.87,61.07,60.6,60.6,1730814
41,2024-11-25,60.8,61.67,60.8,61.07,1814963
42,2024-11-26,61.14,62.14,61.14,61.81,1760827
43,2024-11-27,61.74,62.34,61.74,62.01,1048309
44,2024-11-28,62.28,62.54,61.87,61.94,1290948
45,2024-11-29,61.94,62.41,61.87,62.41,1011316
46,2024-12-02,63.48,63.61,62.81,63.01,1575332
47,2024-12-03,63.14,63.14,61.94,62.21,2447450
48,2024-12-04,62.07,62.81,61.87,62.54,1205482
49,2024-12-05,62.21,63.28,62.21,62.88,2334456
50,2024-12-06,62.88,63.75,62.81,63.01,1702183
51,2024-12-09,63.01,63.75,62.81,63.75,1958838
52,2024-12-10,63.75,63.75,63.21,63.21,914482
53,2024-12-11,63.21,63.41,62.34,62.41,1611488
54,2024-12-12,62.54,63.14,62.54,62.54,672349
55,2024-12-13,62.34,62.61,62.14,62.28,1228466
56,2024-12-16,62.21,62.34,62.14,62.28,1122982
57,2024-12-17,62.21,62.28,62.07,62.21,1049241
58,2024-12-18,62.21,62.41,62.21,62.28,531269
59,2024-12-19,62.07,62.07,61.67,61.81,1870599
60,2024-12-20,61.81,62.14,61.74,61.87,1246769
61,2024-12-23,61.94,62.07,61.81,61.81,707967
62,2024-12-24,62.01,62.07,61.54,61.61,1025356
63,2024-12-25,61.67,62.74,61.67,61.81,1829185
64,2024-12-26,61.87,62.07,61.54,61.61,2203884
65,2024-12-27,61.87,62.21,61.67,61.67,1640901
66,2024-12-30,61.67,61.87,61.54,61.54,1707785
67,2024-12-31,61.67,61.81,61.0,61.0,2375289
68,2025-01-02,61.27,61.87,61.2,61.47,1631368
69,2025-01-03,61.47,61.81,61.47,61.54,1403040
70,2025-01-06,61.54,62.48,61.47,62.14,1938268
71,2025-01-07,62.34,62.34,61.74,61.74,1253566
72,2025-01-08,61.74,61.81,61.2,61.81,1054219
73,2025-01-09,61.54,61.67,61.34,61.47,739048
74,2025-01-10,61.47,61.81,61.14,61.14,1113334
75,2025-01-13,61.07,61.47,60.94,61.47,938736
76,2025-01-14,61.47,61.47,61.0,61.34,678628
77,2025-01-15,61.47,61.47,61.14,61.14,446062
78,2025-01-16,61.47,62.34,61.4,62.01,2461599
79,2025-01-17,62.01,62.21,61.67,61.87,1124326
80,2025-01-20,61.74,61.87,61.27,61.34,1763550
81,2025-01-21,61.61,61.61,61.07,61.14,1266355
82,2025-01-22,61.54,61.54,61.0,61.0,979719
83,2025-01-23,61.07,62.14,61.07,61.87,1686458
84,2025-01-24,61.61,62.21,61.61,61.94,945437
85,2025-02-03,61.74,61.81,61.27,61.27,1436966
86,2025-02-04,61.61,61.67,61.34,61.54,855942
87,2025-02-05,61.54,62.07,61.54,61.94,1346904
88,2025-02-06,62.07,62.48,62.01,62.14,1352924
89,2025-02-07,62.14,62.34,61.87,62.21,2262521
90,2025-02-10,62.14,62.14,61.47,61.67,2299299
91,2025-02-11,61.67,61.74,61.34,61.47,1040604
92,2025-02-12,61.47,61.87,61.2,61.2,1057688
93,2025-02-13,61.47,61.47,61.14,61.27,863094
94,2025-02-14,61.67,61.67,61.2,61.27,948437
95,2025-02-17,61.2,61.54,61.2,61.27,788528
96,2025-02-18,61.27,61.54,61.14,61.27,1067903
97,2025-02-19,61.27,61.34,61.07,61.34,1510842
98,2025-02-20,61.67,61.74,61.34,61.34,1638352
99,2025-02-21,61.61,62.28,61.61,62.28,2515484
100,2025-02-24,62.41,62.54,62.01,62.54,1957924
101,2025-02-25,62.54,62.61,61.87,61.94,1928951
102,2025-02-26,61.94,62.14,61.67,61.74,771099
103,2025-02-27,63.48,63.81,62.88,62.88,5035025
104,2025-02-28,63.01,63.01,62.41,62.41,2073877
105,2025-03-03,62.54,62.54,62.21,62.41,1252949
106,2025-03-04,62.34,62.48,62.01,62.21,2501823
107,2025-03-05,62.21,62.74,62.21,62.21,1822854
108,2025-03-06,62.54,63.01,62.34,62.54,2359429
109,2025-03-07,62.61,63.75,62.54,63.61,4003619
110,2025-03-10,64.48,65.15,64.28,64.75,4434646
111,2025-03-11,64.21,64.75,63.95,64.75,3644714
112,2025-03-12,66.0,68.6,65.6,66.7,7581491
113,2025-03-13,67.2,67.2,65.2,65.5,4514555
114,2025-03-14,65.4,66.8,65.4,66.0,4929265
115,2025-03-17,66.0,67.3,66.0,67.3,4946897
116,2025-03-18,67.8,67.8,66.8,66.8,3663486
117,2025-03-19,67.2,67.2,66.5,66.5,3679899
118,2025-03-20,66.5,67.0,66.2,66.8,1693378
119,2025-03-21,67.0,67.0,66.0,66.0,1707373
120,2025-03-24,66.3,66.5,65.5,66.5,1983215
121,2025-03-25,66.5,66.6,66.2,66.2,2031082
122,2025-03-26,66.4,66.6,65.8,65.8,1511026
123,2025-03-27,65.8,65.9,65.5,65.5,905213
124,2025-03-28,65.5,65.7,64.8,64.8,1656783
125,2025-03-31,64.7,65.2,64.0,64.0,1775079
126,2025-04-01,64.7,65.3,64.0,64.5,1720587
127,2025-04-02,65.0,66.0,64.6,64.8,2334069
128,2025-04-03,64.0,64.4,60.3,60.3,9818714
129,2025-04-04,56.7,60.0,56.2,60.0,11892239
130,2025-04-08,59.8,59.8,55.8,55.8,7191341
131,2025-04-09,52.0,59.7,52.0,52.5,9007761
132,2025-04-10,56.1,56.1,56.1,56.1,175351
133,2025-04-11,59.8,59.9,58.0,59.8,8074134
134,2025-04-14,60.0,60.0,58.7,59.3,3624722
135,2025-04-15,59.1,60.9,58.3,60.0,5640640
136,2025-04-16,59.7,60.3,59.0,59.3,2632706
137,2025-04-17,59.3,59.3,58.1,58.1,3155687
