,time,open,high,low,close,volume
0,2025-09-03,68.8,68.8,67.0,67.0,14216900
1,2025-09-04,67.5,69.0,66.9,68.9,8942100
2,2025-09-05,69.5,69.6,67.5,67.5,11047800
3,2025-09-08,67.1,67.5,65.3,65.3,11249800
4,2025-09-09,65.5,66.2,64.5,64.9,6192300
5,2025-09-10,65.6,66.0,64.8,65.8,5006400
6,2025-09-11,65.6,66.0,64.2,65.7,6349100
7,2025-09-12,66.2,66.2,65.0,65.8,5694200
8,2025-09-15,66.0,66.0,65.5,65.8,5367400
9,2025-09-16,66.0,66.6,65.6,65.6,6765400
10,2025-09-17,65.5,65.8,64.8,64.8,5627200
11,2025-09-18,64.9,64.9,63.6,63.9,8783400
12,2025-09-19,64.2,64.5,63.0,63.0,6932700
13,2025-09-22,63.0,63.2,61.8,62.0,6061300
14,2025-09-23,62.4,63.1,62.2,62.2,3267800
15,2025-09-24,62.4,62.7,61.8,62.7,3879200
16,2025-09-25,63.3,63.4,62.7,63.0,3870300
17,2025-09-26,63.2,63.4,62.9,63.0,3981900
18,2025-09-29,62.9,62.9,62.4,62.4,2671600
